author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Miss Kris,/gp/profile/amzn1.account.AEOV5P3YQHVG742NMZ7GUVS2NGTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 17, 2018",0,2,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,The battery worked well at first but then began to stop working randomly. I can't use it because it is unreliable and and now and it is 35 days since I ordered it. I can't return it because it is 5 days past the return policy. I am stuck with this battery. Not a quality product with a short return policy.,Poor quality,Verified Purchase,51 people found this helpful,51,4,5248911,Public
Belle Of Texas,/gp/profile/amzn1.account.AHRWKLWJOCV4FL4CPS2NLWPJKTWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 17, 2018",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Looks like I ordered the right replacement battery for my Hp laptop, mfg. Nov. 2011, and I purchased it Jan. 2012. It's the perfect fit, snapped right in just like the original.  Came pretty much charged, and the life of the battery was 5+ hrs. of continual use.  I  still had about 15% life left once I finished working. One cool thing happened.  Immediately after I snapped it in, the laptop recognized the replacement battery, and automatically began a computerized check on it. Final results, ""Battery is good, and functioning properly"". So Cool! Bottom line,  I am so happy, I'll get to keep using my old work horse for hopefully many more years?",Charge me up!!!,Verified Purchase,35 people found this helpful,105,80,369168,Public
marvin goff,/gp/profile/amzn1.account.AENX4XPKXXJ6EN2HWFEKP5NOUXIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 31, 2018",1,1,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,The description of the battery ordered is wrong. Old battery on the left and new battery on the right you can see not the same as the battery info from seller.,Battery not for the laptop in the write up.,Verified Purchase,34 people found this helpful,39,37,1070469,Public
lkrogers,/gp/profile/amzn1.account.AGQBYDEUHXLJGCVNRDQVRZDR56PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 29, 2018",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Our HP g6 is OLLLLDDDDD and accordingly the OG battery ""gave up the ghost"". We didn't want to  spend $$$ on a battery and we didn't have to . This battery fit perfectly, came with a charge and seems to be working fine (as of 1 week). Like the original, I don't think we'll get more than 1.5 hrs continuous use but we rarely use it battery power anyway which is why this low cost battery worked out just fine.",Perfect fit. Reasonable cost.,Verified Purchase,21 people found this helpful,201,139,125220,Public
C. Miller,/gp/profile/amzn1.account.AFCNQFNL4U5I5VLJWRMBV2M5B7HA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 6, 2019",0,1,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Upon replacing the  original battery with the replacement purchase, my computer shut off and  I was unable to turn my computer back on. Only after exchanging them back, putting the original back in, did it come on.I had a brief conversation, on line, with the seller who offer to send me a second battery.  I agreed to the offer but I never got the replacement for the replacement.  I did not hear for the seller, nor did I reach out, again.",It never worked!,Verified Purchase,17 people found this helpful,111,113,551482,Public
AnnieF,/gp/profile/amzn1.account.AFXUOAW66PWRONJT7TDDNOWTUC6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 10, 2018",0,2,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Does not fit my HP dv6. Ad stated that it does. I just got to try it on my computer and the contacts do not line up, I am out of the return time frame to get a refund too.",Does not fit HP dv6,Verified Purchase,29 people found this helpful,106,62,507082,Public
misterev,/gp/profile/amzn1.account.AEGMBL2MRSTBCBNZ7WNKC4LXHRCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 26, 2019",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"My wife always kept the charger connected to her computer, not good for battery, just a bad habit.  When her battery died, I found this battery listed at a very reasonable price.  The battery was here in two days, packaged very well and fit great in the computer (for another computer, the instructions from another vendor said to trim the plastic of the battery to allow it to fit in my computer - not a good start).  So far the battery has worked great, charges quickly and seems to last longer that her original battery did.",This replacement battery charges quicker and lasts longer than original battery,Verified Purchase,6 people found this helpful,53,32,809011,Public
Kevin Humphrey,/gp/profile/amzn1.account.AHAJZRSRCC2BLDTYQL7J2Q5PJSEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 28, 2019",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I purchased and installed this battery in my HP laptop. Yes, I confirmed the proper replacement numbers. It charged very quickly and holds a charge like a brand new battery should, HOWEVER....since then my computer just shuts down for no reason at all. This is when just on battery power OR plugged in (with battery in place). I'll be in the middle of something and it just crashes. I never had this problem before this battery. I removed it and on just AC power it runs fine so that confirms that it is a battery problem. I'm sure I'm passed the return date so I'm stuck with it. I DO NOT suggest anyone buy this battery!",Laptop frequently crashes with this battery,Verified Purchase,5 people found this helpful,26,51,1347338,Public
Bill33,/gp/profile/amzn1.account.AH6LXQXZX2NNYXZKOWLAERHYOFDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 8, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4.0 out of 5 stars,"After seeing and reading the reviews, I was pretty skeptical, BUT, it was for my ""gaming only"" computer so I gave it a shot.BE PATIENT!  It came with, about a ""75%,"" charge.  I installed it on my old HP Pavilion G7 which had a ""minor"" charge on it (35%), BUT, it wasn't ""charging"" with this battery pack plugged in.  So, I decided to bring the G7 down to nothing, but as I played (and watched the scale slowly sink), when it reached ""2%"" it suddenly started charging.  I turned the computer off and checked it periodically and lo, it was charging.  I waited until it it reached 100% and started playing a game.  It HAS to get down to 2% before it starts recharging for some reason (at least ""this"" one).  But, (and this is a good but..), it maintains it charge a LONG time, I go weeks playing the old Battlefield 2 games, old Dooms, Fighter Ace and a few others and this thing keep clickin' along.  Since getting it in middle of last year (2019), it's on it's 3rd overall charge and down to 18% now.  Ironically, unlike my other computers, it will not charge while turned off and plugged in.  But, wait (and use it on something unimportant) let it get to 2%, get off it and let it do it's thing.  It'll continue to charge as you use it at that point.  Not sure what the 2% deal is,  My other PC's stay around 100 with the ""stock"" packs.  But for something like a dedicated gaming computer... it does fine.  I wouldn't trust it (hence the 4 rating) for a work or family laptop.",Must be patient for an off brand,Verified Purchase,One person found this helpful,177,72,275730,Public
def2251,/gp/profile/amzn1.account.AHG2BQXHVZ3ZBENRN4P3HIMEVRWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"After giving the battery a full charge, it shows that it only has 78 minutes of usage time. The battery I was replacing was last about 30 min. Waste of money. I will keep it as I don't want to hassle the return, but I am on the search for a credible battery. Buyer beware",Garbage,Verified Purchase,5 people found this helpful,60,65,1241238,Public
Eva Ellen Miles,/gp/profile/amzn1.account.AFWLS25ZQHTKSVSWHU2OBKGLJL5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 19, 2018",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"I desperately needed a new battery for my laptop and this one worked to perfection. Before I got it, I had to be tied down by my laptop's charger because the old battery wouldn't even last a full minute on its own. It was very frustrating, but then, I got this battery and, not only did it fit perfectly, I charged it up immediately and it was able to work on its own for so much longer than a minute!! More like between 4 to 5 hours before I have to plug in again. Incredible!!!!",It's a long lasting battery and allows me the freedom from the cord again.,Verified Purchase,5 people found this helpful,8,10,12662626,Public
Sharlene,/gp/profile/amzn1.account.AFUA6ELJEUBY74T5VV3AFZ6JIGHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 5, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,I bought 2 of these batteries for 2 laptops. One of the batteries didn't even last 2 months. It will not charge at all.It is only returnable for 1 month.,dead in 2 momths,Verified Purchase,5 people found this helpful,16,19,3362934,Public
Franklin Rengifo,/gp/profile/amzn1.account.AECKDKR7RNPAJVG4Z4OYYFFO5QSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 25, 2020",1,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"La Bateria solo dura con la carga a 100% 2horas y 20Min máximo utilizando la laptop de forma normal, no se puede instalar de manera usual por no tener los ganchos sujetadores de la parte posterior de la batería y por esta razón la batería se sale de la laptop.The battery only lasts with the charge at 100% 2 hours and 20Min maximum using the laptop in a normal way, it cannot be installed in the usual way because it does not have the fastening hooks of the back of the battery and for this reason the battery goes out of the laptop",No es tan buena / It's not so good,Verified Purchase,4 people found this helpful,7,4,47604820,Public
nickatnite256,/gp/profile/amzn1.account.AHCYFDJDFA3QHGQXVQV7J7XZSF6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 16, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"I have an HP Pavillion that constantly needed to be plugged in to work. The battery died a few years ago and was too expensive to buy when then. The prices have come down. This fit perfectly in the laptop, now I don’t have to pull out the power cord every time. Not sure how long the battery lasts on a full charge, I will pull out the PC, fire it up and send off some emails, or download a file, then put it away again. Haven’t really checked to see how long the battery will last. I don’t know if powering it on and off constantly takes more out of the battery than keeping it on and working the whole time, but that’s how I use the laptop.","Good direct fit, good value for the money",Verified Purchase,One person found this helpful,61,106,622826,Public
Jim S.,/gp/profile/amzn1.account.AFIULR7BKZSG2AWKMOSBOSEVQULA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 10, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"The battery arrived with no charge and never did charge despite repeated attempts. I chatted with an ""expert"" for the product who didn't understand English very well. I was told to do a ""battery reset"" but the expert could not write understandable instructions to do so. I did a Google search and found some instructions which I followed. The battery still would not charge. Windows gave two different messages at different times. Most common was Battery detected but not charging. Also reported Battery not detected sometimes.The battery did seem somewhat looser but it did fit in my laptop. I do not recommend this battery. I returned mine and will try a different brand. This battery was a little less expensive than some others but the savings wasn't worth the hassle to troubleshoot and return.","Didn't work. Bad ""expert"" upport",Verified Purchase,2 people found this helpful,4,7,9708330,Public
Evil Kumquat,/gp/profile/amzn1.account.AHZODCTI7GB7TSDAPVZAIWSL4BGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 15, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"This battery stopped holding a charge within just a few months of purchase.I bought it for my daughter's laptop before she went to college.Not long after starting school, she complained the battery was not holding a charge. Since it was new, we thought it might be an issue with her dorm room's power (they put her in a terrible older dorm with so many problems this was a legitimate concern), but as I wasn't down there to help her (and her college was extremely unsupportive) she decided to just purchase a replacement computer entirely.She returned her old laptop to me. Not having an immediate need for it myself, it wasn't until recently that I decided to check things out. After running several diagnostics, I determined that the new battery itself was bad. Of course, this came long after the return window expired.I ordered another battery from a different supplier in the hopes I get one that works this time.",Died Within Three Months,Verified Purchase,,160,35,1105519,Public
Collector,/gp/profile/amzn1.account.AGV3HKHTWYD33PY6TFQTRP4Q6RIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 9, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"This battery fits my old HP Pavilion laptop perfectly.  I followed the directions for charging it properly and the battery came up to 100% with no problem.  I find that it loses small amounts of power even though the laptop is always plugged in.  Using a technique that I found online, I unplug from the outlet, remove the battery, wait a about 10-15 seconds, replace the battery, and finally plug the cord back into the outlet.  The battery will then come back up to 100%.  However, I do not think this is a fault of the battery but rather Windows 10 since I have seen this complaint on various internet posts.  My laptop is 8 years old, and  I keep it as a spare because it still works fine.  I would recommend buying this replacement battery if it fits your laptop.  I have not had it long enough to comment on longevity.",Replacement laptop battery,Verified Purchase,,157,189,241367,Public
TomL3,/gp/profile/amzn1.account.AFALZG56TJAIY4RFAHE4JL5LWMLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 21, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Ordered this battery for my HP laptop, mainly due to price, ratings and ""Amazon's Choice"" designation.  Part number in the description matched the HP original part number exactly.  First battery arrived a few days ago.  Fit perfectly in my laptop.  Plugged in adapter to see what charge level battery was at.  Showed about 80%.  Unplugged to proceed with the documented procedure to allow discharge down to 2%.  Computer abruptly shut down within 15 seconds, almost like a short circuit in battery.  Returned (no problem) and ordered another as replacement.  Second battery did exactly same thing.  Burnt twice in a row!  That's it for this brand, no matter what the price and ratings.",Two DOA batteries in a row,Verified Purchase,2 people found this helpful,2,3,17625224,Public
mom of two,/gp/profile/amzn1.account.AENKQJZ52VEJSUD5UIBRXY3NTCGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 23, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"When I received this battery I installed it right away. It immediately said the charge was 67%, and I understood that I would need to plug my laptop in to fully charge the battery. The next morning I looked and it hadn’t increased in charge. I made sure the connections were fine, I unplugged and re-plugged it in. I took the battery out and put it back in. It never seemed to charge, even after an additional two days. On  the contrary it lost charge even though it was plugged in. I sent it back and AMAZON immediately credited me for the purchase. I went ahead and ordered one by a different brand that cost a little bit more. It immediately started charging once I installed it, so I know that there is no issue with the laptop or connection. I will not order this brand again.",Defective,Verified Purchase,,28,58,1513914,Public
Danny Mo,/gp/profile/amzn1.account.AGNIDXRJS5IH3LXJOEDOPLUDAHBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 15, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,4.0 out of 5 stars,"Direct fit pavilion g7, so far so good, came charged and working ok so far. Honestly i thought I'd have to spend allot for a battery until i looked on Amazon. I sware this is my go to place for everything.Update: battery wasn't holding charge so i reached out to the Doctor. The Doctor got back to me quite quick which is awesome and is sending a replacement. Excellent customer service. Can't be more pleased, jus hoping the replacement works this time.",Direct fit pavilion g7:),Verified Purchase,2 people found this helpful,48,57,,Public
fitlish,/gp/profile/amzn1.account.AGDZJP6SAED7HFLQKTIWJCFT7D4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 17, 2020",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"My computer won't even detect this battery. I got it, installed it. Boot-up says ""The system has detect the storage capacity of the battery stated below to be very low. For optimal performance, this battery may need to be replaced. Primary (internal) battery (601)""I had charged and discharged the battery a couple times. Now it doesn't work at all. Might as well have burnt my money would have gotten more for it.",BATTERY DEAD AFTER ONLY A COUPLE USES,Verified Purchase,One person found this helpful,136,158,496691,Public
