author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,ranking,helpful_votes,total_review,visibility_status
Q,/gp/profile/amzn1.account.AFZLNFDAPG6WFV7F4EXSL27M7WVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 8, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,I bought 2 of these. Got one all setup and filled with water. Nothing but E02 codes. The inside caps are removed. Pressing the heat or pump button causes an immediate EO2 code and it shuts down and beeps. Looks like I have a defective pump. Save hours of time and hundreds of dollars and buy from a company that has better quality control. I'll be returning both of these.,Poor quality control. Do not buy!!!!,Verified Purchase,12 people found this helpful,,1033165,197,177,Public
BluesViews,/gp/profile/amzn1.account.AHQCHQKNJVEJZ4PCFTIPBY6M5GNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 2, 2020",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"This hot tub is perfect for one. It’s ok for 2 if you’re cosy, but the thing that’s great about this hot tub is you will quickly decide it’s really all yours and no one else should be allowed near it! Haha. Well - good luck with that, but if you are envisioning it being a roomy 2 person one I’d look at the next size up. If you are happy to be cosy and snug and are on a budget then it’s great. It was fairly easy to assemble. The instructions are for a range of models so you have to use a little common sense. Once up, mine took 16hrs to reach 104 in California. It was not particularly hot weather. Chlorine tablets are the 1” variety and it doesn’t come with any so order those in advance and pop 2 in the dispenser every couple of days. A pack of test strips will be handy too. The filters do pick up dirt quickly but you can hose them off easily.I suspect you can get at least a month or 6 weeks out of a pair - this is going to depend on how much you use your hot tub.You are going to use it a lot I reckon 😎Loving this buy!",A really fun and relaxing hot tub that’s better than you hope it will be!,Verified Purchase,4 people found this helpful,,233316,74,50,Public
Isla,/gp/profile/amzn1.account.AGXV3HJ7366AZVQ5KV5TKA6TGOMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2020",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,"What I like about this hot tub is that it comes with everything you need except chemicals. The cover does a great job of keeping dirt and debris out and it clips on so no blowing off, the clips have an extra safety feature on them making it harder for little kids to unlatch them. The bottom has a soft foam-like cushion padding on bottom. The buttons are easy to use and have a lock feature. It comes with 2 filters.What I don’t like about this hot tub is that it does take some time to warm up and it quickly drops a couple degrees when the cover is off. The instructions that came with it are horrible. It is a sheet of pictures that are not labeled making it confusing and frustrating.  It would have been easy to set up if the directions were clear. Even though the kit came with some type of chemical container (which wasn’t labeled on directions either) there was no clear directions on what to use or how to use it.It’s definitely not a standard hot tub like one at a hotel but for the price and low maintenance my family likes it.",Cozy little tub with bubbles,Verified Purchase,3 people found this helpful,,82266,161,110,Public
Grayhawk1,/gp/profile/amzn1.account.AGTR7MV7RQNOI3LECT23BHDUHTFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 16, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"This is a great ""personal size"" hot tub for two adults.  It looks nice, was easy to inflate and hook up the heater/pump, and it was easy to maintain.  HOWEVER - after setup I noticed it was losing inflation and in a period of 3-4 days the sidewalls became very 'soft.'  At first, I thought this might be the natural initial expansion and contraction of the liner - so I re-filled it to maximum inflation - and hoped the issue was resolved.  NOT!  It continued to lose air and I repeated the re-inflation process 3 additional times until I gave up.  I gave it a low rating not because of the product itself, but rather there is no phone contact/support available from the manufacturer and/or distributor so you can't speak with anyone.  Their website indicates they will call you ... but that didn't happen.  Sent a second request for a callback - same result ... crickets!  Very disappointed in the customer service! The issue could have been simply resolved with a replacement liner.  Instead, Amazon was great as ever and I will be returning the defective tub and receive a replacement hot tub with all the necessary parts.",Great product - lousy customer service!,Verified Purchase,3 people found this helpful,,5001743,15,26,Public
Cindy C.,/gp/profile/amzn1.account.AG44PR6CTN2O27QUBSM2GIUJZKEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 24, 2019",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"OMG i was so excited to buy this inflatable hot tub and with the Coleman name and the positive reviews i decided to buy it. I enjoyed it very much up until the pump started leaking water about 6 months into it. It took sometime to acquire information on how to contact Bestway because the 800 number for Bestway gives you the run around.  When we finally got the second pump which Bestway sent out at no additional cost we were happy with the tub ! yay..... However, my happiness with this tub was not that long. only 2 months after receiving the new pump the pump had some serious electrical problems and blew and melted the microchip board inside the pump. GOOD GRIEF..Not only did the pump mess up again but the tub itself is misshaped by the weather. This tub is a lot of headache and not happy with the customer service with Best Way. Hopefully i can get a full refund or get a replacement if the company won't give me a refund. On a positive note I did enjoy it when it worked and it was easy to maintain.",Please read before buying this inflatable hottub,Verified Purchase,9 people found this helpful,,20183175,9,1,Public
kim clabough,/gp/profile/amzn1.account.AF2ZEO7B3GDHTNDIFR6PUWAY53FA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 16, 2017",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Oh my!  I can't have a full size hot tub where I live.  I was a little apprehensive about purchasing this item.  I have no regrets at all!  It is wonderful to sit in and relax at night.  I did purchase some pipe insulation to put around the water feed line going to the pump, that seemed to help the heating process.  The only caution that I can offer is that it says four adults can fit in it....I guess if the are all super tiny that would work.  It is perfect for TWO adults comfortable.",Small but awesome,Verified Purchase,11 people found this helpful,,2346322,34,85,Public
Jimmy,/gp/profile/amzn1.account.AGUZLZEX6CQE33EX5B4B42DH5PVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 9, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,It only lasted one season. Leaking air now. The material is too thin.,One Star,Verified Purchase,20 people found this helpful,,1973881,40,27,Public
Frank Madrigal,/gp/profile/amzn1.account.AFRL2HGJNXT7YJG3RWVOUX4IVXOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 1, 2020",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,2.0 out of 5 stars,I want to return this product. My wife and I had it for a year before the heating element went out on the unit. I followed all the cleaning requirements and kept a tight schedule and when filters were replaced and what chemicals to best use.  I even had the whole unit in the garage where it was kept away from the outdoor elements.  Just before we had it for a full year the unit would error out and shut off.  After some research its because the heating unit would mal function and stop working causing the whole unit to error out.  Very disappointing and would like to get my money back on this one.,Great product with no longevity.,Verified Purchase,7 people found this helpful,,6741345,8,8,Public
Maysen MacLamroc,/gp/profile/amzn1.account.AEL3ADDIWYV7QCM3ZCVVGP5JEADQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 16, 2019",1,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,I bought this product in March of 2019. Installation took about an hour total. 15 mins to assemble and 30-45 mins to fill up with water. It started heating around 6PM and was 104 degrees by 7AM the next morning. It heats up about 2 degrees an hour. This product has worked great for several months. It is now winter In NC and it is still going strong even when it gets down to 19 degrees outside. Stays hot while in use with jets for about an hour during the summer and 30 minutes during the winter.I use it every morning and night. This product is well worth the cheap price tag.I’ve had a couple trial and error problems with keeping it inflated and keeping it from leaking but as long as you do regular maintenance it works great and won’t leak or deflate.Would certainly recommend this to anyone looking for a hot tub that doesn’t want to invest thousands. This is a quick cheap alternative that works amazing.,Amazing product as long as you do regular maintenance,Verified Purchase,4 people found this helpful,,21274267,4,9,Public
Sally Gorman,/gp/profile/amzn1.account.AFDSBGXKJQTCHJT7ER4LUBUA422A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 23, 2020",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"The directions are horrible like everyone has said. If youre somewhat smart, you'll figure it out. Super easy to blow up. Some attachments are questionable as to where they go. The white saucer piece that looks like it's supposed to go in the bottom of the tub, it goes into the cover to hold it atop the water. We were a little confused with that. If you plan on having more than 2 people in the tub, fill to the MIN line. Our kids were all over it like it was a pool and we were spilling it all over our floor (we did it in our house downstairs as we have a split level and it gets too cold here for outside.This spa pumps some bubbles! We were not expecting it to be so powerful! It is VERY to the actual thing you see in hotels and such. My husband is a hot tub snob and he was pleasantly surprised with the power of this hot tub. It's great for the cold winter months here in Boston for the time being until we get a permanent one for outside.I would definitely recommend this!",Great alternative to a professional hot tub,Verified Purchase,2 people found this helpful,,6370252,6,32,Public
Jinyfer,/gp/profile/amzn1.account.AGDJJGJTUGPAMJFZ2CZJ5KJCWB6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2020",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"This is an incredible little hot tub. I've had it for almost 6 months. We use it on average every other day. I've changed the filters once and really haven't used much bromide. I'm still amazed. One thing I don't get is why the price has gone up soo much. I paid $250. and now they seem hard to find and twice + the price.  All in all - I'm very pleased with my little hot tub. ******UPDATE - My GFC keeps tripping for no apparent reason. I've had the tub for 8 months and it was great until now.  I can't keep the pump/heater running.  I contracted Bestway Corp., the manufacturer, but they have not responded to my inquiry.",I'm still shocked - and then the shoe dropped,Verified Purchase,3 people found this helpful,,824589,34,58,Public
LuvzPrime,/gp/profile/amzn1.account.AGFCG2GZ26FJLA5YD6PPISP7KNVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 20, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,"The temperature gets cold fast as soon as you take off the cover and turn on the bubbles. What a disappointment.:(  It seems very sturdy and looks great but getting ready to try it for the first time last night we soon realized we couldn't if we didn't want to freeze.The temps outside were chilly but not freezing at 65 and a beautiful night. The thermostat said 104 and it felt great so we took the cover off and turned on the bubbles. We didn't get in yet because in 15mins it had dropped to 99 degrees and then 97 within 30 mins. That is cold to your body in case you don't know that.  How sad. I could return it. I have time still to do that but how sad to lose 300+ gallons of water. Trying to fit this thing back in the box will be impossible I'm sure, and I've spent $70 on hot tub chemicals. When people say that the temps drop after you turn the bubbles on or even just take off the lid, they are telling the truth.The bubbles blow cool air out so no wonder it gets cold. So, I am searching like crazy to see if there's any kind of heater we can add to this thing while it's in use. A 300 gallon aquarium I had once had a water heater that I could stick my hands in it while it was working, could something like that maybe heat this 300 gallons of water without electrocuting people? I want to invite 2 friends over to sit in it but now I feel kind of embarrassed about it. We'll get in and it will feel good but after 10 mins we'll have to get out bc it's chilly.Anyway, I am not sure if there's anyway anyone that can give me info on a heater but I'd love to try it. Otherwise this will just be a mini pool to cool off in this hot summer but not actually a hot tub in the cool weather.",Would be great & 5 stars but....,Verified Purchase,One person found this helpful,,304427,335,55,Public
Stan Anderton,/gp/profile/amzn1.account.AFD33ZUVCQUOZTJUAU7D65CMFKJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 26, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"Years ago I bought a hot tub for use at our new country home.  It was heavy, expensive, and cost another $500 plus for electrical and other prep needs.  I loved it, and used it often.  Not that many years later it was outdated, faded, and not working as well.  After about six years it had lived its life.  It was a lot of work removing it and hauling it  off.I had wanted another hot tub, but the cost kept me from doing it.  My wife saw this inflatable hot tub on Amazon, and we decided to give it a shot.  WOW!  Yes, the instructions were pretty pathetic in my humble opinion. They say a picture is worth a thousand words, but I think that is for a REAL picture, and a picture combined with the proper words are priceless.  Just saying.  Anyway, it didn't take too long to get it all figured out and an hour or so after taking the box to the back patio it was filling with water.  A few hours later, my wife and I hopped in and were so pleased with our purchase.  If you figure the cost of the least expensive fiberglass tub at around $3000, you could buy a new one of these each year and still come out ahead.  I expect this to last a few years if taken care of.  We shall see, but for now I am elated at our bargain.  I definitely would recommend this to my friends and family.  Now, it shows four people in the picture.  NOT!  Not unless they are small people, but it is great for my wife and I and MAYBE one of our younger grandchildren.",A Great purchase - for two people,Verified Purchase,6 people found this helpful,,670938,129,66,Public
Kim,/gp/profile/amzn1.account.AGDSOQ766PASOSHIVDK2P6IEGVMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 3, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"I was unsure about buying this hot tub. I am a single mom and I was worried I wouldn’t be able to put it together. It only took my daughter and I about an hour to set it up. It was a lot easier than I expected! The manual it comes with is not well written. I found the online set up videos from you-tube much easier to follow when I was setting it up. It took about 24 hrs to get to 104 degrees. The first time I stepped in I knew I made the right decision! I love it. So does my daughter. I only have a few complaints. The heater and bubbles don’t stay on at the same time. When the bubbles are on the heater unit sounds like a shop vac, but once you are inside the tub the bubbles drown out that noise.  The water temperature only goes down about 4-5 degrees depending on how long you stay in. It stay warm for a long time. I also enjoy sitting in it without the bubbles on! Make sure you put the inflatable top inside the cover, it fits inside the cover, they are not two separate pieces. A good seal will keep the water warm. I leave the heater on all the time. I saw a video that recommended that keeping the heater on will save money in the long run...we will see what my utility bill looks like. This tub is well worth it during this difficult pandemic. It makes me feel like I am escaping all of this stress. You won’t be sorry you bought this soothing tub!",Treat yourself to a relaxing warm hot tub for a great price!!,Verified Purchase,One person found this helpful,,6288269,6,26,Public
Stormtech,/gp/profile/amzn1.account.AEJFNHQT5J4VR6GDXUPMBBTKF5ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 8, 2019",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,2.0 out of 5 stars,"I had a Coleman Lay-Z-Spa for 5 years almost trouble free. When that was done, I ordered this Miami-Spa from Bestway because it looked identical and I liked the color better. The first thing I noticed was the thickness of the tub plastic material. The Bestway was thin like a beach ball, compared to the Coleman which was more like an inflatable life raft. I used it for a month then drained it to go on vacation. When I returned 2 months later, it would not start up. Went to their website for customer support entered my contact info they said they would return a call within 2 days. It’s been 2 weeks now and no call back. I’m ready to set it on fire. Bad, Bad, Bad Customer Service and Support","Bad Construction, Bad Customer Support.  Had a Coleman, it was much better",Verified Purchase,3 people found this helpful,,3299511,67,72,Public
P. Tromp,/gp/profile/amzn1.account.AFWPMXEGKRTBQDVTEEJEYH4OGANQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 2, 2017",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,3.0 out of 5 stars,"Love the concept but loses a star for messy, expensive filters and another for poor seam welds. I plumbed in a Penn plax 1200 aquarium filter which increases flow and needs cleaning only once a month. The filter needs to be off when the heater is started or it has a fault which requires a good thump on the heater to reset. The seams inside the tub will start to fail after about a year. Careful patching with Tear-aid type B and a heat gun will make a good repair, but requires draining the water to be able to do a good job. I think they are just a little sloppy when they weld the seams at the Chinese factory.As one user has recommended, initial heating with a propane gas water heater and a good submersible pump can give you full temps in a matter of hours after filling with a garden hose.I have found the Tear-aid B type unable to take the temperature/water, and pulls away over time. Am trying Tenacious Tape Flex patches on some 1/2"" tears. Will praise them if they work over time. The manufacturer should be ashamed that they show tub replacements as always ""out of stock"" and don't answer repeated queries about when they can supply. Must be that they want you to buy a whole new set!! Update, Tenacious Tape patches are holding nicely despite water and heat. You should order some with the tub!",good if you modify the filtration and be ready to patch seams,Verified Purchase,46 people found this helpful,,1751042,68,44,Public
J.D.M,/gp/profile/amzn1.account.AFBLXJFCODXWZT2IOTKIKBSGFWZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 12, 2021",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"I have used this twice and it has exceeded my expectations. Time will tell but as for right now, this is the best purchase that I have made on Amazon. I have it set up in my garage right now because it is winter and I wanted to get in it as soon as possible. I will move it to the deck in the spring.  I filled it with water from an outside faucet, I think the water temp was in the 50's and I set the spa heater to 100. It averaged about 2 degrees per hour.  I will have to do some research on what chemicals to use and performing the required maintenance. Keep in mind that those will be a separate purchase, as this comes with none and very little info about them. Overall, I highly recommend this item. Also, when you are airing it up (and the cover too) do not hold your hand over the opening in the hose, it is designed that way so that you don't over inflate. I hope something that I have said here helps you in some way. God bless 😊",Very easy to set up.,Verified Purchase,One person found this helpful,,3444658,53,72,Public
D. Meador,/gp/profile/amzn1.account.AH2CQDNSGK55CJ7G66AZNNCWJPOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 12, 2019",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,"This is my second inflatable spa.  The first one was a green Coleman.  I preferred it to this black Saluspa because 1) it didn't have the air hose on the side and 2) had a better drain with a tube going to the outside edge of the spa.  My first spa got heavy use and the vinyl finally wore out after about three years.  I could have made it last longer but for the price I was fine with completely replacing it.  The pump was going just fine even after all that use.  So I got this one and after six months the pump started to get loud.  I called Bestway and within days had a new pump.  We'll see how this one lasts.  Overall I'm very happy with these inflatable spas.  We live in a moderate climate: not Minneapolis, but not Phoenix.  During the winter months (average lows in the 20's) I'll run it 10-12 hours to get it to approximately 103 degrees.  In the summer (average highs in the mid 90's), I'll run it just an hour or two to make approximately 99 degrees.  Electricity and water are cheaper here so it's use doesn't much effect my utility bill.  I don't worry too much about chemicals and cleanliness: I usually just dump the water out every so often.  It's easy to do.","Bestway customer service has been excellent, in my experience",Verified Purchase,3 people found this helpful,,530728,152,20,Public
Paul E.,/gp/profile/amzn1.account.AFNB5RPDB4U3XT7NYZL3UWWTRZ3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 1, 2020",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"Bought this on a whim as I don't really want a permanent hot tub, but wanted something for the winter months and this did the trick.  We live in SC where we get below freezing but seldom for a long period, typically just over night on dozen or so nights.  We put the unit outside for the whole winter and had no problems.  If the pump/heater was left on it would keep the 104 temp regardless of the weather.  We used it 2-3 times a week.  It's not a real hot tub with jets massaging your back, but it is a nice relaxing soak.Best part was in May when the weather started to heat up I was able to take the unit down and store it.  After deflating it and folding it up, it was not the size that it originally was.  But I took an XXL vacuum storage back, and used that to compact (suck the air out), and it became a managable cube.  Actually fit it back into the original box with the pump for summer storage.Hopefully when I pull it out in October, it will be like new and everything will work.",Overall worth the money.,Verified Purchase,One person found this helpful,,1527145,68,56,Public
Rissy,/gp/profile/amzn1.account.AFLLXUQCMB4QLFC4OKZBEQKQL23Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 24, 2016",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,"I have had the Miami hot tub for about 5 months now. I really like it a lot, for the most part. It's very relaxing, especially under the stars.The pros: Very durable. My German Shepard has jumped on it a few times while it was covered and there was no impact or damage, nor did it collapse or even lose air.The bubbles are very strong. I thought they were comparable to the jets of a hot tub. It also is a nice soaking tub.Very low maintenance. I use non-chlorine products 2 to 3 times a week and change the filters every couple of weeks depending on use.I like that it has no seats because it's more comfortable to keep your legs stretched out and the bottom of it has a nice comfy cushion.The temperature of 104 is sufficient for most of the year but I live in a very warm climate.The cons:  It was too cold to use it in the winter once it got below 40 degrees, since the heater doesn't stay on while the bubbles are on. The water would lose it's temperature after about 20 min and drop to around 97-100. If you only want to stay in it for short periods of time, I guess it would be ok.The setup was a little more difficult than expected. The big hub with the control panel needs something placed under it because it didn't fit flat onto the ground. It's a little heavy so I wasn't able to connect it by myself and my boyfriend had to do it for me. When we set it up in the winter, it took about 24 hours to get to max temperature.Overall, I am very pleased with my purchase. The Miami size is perfect for one or two people. I would definitely get the larger one if you plan on having more people use it at the same time.",Very durable. Good purchase. Easy maintenance.,Verified Purchase,9 people found this helpful,,2855357,197,48,Public
a buckeye,/gp/profile/amzn1.account.AGTXNLBF3AF6RG27735AQGPITGUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 25, 2015",1,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"Only had it a few weeks but thus far, great! Since it is summer, I'm sure it may help with getting the temp up, from the first day it took 17 hours to get the temp to 104 & thereafter after using it, it would take but a few hours to get it at that temp. Once I put the bubbles on the temp went down 3 or 4 degrees - if I didn't use it, the temp pretty much stayed at or near 104. Very good engineering - and I think the top cover does a great job insulating it. I paid $257 & if this stays good for a year, I won't mind paying that each year for a new one since a ""normal"" size unit runs in the thousands plus factor in the cost of chemicals, heating. Besides, it is used only by one person so that makes a difference.No way can 4 people fit - two of us, fine. You'll need to buy: Leisure Time 45425 02 Bromine tabs  1 1/2# 2pack $34; hot tub Things Sodium Bromide 2 # $25; Leisure Time 45005 4way Bromine test strips - buy 2 pack of 50 each around $16; Leisure Time CB Calcium Booster $10; Spa Bright & Clear $15d; Lay-Z Spa replacement filters  $60 for 12 pack ----all of this will last you quite a while but it's the best deals & necessary items. I bought all on Amazon. The company won't tell you what to buy - something legal - even some pool companies won't unless you come in --so it took a while to get to the bottom of this & use it & find that the strip came out great, so as I said, the aforementioned items will be  needed & are the best deals & will last quite a while. I forgot to mention how comfy it is! The inflatable tub makes lying your neck on the back very comfortable & the bubbles massage you great! I like to get in a position where my feet touch the bottom where the bubbles come out so they, too, get a foot massage! We also bought a couple foam boards from Lowes to place under the tub for more insulation (1"")",great! Since it is summer,Verified Purchase,30 people found this helpful,,871880,226,48,Public
Stogie,/gp/profile/amzn1.account.AHBMZWJ43GSVSGCOMVB5EDKTM6KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 4, 2016",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"I am a 20 year spa user. I had to leave my real spa when I moved from NC to CO. My place here has a rooftop deck. I wanted a spa but not the expense of another ""real"" spa and a crane to get it up there. I had some good luck with an inflatable Intex Spa at our beach house in NC, so I decided to try one here. I got the Bestway Lay-Z-Spa because it is slightly smaller and fits my space. It set up easily Friday morning and it was hot by the next day. The directions say not to use it under 40 degrees, but it has held up well to Colorado weather in the two weeks I have had it. I like to use it in the morning. One morning the outside temperature was 19 degrees and the spa was at 103. The thermostat is a little temperamental. I set it at 102 but it often heats to 103 or 104. The bubbles will cool it down pretty fast. Without running the bubbles it holds a comfortable temperature for 30 minutes to an hour depending on ambient temperature. I added pipe insulation to the clear filter return tube that runs outside the spa. That is key in below 40 degree temperatures. The heater will shut itself off if you don't use it for 3 days, which is not ideal because I travel and like it to be hot. It does have a timer feature so the morning I leave I can set the heater to come on in 48 hours and run for 24 hours, so the water doesn't get so cold before I get home. For the money paid for this it has been well worth it. It is not going to give you a hydro massage but it works well and keeps the water hot. I would suggest spending another $8 on the PureSpa Cup Holder that clips to the spa and some Baqua Spa sanitizer.",Maximum relaxation for minimum expense,Verified Purchase,7 people found this helpful,,171115,156,85,Public
AmazonUser,/gp/profile/amzn1.account.AF6Y3RNZF3ZOOJQK3J23NWLNCF5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 30, 2018",0,,https://www.amazon.com/SaluSpa-Miami-AirJet-Inflatable-Hot/product-reviews/B00HRT863U/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"I have to say I was concerned with some posts about people using them in temps under 40 as directed. I have however had temps down under 30 multiple nights since putting it up on my back deck at midnight Xmas eve for a Xmas morning gift. I was putting it together and inflating in 27 degree temps, filled with water and the temp of the water showed to be around 45 once filled. I turned it on started the heat process and while it did take till the following night to reach upper 90's I was more than pleased with the outcome. It hits 104 just as stated and as the setting allows. I've got mine sitting on a camping tent pad on the deck to avoid any issues and that pad also holds up well to any moisture and resists mold..consider getting one. I keep two bromine tablets in my floater and just those two alone were enough to get everything up to close by time it was ready to be used the following night.  I added some powder form just to get it right so make sure you get enough of each. I'm going to test it completely off for one night to see how it turns out and being able to go right back on with the temps so far down to 38. So with that in mind it WILL work under 40 degrees with no issues!!!",Working great so far even under 30 degrees!,Verified Purchase,One person found this helpful,,503561,66,39,Public
