author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,ranking,helpful_votes,total_review,visibility_status
Zoe Marr,/gp/profile/amzn1.account.AHMNYO3GHJRRZ24QGTOA7ZZVAH2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 3, 2017",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"If I could write 10 product reviews for this thing, I would. I can't begin to express how glad I am I bought this. It is the most versatile pool float I've seen. I brought it for a massive pool party. Technically I don't think we were supposed to bring floats, but it folds up really discretely and fits easily in a luggage and I was able to pull it off. It was the perfect item because it doesn't take up much space in the pool either, you can position yourself to use it as a float or chair so if you are in packed pool it isn't really obvious and gives everyone else plenty of room to swim. It was lightweight, supported me just fine, and could be blown up after just a few blows (once you figure it out - there are two valves on top of each other for each float - the one on the bottom with the bigger hole is the one you want to use). Not sure what the poster who left the review about the blue markings is talking about, the color never rubbed off on me in any way. I loved laying in this thing and sitting in it. I love that there are so many options once it's in the water. I floated all day and didn't have to exert much effort and just got to relax. This float far exceeded my expectations. It is a must have for any pool. Can't think of any cons. Thrilled!",A must-have for the pool.,Color: Blue LightVerified Purchase,162 people found this helpful,,1159109,304,33,Public
Milo&Ted,/gp/profile/amzn1.account.AF2K3YP5FHX3AAUTY24S7QZDE3CQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 29, 2019",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"Perhaps I didn't pay enough attention  while I was debating over the many choices of ""travel pool floats"" to purchase. I have 2 others that are great, but they are heavier than what I want to add to my luggage and mostly my husband doesn't stay in the water, so I decided to either just bring 1 this trip or maybe find something a little less ""deluxe"" and heavy. I settled on this one, thinking it would be a perfect choice. Only 2 pounds to pack and it could hold both of us if need be. Well, when I opened the box, I was surprised to note that it has a maximum weight limit of 250lbs. I see in the description that it does actually state that, but while I was debating size and color etc, I did not read the full details on the one I picked. Shame on me, but you should be aware. While this should be adequate for a single float, who are you going to put on this double one??? We are not that big. By my calculations, that would either be fine for 2 small women, your kids or a MAXIMUM 150lb man with a women 100lbs or less. Well... like I said, we are not that big, but 150lbs for a guy is pretty small and most women weigh over 100lbs. So unless you are a very small couple of any sex, you might want to reconsider this as a 2 person float. Maybe it would be good for a single 250lb person who needs the width, but I know, this was not what I was looking for. I will take it with us for this trip and report back, if for some reason it was great for more than that weight limit. I have my doubts. You have been warned.  - I am giving it one star, not for any other reason, than selling a 2 person float with a 250lb weight limit is as dumb as saying a small package of food has 72 servings at 15 calories each.  Garbage.",2 SMALL PERSON Float - Should have read FULL Details,Color: Navy – 1-2 Person Xl HammockVerified Purchase,41 people found this helpful,,1836582,86,14,Public
frankc,/gp/profile/amzn1.account.AGGIP3Z6EQQGFTZFOMXQI5FZ5KVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 9, 2020",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"The photo shows a lady using it as a lounger. But the way it’s designed, it sends your bottom down, feet up in a V shape. Totally not comfortable! They also show a picture of using it as a floating chair, but the way the netting is attached, that's not possible. It's too bad because construction-wise it's one of the best-built chairs from a durability perspective. Can't use it for what they claim you can. 1 Star is generous.",Not At All What I Expected!,Color: Mosaic 3in1 Pool ChairVerified Purchase,20 people found this helpful,,486136,83,81,Public
Sweetestmuffins,/gp/profile/amzn1.account.AFNNL43IWHFZBIV6D3KEXEFWEP3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 10, 2019",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"Ok. So A plus for durability.  It's thick. Easy to inflate. But I find myself in a constant battle with the damn thing.  I live in south beach Miami.  Our ocean is known for being as flat as the chest of a new resident before she finds 'dr Miami'. As a lounger, you will have to use ab muscles to stay on it. Ok. Flip the mesh over to put my tummy on the foot rest and lean on the u. Boom. Itll flip out from underneath you.  Try to use it as a seat? Be ready to fly and flash the whole beach. Ive only tried it sober. Havent worked up the courage to make a full arse out of myself and get drunk on the thing.  Would likely work better in a pool. Going to sew the ""seat' to the u part and see if I stop getting hucked off of it every time a fish takes a fart.",I want to love this,Color: Mosaic 3in1 Pool ChairVerified Purchase,20 people found this helpful,,128543,142,129,Public
Chalayne H,/gp/profile/amzn1.account.AGO3RPJF3KERYFETUJQNOS5IUZMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 3, 2020",1,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"These are the best floaties we have ever purchased! My husband being a tall guy was worried they would still be too small - but they are perfect! The fabric cover is way more comfortable than plastic, and inflation/deflation is SO easy. We just bring along our battery operated air mattress pump and they are full in seconds. When it’s time to go you open the large valve, do a quick fold and they go back in the bag! We will be taking these on all our beach trips.",Travel friendly.,Color: Zero G Pool Chair Teal FernVerified Purchase,12 people found this helpful,,1298980,31,62,Public
Nestor F. Estrada,/gp/profile/amzn1.account.AG2SMQVOFGQTO3YQGQUSOAJNFTEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 12, 2018",1,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,It worked really well for about a month. We used it maybe 6 times during this time. Both of my kids were laying on it when it ripped from the middle. As they tried to get off it fully opened.,It was fun until it ripped.,Color: Teal – 1-2 Person Xl HammockVerified Purchase,29 people found this helpful,,1369354,55,40,Public
Kerry B.,/gp/profile/amzn1.account.AE325EUIOCDQMTFQKYH44SYGTZBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 28, 2018",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"Upon receiving this I was immediately impressed with the heavier gauge of the vinyl. I've used this twice already Memorial Day weekend 2018, once at our pool and I liked it so much I took it to a friend's pool party the next day. It packs up small to throw in your pool bag. I did read a review saying it takes this product a while to dry out... not sure why. I threw it over the shower rod and it was dry by morning. It takes relatively little time to blow up and deflate both ends. I am a 6'1"", 270lb guy and honestly this thing held me up perfectly. I prefer the laid out position and the chair position (meaning turning it sideways and using both ends as arm rests). I did try the saddle position but I have a feeling that getting into that position in 4-5 foot water could cause a lot of stress on the netting material (which I believe is the first place this will fail). I did a lot of research on Amazon looking for a good float in the $15-$20 range and went with this one. I couldn't be happier. I hope this makes it the whole summer but at $15 I would consider another purchase already if something happened to it.","I'm a 6'1"", 270lb. Guy and Happy With This Purchase.",Color: Blue LightVerified Purchase,15 people found this helpful,,37312,323,95,Public
Jen14,/gp/profile/amzn1.account.AGKJZO7GSB6T2WVBPJUYYWNRY4JQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 12, 2017",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I love this thing!  And so does my 10 year-old son.  It is very comfortable in any position and holds you in the water so you are mostly submerged with your shoulders exposed.  My favorite thing about this is that you do not have to get on a ladder or have someone else hold it so that you can get on it. You can push the mesh fabric below your body easily and actually get on with some grace!  The vinyl is heavy gauge and the item is well made, but I'm not sure how long the mesh fabric will hold up with exposure to the sun and chlorine.  I'm guessing I will get two seasons out of it, which isn't bad for an item under 20 bucks.",My favorite pool float.  EVER.,Color: Orange – HammockVerified Purchase,24 people found this helpful,,159387,558,71,Public
Colleen H Deemer,/gp/profile/amzn1.account.AGN3IMCP7DFLZUCYKNVCUUTVWQWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 23, 2019",1,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"I ordered 2 floats, 1 of 2 came with torn seams to the pillow area. I sent it back the same day and they sent me a new one. It hasn’t been a month and the pillow tore again. The floats are only used for the pool they get rolled up and put away when they are not being used used. They were not abused. I have only used it about 3 times.Update- they sent me another new again so we’ll see.",Very comfortable. Poor stitching,Color: Navy 3in1 Roll Up Pool FloatVerified Purchase,14 people found this helpful,,1363310,44,25,Public
Jadevirgo,/gp/profile/amzn1.account.AENO6LESYX52XTNKM7A3YQU3LHJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 25, 2019",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,3.0 out of 5 stars,"I bought 2 floats at the end of the summer last year after seeing them at our community pool.  We inflated both of them with no problem, and everyone asked where we purchased.  Unfortunately, one of them has a leak because after I was seating so comfortably, I noticed it wasn't holding up.  We took it back home to inflate again, and noticed it was holding the air . . . because I loved it so much, I ordered another one because I think it's more of an exception and not that it's a bad product.  Since I bought it a year ago, I didn't know if Amazon would exchange.  I'm hoping I can find where the leak is coming from.  Although we can sense the general area since we hear the air and see the bubbles, but we can't pinpoint exactly ;-(",Sad :-(,Color: Orange – HammockVerified Purchase,9 people found this helpful,,1916363,62,78,Public
theresa,/gp/profile/amzn1.account.AGD4TY7CBU3MN2JVIZQOTQIMM6LQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 25, 2019",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,I bought this for my vacation and when I got to my destinations and blew it up there was a whole or leak in one of them. So I could not use it. The leak was right at the seam where the stitches are. Please check right away so you can return yours when you find out it has a leak as I cannot return mine now. Huge waste of money!,Leak at stitches where it was put together,Color: Burgundy – HammockVerified Purchase,12 people found this helpful,,1132213,171,145,Public
R. Naylor,/gp/profile/amzn1.account.AFY37GAUKEFUHZMM2YDEQRF5T5EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 31, 2020",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,This item is a cheap imitation of product from Aqua Leisure Industries. I had a previously purchased this item and the pillow cushions were more of a fabric material. The one I received on this order was cheap plastic with a foul odor. I feel the company was deceptive in their advertising since they advertised a picture which looked like the other company's product. They shipped something with different packaging than they advertised with inferior quality.,Cheap imitation of Aqua Leisure 4-1 Monterey Hammock,Color: Blue LightVerified Purchase,8 people found this helpful,,7196454,13,8,Public
maggi,/gp/profile/amzn1.account.AGNBAPGIH6VOJIHPMHVERMNCAAIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 29, 2018",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,"I have these in four colors--navy, aqua, orange, and pink. The navy and aqua ones look brand new, but the other two have lost their color significantly. I mean they're almost solid white now. I loooooove the style of these floats because they're comfortable and versatile, and they're much easier to get on and off of. Unfortunately, they haven't proven very durable as two have already popped in the seams after only ever being very gently used, so that's very disappointing.",These popped disappointingly quickly,Color: Blue LightVerified Purchase,12 people found this helpful,,557117,238,53,Public
Terri Lavender,/gp/profile/amzn1.account.AF4THSRAFF5M675MEYPKWJJ5ATLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 24, 2017",1,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"These are terrible! Received them quickly, however they do not stay aired up. Could not find a hole but still does not stay blown up and as you can see in the photo are very lumpy",These are terrible! Received them quickly,Color: Blue LightVerified Purchase,42 people found this helpful,,13035342,42,9,Public
Todd Buckley,/gp/profile/amzn1.account.AGTMRJP4H7BXE6DSXPIHUKBVHI4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 20, 2020",1,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,"In early June this year I bought Aqua's Aqua Oversized Deluxe Pool Lounger, Inflatable Pool Float with UPF 50 Sunshade Canopy, Heavy Duty, X-Large, Navy/Aqua/White Stripe. It is great. Holds air, comfortable, sturdy. I purchased and expected the same from this Aqua product. The box appeared to have been opened and taped over, and I hesitated in opening the box. My suspicion was correct. After inflating and ready to attach the mesh seating, I found this tear. I hope this feedback will help Aqua look over product before shipping and or shipping what may be a product already returned previously, before shipping a product to another customer as new. I am waiting for my next Aqua purchase of their Premium Convertible Pool Lounger, Inflatable Pool Float, Heavy Duty, X-Large, 74” – 90”, Navy/Green/White Stripe. I will look this one over thoroughly before inflating. Hope this helps anyone considering the products.",Consideration of Quality,Color: Zero G Pool Chair Blue FernVerified Purchase,6 people found this helpful,,2913472,11,10,Public
LoveMyAmazon,/gp/profile/amzn1.account.AEX2G5SGVNUJJWXJ752CQFF4LDNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 18, 2020",0,,https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/product-reviews/B01CETEZ78/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"We have a very large above ground pool. Over the years we have tried many floaties. These are by far the best in terms of practicality, design and usefulness. I could give a million reasons but I’ll just give the highlights. First off, they are made excellent! Nice and thick materials that shouldn’t get holes on 3.2 seconds. Gotta love that! Second, super easy to inflate! You don't need a pump. Just a few breaths and you’re done. No passing out in 95 degree sun blowing things up or fighting with a pump -sign me up! Third, easy to use! We have a family of seven and everyone fights over the two I purchased for a test run. Guess that means I meed five more! Fourth, they stay IN the pool on ridiculously windy days! Gone are the days of chasing a 6’ unicorn, flamingo, duck, peacock, swan and lord knows what else a half a mile down the fields behind our home! There’s a visual for you! So frustrating running after things that blow out because they sit high on top of the water. Fifth, storage! I havent heard hubby lose his marbles over all the crap in “his garage” since these came two weeks ago. He is not a fan of the floaties. He threatens their lives with box cutters for taking up so much space. He must have childhood floatie trauma or something. Sixth, they pack like a dream! Took them to a relatives last weekend and only needed one pool supply bag...not seventeen. Proof there is a god for those of us who despise packing! Seventh, everyone fits. Reading reviews where people complain they “dont fit” is comical. Everyone fits. Our family is all shapes and sizes and are just fine on the regular size ones. People who need to complain about the size need to learn how to use them. Unless you are 9’ tall and wide these will fit just fine. I will say they are comfortable and love that you are in the eater but able to relax and have neck support. I could float for hours! Staring at the pool and seeing these floaties while working at home is the only struggle for me because I want to be in the pool NOT working-haha! Great purchase, will be getting a bunch more!",🌟 Million reasons why these rock! 🌟,Color: Blue LightVerified Purchase,4 people found this helpful,,15322,1007,506,Public
