author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,Unnamed: 11,helpful_votes,total_review,visibility_status,ranking
Nick J.,AHW2L2JKPJEGJQ72NEWPM53URCOQ,"Reviewed in the United States on July 18, 2018",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"This mug is terrible. I received my first which had a suspiciously loose/wobbly release button, which you press after unlocking the mouth opening. It flooded my shirt with coffee on my way to work.Emailed for a replacement which was sent very quick, so great customer service (this review is strictly for the product) - however, this one leaks STILL.Just not as much or consistently dripping. If I carefully hit the button and remember to release a long second or two before I stop drinking, then and only then will there be very little dripping, sometimes no dripping.The mug is an awfully non-intuitive nor functional design and will be returning both shortly. Still irritated and cannot find a non-contigo mug now.",Terrible design - why the hype??,Style: No HandlePattern Name: 1 16 OunceColor: BlackVerified Purchase,23 people found this helpful,,214,43,Public,1245809
Bryan Woodward,AEHMMAZDX3W7JRYVZ5IBN7KIMNJQ,"Reviewed in the United States on September 22, 2018",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Your browser does not support HTML5 video.                       This morning I went to use the product.  Put the coffee, filled near the top, got distracted by kids, went to drink it and as soon as I pressed the button hot coffee spilled out of the back where the lock button is.Look at the video and you can see how it shoots out.I am going to go search for the website where you can submit products that are unsafe.Beyond nearly getting burned this product is falsely advertised on being able to keep coffee hot for 5 hours.  More like 1 hour or less.  I bought this to replace my Thermos Sipp travel mug that had cracked from dropping.  That product I had occasions where my wife made me coffee in the morning and I didn't get to it until after work and it was still hot.  With this product it was luke warm in less than 3 hours.",Needs to be RECALLED for safety.,Style: No HandlePattern Name: 1 20 OunceColor: Stainless SteelVerified Purchase,38 people found this helpful,,49,7,Public,5025495
E. Shelton Wilder III,AF3CV652XDD3Q2SNKZS4EZGRBVOA,"Reviewed in the United States on November 29, 2016",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"I purchased this expensive Contigo Autoseal mug based on reviews and comparisons with similar products. Initially it worked well, and I was impressed with the no spill function. After about 3 months it began to leak from between the threading that holds the top to the cup. At first I thought it was just from not screwing the top on tight enough. That makes no difference. I have ruined several shirts with drips of coffee coming from under the seal. I have inspected, cleaned, and retried this cup a few times since then. It seems to work after being dried thoroughly before reuse. But then after the second fill of hot liquid it starts to leak again. I held off writing a negative review and thought I would just never buy again from this company. Today, after giving it one more try and dripping coffee into my keyboard I decided a WARNING for other buyers was appropriate. The company says they have a life time guarantee. But I can not find a way to access that opportunity. I would not buy this product again.","It does not spill, but it DOES LEAK.",Style: HandlePattern Name: 1 1 Count (Pack of 1)Color: GunmetalVerified Purchase,58 people found this helpful,,218,62,Public,796855
Kristin Davison,AEFVGZVD2T5MO5OLXZ774M2HXXMA,"Reviewed in the United States on May 17, 2016",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"My husband and I have bought 5 of these. They last FOREVER but we wanted new ones because of the new top part. The new product (this one) has the mouth part that pops out for easy cleaning. This keeps my coffee warm for HOURS, doesn't leak, and I love the new lock so it can't spill if I put it in my bag.Pros: - leakproof - keeps coffee hot (sometimes I have to leave the top off to let me coffee cool otherwise it takes too long) - fits nicely in my hand - easy to drink from - fits in car cup holderCons: - color on the mug does eventually chip off in the dishwasher even if on the top rack (but only after about 4+ years of daily use) - spurts a little bit each time the first sip because of the built up pressure after you put the top on (not a big deal, after I screw on the top I just push the button once to let the air out before I take a sip)",Contigo makes great products,Style: No HandlePattern Name: 2 16 OunceColor: Stainless Steel/MonacoVerified Purchase,60 people found this helpful,,51,8,Public,4304137
Vince,AEOLLQTLZCAMXJ7VDUVBIW3DQFAQ,"Reviewed in the United States on November 25, 2016",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"Not sure what the hype is about this product. Keeps it warm for a little.. then doesn't hold the heat. Also, after sipping, the sippy hole part fills itself up with the liquid. I've even dried it off, and it somehow fills itself up, even with just water! Guess the auto seal system suctions up the liquid there, then it spills out. Not good for if electronics or important papers are around.This product is not worth it. I will strictly use this for my office, and be cautious with having it by anything important. I would look elsewhere, this product is not what everyone is saying it is, and doesn't even hold heat that long. It spills, it loses heat, it leaks. The only good thing about this is the material it's made out of, which is why it even gets a 1 star.","Terrible, spills, leaks, even when closed! doesn't hold heat.",Style: No HandlePattern Name: 1 20 OunceColor: Stainless SteelVerified Purchase,49 people found this helpful,,33,19,Public,3673914
Arta Records,AFI5D4B2Y42TUPRNE2LM44JWQ3MA,"Reviewed in the United States on March 8, 2017",1,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=5,5.0 out of 5 stars,"Absolutely the best.  My life wouldn't be the same without it.  It goes with me wherever I do, at work and at home, in the car and when camping... It's become my blankie, I feel insecure if it's not around  :)Sitting right here on my couch next to me as I'm writing this - 'cause I know it will not spill.  Peace of mind.  A beautiful thing!The only negative: I've gotten so used to drinking my liquids piping hot, I can't seem to be able to use regular cups anymore - unless I gulp down the contents in a minute or so before it becomes a lukewarm blah :)Just decided I would leave this review after 3 and a half years of 24/7 use.",My blankie for over 3 years :),Style: No HandlePattern Name: 1 24 OunceColor: Stainless SteelVerified Purchase,27 people found this helpful,,64,22,Public,3616587
Anthony,AHGS5FAZSHWSGLX6IBINZJKKSJ5A,"Reviewed in the United States on March 23, 2017",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=6,1.0 out of 5 stars,"I was going to leave two stars because the sealing aspect and insulation is quite good, but the things that are wrong with it ruin it far too much for that to matter. I have two main issues, that even alone would make me not use this container.1. It is very difficult to sip from. The way it is designed doesn't allow you to sip at a hot drink. You have to push the button and tilt the drink further than you normally would have to for a drink and it comes out quickly when it does. I've burnt my tongue a few times already trying to make this work for me, and it just doesn't.2. The lid makes the drink taste like plastic. It isn't a subtle thing either. The difference in taste is night and day when I take the lid off. It is disgusting. I've washed the lid a few times, one of which was through the dishwasher. Nothing helps.Both of my problems were with the lid. I'm honestly not sure how other people are enjoying the product. I bought 2 and both have the same issues.",Don't like the lid.,Style: No HandlePattern Name: 1 16 OunceColor: BlackVerified Purchase,32 people found this helpful,,151,61,Public,1297014
mikey,AGJIQG4KPOMYTOGYHTIFKK6RSDSQ,"Reviewed in the United States on September 30, 2021",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=7,5.0 out of 5 stars,"The best travel mug EVER! My son had one and praised it, so I was convinced I needed one too. I fixed a coffee the normal way and poured it in. Now I was ready for my road trip. An hour later, the coffee was still almost too hot to drink. I took sips as I drove along. The coffee was still drinkable warm after 2.5 hours. Even better, it was easy to drink with the car bouncing along (Corvette, stiff ride) and did not spill a single bit. My son and I both recommend this one.","Be careful, this thing keeps your drink hot for a LONG time!",Style: No HandlePattern Name: MugColor: Matte BlackVerified Purchase,5 people found this helpful,,403,176,Public,184970
s reviews,AGG2ZAHYQMLV3LM4YQ7ZYMWKSRBQ,"Reviewed in the United States on April 23, 2017",1,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=8,3.0 out of 5 stars,"ETA: the bottom fell off the mug after only a few months worth of use.I drink bulletproof coffee each day for lunch. I make it before I leave for work each day and need it to stay hot. My old vaccuum sealed travel mug wore out so I picked up this one.PROS•appears to be well made•spill proof system seems to work well•the flow system works well and air control is great•fits nicely and is stable in cup holders•bottom cleans nicely with dish wand•nice finish with texture so it stays clean and looks nice without being slipperyCONS•doesn't keep liquid warm for long.  •loses half the temperature in 4 hours time•the mechanism inside the lid is difficult to hand wash•the lip of the travel mug is exposed so working in carpentry the lip is sometimes dirtyThis works well for the price. I don't like boiliing coffee so the cool down isnt terrible, but a little warmer would be nicer. If I wanted to drink cold liquids I would get a Yeti.",Bottom fell off after a few months,Style: No HandlePattern Name: 1 20 OunceColor: Stainless SteelVerified Purchase,11 people found this helpful,,73,2,Public,7661916
Eric,AFVYUY54LTCJKKEJFS65HOZ753ZA,"Reviewed in the United States on May 27, 2021",1,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5.0 out of 5 stars,"After I received this, I thought I ordered the wrong size. . . Nope, this thing is huge.  I was replacing a 16 ounce contigo that had seen better days.  As you can see from the picture, this is about 25% larger.  Even though the bottom dimensions are almost identical, this one does not fit in the cup holder of my Jaguar XJ.  The 16 ounce does.I use it for iced coffee.  It keeps my coffee ice cold all day.  In fact, by the time I get home, the ice still has not melted.  So far, it does not leak.  Only time will tell if it will last.One interested thing I have noticed is that with the way the drinking spout is, somehow it kind of aerates my coffee.  Gives it a really interesting flavor.  Anyway, after a few weeks of use, I do recommend this.",As no one ever said to me. . . Bigger than you think!,Style: No HandlePattern Name: 1 24 OunceColor: Stainless SteelVerified Purchase,One person found this helpful,,150,34,Public,1726496
David H.,AHOG23WMHDK4BX7TS6N5JROVAZTA,"Reviewed in the United States on May 14, 2017",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"High chance of mold in the lid around and under the spring and behind the flap. Very hard to fully clean. Do extreme cleaning on this, we never noticed the hidden mold and have been sick and feeling horrible for a few weeks. It doesn't disassemble enough to clean all the way. We would wash them daily. Found chunks when we used a tooth pick under and around the spring. We absolutely loved these cups at first, we have about 6. We will be searching for a different design that we can actually clean thoroughly.",Hidden mold!!,Style: No HandlePattern Name: 1 16 OunceColor: MonacoVerified Purchase,691 people found this helpful,,273,132,Public,136524
Bob,AFNYB2FEY5FM6KDOPQGNMJFZRHJA,"Reviewed in the United States on February 7, 2018",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I really like everything about this mug so I bought 2 more for other members of my family. They worked great for a while. But now a year later, 2 of the 3 have lost their vacuum and no longer keep beverages hot or cold for very long. So I figured it's just a manufacturing defect and they will replace. The problem is, they do not respond to warranty claims. Have filled out a claim form twice, including pictures and descriptions of the problem. I got an automated response telling me to wait 2-3 weeks for a reply. It's been over 2 months and have not heard anything. I tried emailing the warranty department directly, but the email bounced because the mailbox was full. Calling the toll free number results in a recorded message telling you to fill out the warranty claim form on their site - which is useless.",Worthless Warranty,Style: No HandlePattern Name: 1 16 OunceColor: MonacoVerified Purchase,402 people found this helpful,,181,108,Public,196612
Shawn M.,AE4XOOW4CZF623YT3WQB7NHJY5IQ,"Reviewed in the United States on September 11, 2015",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"This is the best coffee mug I have ever owned. bottom line: lives up to its promise. I actually forgot this mug in my office before a meeting and when I came back for it six hours later the coffee was still STEAMING. Bewildered by some of the negative comments... Why invest the time to log on to Amazon and complain but not take 67 seconds to read the enclosed instructions?? The rubber on the lid tastes funny? Wash the lid with soap and water before first use... AS INSTRUCTED. The cup overflows when you put the top on? Do not put liquid past the fill-line... AS INSTRUCTED. Yes, you just about fit an entire Dunkin XL (24 oz) inside if you go past the fill line, but this is sold as a TWENTY oz cup. So imagine that, overfilling it can cause it to overflow! Who knew? I burned myself because the coffee was too hot and/or I didn't know how to control the flow of liquid...? Surely that's a joke. Hot coffee is hot and this product is designed to keep it hot for a long time (which it does better than any other competing product I have tried in 2 decades). As for use... The, err, ""drinking slit"" (sorry, unfamiliar with technical coffee kid nomenclature) is exactly the same shape and location as that on every take-out coffee lid everywhere on earth. If you can't figure out how it works, go to the nearest Dunkin donuts or Starbucks or freaking McCafe and watch someone else drink a coffee. It is a fairly intuitive process.",Buy this at once and ignore the nay-sayers!,Style: No HandlePattern Name: 1 20 OunceColor: Stainless SteelVerified Purchase,"3,310 people found this helpful",,527,221,Public,384231
Usandall,AHMCVKE5R7S43JMHIQORYNQTB3TQ,"Reviewed in the United States on April 1, 2021",1,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=11,5.0 out of 5 stars,I have loved contigo for years.  I wanted something smaller for my tea on vacation.  When I found the 10 ounce size I was thrilled!  I did take someone’s advise in the reviews and fill my new contiguous with boiling water and let it sit for a couple minutes .....then I make my tea.  It is delicious....  warm in my tummy...  The lid is brilliant.  I toss it in my purse and there is never an issue.After receiving my stimulus check I was going to treat myself to a coffee plate for 130 ish but after reviewing the reviews why?  this keeps my Tea hot for an hour and warm for several hours.I tend to spend money on items that are topQuality.  I love when I find something economical that I would be willing to pay more.I don’t have time to write reviews but I had to for this little guy!Contigo THANK YOU,***THE BEST ON THE MARKET***,Style: No HandlePattern Name: MugColor: Matte BlackVerified Purchase,One person found this helpful,,18,26,Public,9011868
kmha,AGLZ4JWFRQOZHTDU2A6BT2IBXSYA,"Reviewed in the United States on October 11, 2018",0,,https://www.amazon.com/Contigo-Handled-AUTOSEAL-Vacuum-Insulated-Easy-Clean/product-reviews/B078X3NQD1/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=12,1.0 out of 5 stars,"This is the 3rd style Contigo travel mug I've tried. The other two were great so I tried this new style with the push button to drink. It is awful. It leaks the minute I tip it. I thought I didn't screw the cap on correctly, but that wasn't the issue. It just doesnt score on and seal properly.The new push button to drink style cover is also ridiculously large in size with many inner parts, even though the disclaimer says ""new, easier to clean lid"". What a lie.The other two basic styles of travel mugs were fantastic in keeping coffee hot and sealing against spills. This style is an EPIC FAILURE.Save yourself 5 bucks and just buy the basic flip style lid or the one where you pop the tab up to open the drinking hole.","Epic design FAIL, it's a leaker",Style: No HandlePattern Name: 1 16 OunceColor: Deep Blue Trans MatteVerified Purchase,5 people found this helpful,,1140,252,Public,8676
