helpful_votes,ids,total_review,visibility_status
734,amzn1.account.AEP34ACXUJVXTVY32GEJ3QQQ3QPQ/,223,Public
10,amzn1.account.AEFDSG52Y7GNG27IHKVYP3L475SQ/,5,Public
9,amzn1.account.AFSH6XBQGPUAQO4IF5D2A52BN4OQ/,35,Public
66,amzn1.account.AHW7XYJIW5AXQG5T23B5SWBN4P2A/,47,Public
3,amzn1.account.AGKUX2KBTJY5ZYKJGGKH4BKPJMFA/,17,Public
49,amzn1.account.AE7JOUAFZ2OSNS6DCF63VCVU55OA/,66,Public
74,amzn1.account.AG2VFPL3YOQ3K2FWXQYYBRFTVS6Q/,48,Public
4,amzn1.account.AFY4DNPJDCCBAP4QW5MKNSAQO64A/,34,Public
62,amzn1.account.AHYVFITJB5MOPUWYY6FQH57DO72Q/,101,Public
546,amzn1.account.AFJMVA5TJQABU4VAM4OHC663PANA/,226,Public
61,amzn1.account.AHGEXNXDAWZ2WKP7FVE77XWDHSZA/,54,Public
0,amzn1.account.AFA7W2CAKXLZCD57CTM3HOLMQKRQ/,1,Public
3,amzn1.account.AFJAO5H2YLA3NWOR6CLVDW5IR7AQ/,10,Public
1696,amzn1.account.AEZVHCN62WTT6NL4ODJNUWF4V3VQ/,203,Public
19,amzn1.account.AESHC2B5QPA2RX3ESRCDRNTE6OHQ/,40,Public
27,amzn1.account.AFKSBJ2TFOVLUSYSJCV7ETNEWAXA/,44,Public
265,amzn1.account.AGXOTCPH35SQCRKCGF4JYOFXG4JA/,284,Public
4,amzn1.account.AEGVPC3EZYPMDN4TT5IFQSYH6A7A/,19,Public
97,amzn1.account.AG6FHUOJJM3NAU5QK2OXXLDCK27Q/,193,Public
127,amzn1.account.AE5HIL3BKDOSJ4BIQJNPVUG3VBZQ/,192,Public
1383,amzn1.account.AGMEG22KDHW4DUA2KN3JX2FY7BJQ/,229,Public
10,amzn1.account.AFVVKDM2EB7LPO4VPNH6NHS3YXMQ/,31,Public
2159,amzn1.account.AEOMBTFZ2L4UDHI3HR66HJ3OZTFQ/,244,Public
56,amzn1.account.AHP4Z65EX6SBW2HG4Y4COI5GPLDQ/,72,Public
13,amzn1.account.AEPUPZPHMO5XGOOHTRM3RQJNE34A/,34,Public
521,amzn1.account.AGAUMXUTX35XUYU7LBCXPXSWF5ZQ/,575,Public
286,amzn1.account.AF6IYF3WR2FDQTSYMYBJW54QQPRA/,142,Public
55,amzn1.account.AGNYQVJU7JZZHJRFAHLL2IYHNQ5Q/,17,Public
34,amzn1.account.AGBCUIZXCOHGHVIA5GW5FTVXDHRQ/,36,Public
28,amzn1.account.AFOI2I6BB6YHKO55BBQF4LRQQXGA/,26,Public
87,amzn1.account.AH7CRJ66THYCFP2VBKR7PTNATORQ/,93,Public
119,amzn1.account.AH5WRQ377SZEH4BFL376ITSBJBHA/,150,Public
,,,
29,amzn1.account.AEC5JXUQYUMQ2XDBWDI7ZRVDVW3A/,25,Public
1920,amzn1.account.AHLJKRQQ4M3IB2AN7SWZHJLAKOWQ/,1173,Public
6,amzn1.account.AGZAGYDOZLEMLPJWX5VCTZAF4K3A/,8,Public
566,amzn1.account.AHTDH6O4B5TKVJOMGTHEQVOXMREQ/,96,Public
67,amzn1.account.AEAV3XFW3MDE2WQAOSV3JJW3MWGA/,123,Public
30,amzn1.account.AEZFFRIEY3GQQAWBWCVPWJQPEF4Q/,25,Public
71,amzn1.account.AHCWAYCMJ4UVEG3C62SD2EJEH7WA/,64,Public
1,amzn1.account.AGZ7O4PJ5UV4NPAV33QJCGQKQZHQ/,21,Public
459,amzn1.account.AFOYNUIQ33O2SAR2LMQS3EQJCZJQ/,164,Public
10,amzn1.account.AHDMWCFVXV4GRV7XDMN265JN7OLQ/,39,Public
56,amzn1.account.AHPHKTUZO4K4ECMLU6M7EKUL5Q4Q/,136,Public
80,amzn1.account.AG2BTADSTMRYFV5RGLTGHMWWMO7A/,94,Public
221,amzn1.account.AGX3DRSO5ZU2KDLB2WCVPUTPOJJA/,252,Public
1,amzn1.account.AE2F6QTIRCDXKVTA2KN6LNOF7P6Q/,3,Public
1,amzn1.account.AG2GNGK26DJF2RJHKXJV5E73UNQA/,2,Public
63,amzn1.account.AH65LRPDRQ2OZJN5NUPZ3QQK2NTA/,75,Public
51,amzn1.account.AGNWSNFSLQL2GJR3JI5QTU6PY5HQ/,59,Public
792,amzn1.account.AF6DDKZVZK3FGI6P5IIJOGADX3WA/,141,Public
1297,amzn1.account.AFZE6W47GFBJJBXFSBKNMNRHAUPQ/,345,Public
81,amzn1.account.AG6D2PLYI2O5PEG5AKMC3WUUTNLA/,57,Public
207,amzn1.account.AG3BVNY7CUU4ISXQQY44YUI4BEYA/,169,Public
35,amzn1.account.AG7J7YGPBS7LB37BYDQYO6PFVDLA/,42,Public
1,amzn1.account.AHX57GBEBMF5A7KKCZH7YO7ZHYWQ/,1,Public
132,amzn1.account.AFD7A5NY6R6L2KFFLP76ZZEM2LNA/,30,Public
103,amzn1.account.AHPSTQHSZWF6NC25WMA3NC6OOZZQ/,89,Public
41,amzn1.account.AH52QVDWITA6ZFLWQ7KAMNYXM76A/,43,Public
66,amzn1.account.AF2EZQKJQAGVXZZXVXBJH6CDKOZQ/,66,Public
98,amzn1.account.AGQA6JR62GTICYKC7S75BLHK3G5A/,84,Public
122,amzn1.account.AEAWPLGLW4LJ3VGWFVSZ3NQ4LTXQ/,173,Public
419,amzn1.account.AGN7IFF4VGTSQR2SLIFTF7XLWFVQ/,185,Public
9,amzn1.account.AEHOQ775HDCVCWIWNT3PCPRUXSGA/,41,Public
67,amzn1.account.AHTSA73QD3UI7KSGKUYGG6IHZQAA/,25,Public
4,amzn1.account.AFRR4AK6D26VXYV6SDBBHDVZZHNQ/,43,Public
5,amzn1.account.AGB3YOW3ZHR55M4H2EYHHVTG6PUA/,3,Public
16,amzn1.account.AEZSLWGAOHMKKZICNN555XZ65LZA/,43,Public
0,amzn1.account.AHUBW26NMS6IEB55ZABIX7LNQXCA/,23,Public
249,amzn1.account.AEHNSMZHK4W66AGGXDDKGAV6XMGA/,71,Public
619,amzn1.account.AHPHBJTEB3EANCBBSNITUITV55IQ/,492,Public
4,amzn1.account.AERRNFCHX2ZX42HXH3M2CZNSZRPA/,30,Public
106,amzn1.account.AG7AWCMQNK6FYJPNMQBKWY3QIL4A/,110,Public
21,amzn1.account.AH5I7D4J5JZVV45YH5WGRBFPSPKQ/,47,Public
202,amzn1.account.AEOI6IZWZLQGAQCA5III76XB5GEQ/,129,Public
15,amzn1.account.AHJBTPFBFU6EAPQSFNLAFE6LOHJQ/,74,Public
59,amzn1.account.AFTF5Z4H3CXBKB2HET3J72K6MTUQ/,131,Public
54,amzn1.account.AHBGZO7LX3X45YAQQUQKZZ6C3HHA/,111,Public
59,amzn1.account.AE2I4XKPCPTM6XQL5DCVN57YHTPQ/,92,Public
182,amzn1.account.AEGAMGWOMGCWN3UZ3UEPXAHDLT7Q/,555,Public
3,amzn1.account.AGCCZESTFIL3VO6US2AH2IYZZSMQ/,55,Public
7,amzn1.account.AHYGX5R6HWA7DSF2KRJJ65CADL5A/,13,Public
96,amzn1.account.AHQHBVBRIK3UECMNNA7X7Y7MBIIA/,104,Public
123,amzn1.account.AHFRE3QDZVAPL7IB73X4AFAGM4SQ/,141,Public
4,amzn1.account.AHX26463UAYB6HGIQRLUXUE7VXAA/,32,Public
55,amzn1.account.AHAXFBJKPZN4IXNUSRCGJC7GTUKA/,68,Public
67,amzn1.account.AFWSYNK4GPHUN5U7OSVN6C4ME45Q/,87,Public
24,amzn1.account.AG5B6OGTHYSG4KYVLF3E6WZDEVUA/,43,Public
402,amzn1.account.AFGD2Q2PDJ5HH5FSFIPY4PHG5MCQ/,91,Public
440,amzn1.account.AFGTFVT5HIBX34P3AQTCHKOW5M7A/,246,Public
5,amzn1.account.AG4RJEBKM6LS7N76QFSNLW2AMWIQ/,9,Public
8,amzn1.account.AETPK4DFZYBODDXG4ALOAUU66F7A/,28,Public
324,amzn1.account.AGVNV77UBHSGXJEQDXYILOO2GL2A/,286,Public
44,amzn1.account.AEGSOHEMQNQVUJF2YKRNDW5IRY5A/,348,Public
16,amzn1.account.AELTPAMEYXFOPSD3PX2KLKKYONGQ/,44,Public
12,amzn1.account.AHJAELH3E5EER4DQ3LIKTW3WCTPA/,28,Public
217,amzn1.account.AH7ZKUWXNJ53XD7TGUKGJPDUGWPQ/,79,Public
66,amzn1.account.AGF3UVDRFQ22OU2Z5IZPJOUJ4Q6A/,19,Public
11,amzn1.account.AHNRMIEWLOQMWNVPEDMSTXBRAUCA/,18,Public
38,amzn1.account.AFV3Z5MFYD3TP4EOO3SGVPK7IJWQ/,150,Public
1192,amzn1.account.AF4GX56NMMLQHXGOGCKC4QNQQ2RQ/,386,Public
41,amzn1.account.AHTCLGWJX75KFKBNAULTD32IQAFA/,216,Public
267,amzn1.account.AHTSFKJHIUATWGZ4XMVD6UCYAEEA/,223,Public
326,amzn1.account.AER5J3HNTPXLOXJXKTN7WUEWVM5A/,224,Public
12,amzn1.account.AH4LYEQ757VU4LS5BF4B6FKJ6JOQ/,59,Public
9,amzn1.account.AHE5RBN66GTNIPEZFGRSDLOKNUSA/,39,Public
13,amzn1.account.AE26RAZCQJRT4XABBCV7UY5GH3FA/,25,Public
118,amzn1.account.AGCB45SJ3NAWLTL2OF3PYA6EMVUA/,270,Public
259,amzn1.account.AFJDF2AI4FISQMNCYGISC4WWU23Q/,82,Public
154,amzn1.account.AGDBWXY2IH62NBNFPIH42NYDXSCQ/,199,Public
0,amzn1.account.AEKK6RFWJKBPKZYP6Y7FI2NNDH7Q/,1,Public
3,amzn1.account.AHYVWJIT6KHIN4UII272ZUHAKHXA/,18,Public
14079,amzn1.account.AG73BVBKUOH22USSFJA5ZWL7AKXA/,16908,Public
49,amzn1.account.AEOWNCALNUFVZMNY3IQB2N6QJQXA/,43,Public
40,amzn1.account.AHFIDCYGR5XB3UFLQQ2SUFGLKAMQ/,37,Public
94,amzn1.account.AFPP3NIHG7M2VRD7KKEE775YR2VA/,21,Public
203,amzn1.account.AGNG5US2GDMDROF75N4YAIRYF26A/,113,Public
83,amzn1.account.AGKVQOIBYNSMNFCQKUNMDF5G7ENQ/,24,Public
9,amzn1.account.AEM5ORPFEIOK52AUSO5KXQ7D4SPQ/,30,Public
2,amzn1.account.AEUNEMPIEEUKC6VA46SLEBZLKWDQ/,15,Public
185,amzn1.account.AEYSRMNHEFRH2T7CMBGZCAWQWALA/,362,Public
51,amzn1.account.AFZU5B66EBD2T267ZPWBHETXRK5A/,40,Public
120,amzn1.account.AHXXECT6VDFNAX45YTSFAXECQRDQ/,105,Public
19,amzn1.account.AFOOTNH3ZIGMAUIYVKYDVI6SEUGQ/,14,Public
44,amzn1.account.AFLT3XKUIZ4JE27OH5ZTT4WD6AJA/,123,Public
48,amzn1.account.AG6VCRJCPT7KRL7FYZNMZDPVVRWQ/,86,Public
6,amzn1.account.AE7R3ALUU3AUWRIKOIO4PUG5CWVQ/,27,Public
16,amzn1.account.AGDZAL75JMZZOJ6KK4G4XXYI4IPA/,48,Public
151,amzn1.account.AH6JUMSNZKEHWW3KAYTPVET3G3JQ/,160,Public
13,amzn1.account.AEYDCW6K4KGF6J7A6UXJJBWUZOIQ/,17,Public
480,amzn1.account.AEOX3YEJ4FWGP3ADPP5ZTBHQW7FA/,83,Public
1,amzn1.account.AH2QPGSQAPUE5ZZCL3H7PNVPOH7A/,22,Public
63,amzn1.account.AGHUYYIJJKF57SYFEXQZSLVT5KZQ/,23,Public
30,amzn1.account.AEGLNZ6HAZAJLWJ6Y57WZUFVE6NA/,21,Public
42,amzn1.account.AEI4PVSXJOSDDCQYIRJEPEC7DM2Q/,139,Public
88,amzn1.account.AGP6L2XMWLF53AHABKWKGHMH7J7A/,59,Public
13,amzn1.account.AE4BDFR7URXAFGLUBMHICBK2XGVA/,44,Public
78,amzn1.account.AF34JYI4LSUNQDWCTVJ77CWSDXFA/,159,Public
29,amzn1.account.AEW45JWM4HJWUVTPYZNFW66Y6MEA/,10,Public
7,amzn1.account.AE7S33RFGNADCRJMS2NZP6F2Z4YQ/,54,Public
21,amzn1.account.AF37CCPQFLDA7PIQFIW4NNFJY2WA/,45,Public
21,amzn1.account.AHXXSZXG7CSXDZ3ABKHPD74VLJHA/,59,Public
48,amzn1.account.AEGUHDRTFVGJ2OWQ2EKZI7HPQNYQ/,14,Public
5,amzn1.account.AGTRADF2WCGZEGNTZT6AWFENISQA/,36,Public
60,amzn1.account.AF7XGJNWZUBOBNSJNRSUC63B2YXA/,39,Public
89,amzn1.account.AGEXAMFOKANI65R5MI67N5TTYX3Q/,161,Public
53,amzn1.account.AHCSCPD73XWGBLGP22TYXPNDMNPA/,134,Public
6,amzn1.account.AGIWPCBLUCSMSNEWQES4FP2TD5TQ/,3,Public
10,amzn1.account.AGJLIQUAZX5A3I54RSVOEO3TVR3Q/,13,Public
36,amzn1.account.AEPNTQWGDWSYTJBSSLROIC6RQR2A/,37,Public
60,amzn1.account.AHCXSCWFNZCVSXZ3MHUKZ3E3E2HQ/,164,Public
46,amzn1.account.AGFK6EZ27QRTTSBABFCLR5SSICAQ/,118,Public
2,amzn1.account.AGXLTNDZ4OPKWPFPPOJAS7HAONCQ/,11,Public
15,amzn1.account.AEQFGINVY6K3Y3V32PH2JYOXM2OA/,58,Public
24,amzn1.account.AGUIL4BKLNWECGMRJJQDD2I7S3YA/,104,Public
808,amzn1.account.AEPS7EQGD7CCG7JJHB25ASCLTUZA/,366,Public
137,amzn1.account.AF2GQOP4OJFRXJNYQW3QGEINXNMQ/,76,Public
0,amzn1.account.AH5IOHRLNNVBKPC3HTTDQXIMNZZA/,1,Public
50,amzn1.account.AGU2UM7UG27NCA4CLIF2EAVYUGYQ/,169,Public
61,amzn1.account.AHKLN7QZ5GM3VMK2B5BQ6WVGCEGQ/,24,Public
145,amzn1.account.AFLPJVW3HGMYYT3ZVG5NPZIVYRXA/,173,Public
12,amzn1.account.AGZATJEVYKFJYKAZYGFFJMC3XY4A/,44,Public
23,amzn1.account.AEZ6V4BORO2BJSM3DAUBH3ZFOYYA/,56,Public
1,amzn1.account.AF62YYTCVG23TNENFWLL7UNYEFGQ/,6,Public
65,amzn1.account.AE7WRRBSROYGMVFP7RSVHY2XFMTQ/,177,Public
10,amzn1.account.AFLYKVZH3DMCC6P6UCRC3ZUBJ6MQ/,32,Public
9,amzn1.account.AGSVK6ACU36QP5DPFTCN6HW26R2A/,21,Public
148,amzn1.account.AEZVBXVQXADMPP4SKKMN62QM7M7A/,59,Public
15,amzn1.account.AHBQBJVAPAYAYR36CUZ7UFCI5TOQ/,59,Public
32,amzn1.account.AFM4EJJXNMH2ILA6RDGEJJCLL75A/,20,Public
467,amzn1.account.AF5UGX2NY74WFRZGU25CVO3FH4YQ/,433,Public
9,amzn1.account.AHDUFB42ZDIMNHJ6L3HQVXIZACMQ/,25,Public
48,amzn1.account.AFTMW6ETBEEPLIO7VO3SLU6FOJPQ/,115,Public
34,amzn1.account.AEE6DEGT5XVDRL2DNAC7WZHM3EFA/,29,Public
21,amzn1.account.AGXIC57C5QCAZU3URMSH5CS2LH7Q/,35,Public
7,amzn1.account.AFHT52RPIUZ3ZWWJLFTPNOTJTKZA/,28,Public
3,amzn1.account.AFCCSI5QNFHGTOX4ONNFO2NKXCQQ/,31,Public
169,amzn1.account.AEVKU6MT337Z5OEW22C2PDCOMRSQ/,147,Public
1,amzn1.account.AF3FVU7GFOE6F76V45FRVQZZO2UA/,11,Public
5,amzn1.account.AFGUPGKEKORSHIVFLW6HSLYX24LA/,34,Public
26,amzn1.account.AHFBZDLMU6SKY3NWBAJUCPZC4P5Q/,47,Public
30,amzn1.account.AEB7CYKLQROVS2TL2XJZHQEUEA3A/,63,Public
58,amzn1.account.AGTJLA2EP4FOYPB3LDTEIOVTZ3TQ/,78,Public
188,amzn1.account.AHL6VKN4UUXWNAXLGDJQDY5QZN7Q/,118,Public
215,amzn1.account.AF2ZV43UMNNMMKLMUC4PBBIHLRQA/,275,Public
11,amzn1.account.AG6DT5JLRDX6YECKBV3NDDXRC65Q/,50,Public
184,amzn1.account.AHSGTHCACK7BSD4SWQNIKECVEI2Q/,193,Public
35,amzn1.account.AGOEG554IDFBSHV4IRDVVH7ONFGQ/,67,Public
3,amzn1.account.AHMBF7UCS46MJXLWIY676WTVZWUA/,25,Public
1,amzn1.account.AG5AX4L4N3OGRUGNBAE5HUPLKIZQ/,80,Public
63,amzn1.account.AGTH2ETOQNUCINJPMIU3JQFXFWPA/,108,Public
9,amzn1.account.AFX7VKYE4FNL5YPTTAMCXD7Y5LAA/,22,Public
0,amzn1.account.AGI2FSKYQAI3OBEKDB4XRPFFIVPQ/,6,Public
97,amzn1.account.AFQLOZJS7HS4DW7QE7ARPLXAO4KQ/,169,Public
11,amzn1.account.AH7MPRZVQ6UQGOCGWRAH6U45IBQA/,40,Public
127,amzn1.account.AGR3PUMQQWPSTD62WOFFP2CUDSIA/,52,Public
27,amzn1.account.AH4T4PTZQZX5B3YLK2BFTNJSJSMA/,20,Public
46,amzn1.account.AGMOOXAFAA4BDBB46ES2V4YALEQQ/,116,Public
3,amzn1.account.AF7XSQGXSLSKBWT47PVZ7ILFNMLA/,14,Public
24,amzn1.account.AGGZ63ELRLG2HV7UVUJPHTX5BDJQ/,99,Public
0,amzn1.account.AGD4YNIIUBBSWACXC3DWRUVIUTKA/,27,Public
49,amzn1.account.AFPPMVWE6PDXCE3RND7IJ7JUXQ4A/,62,Public
577,amzn1.account.AHA2UOYIUOVYY5MVZIWSDLKQRUZQ/,184,Public
166,amzn1.account.AGIHRTTITYNIIPHZO3IJAH56BEYA/,158,Public
6,amzn1.account.AEGE2JEXORZCBD24UI3QUOSRQJXQ/,21,Public
17,amzn1.account.AGYGBROZODOMOQLV5XDLIZIIE7DQ/,29,Public
16,amzn1.account.AF57HLHCW3IV2AATAJVWSA7ZULWQ/,17,Public
51,amzn1.account.AEUQIN7EQLQRXLBKW6SPNE4IW7BQ/,58,Public
49,amzn1.account.AF5CTNAOWAQB56CZ7YLMXC3Q4IZQ/,43,Public
4,amzn1.account.AEAYH3N2GQWGM57M4OC343PIN4IQ/,28,Public
16,amzn1.account.AGIL2DCLZJ6L4B52DBOVDYK4P6AQ/,12,Public
9,amzn1.account.AFNOML3PMRWRYQTRJRIY5ALVNETQ/,40,Public
15,amzn1.account.AHKPABP7BA5QWDRNNAKNDCMCJGAA/,69,Public
19,amzn1.account.AEQKTRTUUGYPG64P7FUXFE2QSHIQ/,48,Public
38,amzn1.account.AEPINBCEDU5QLU6BGEUYZPUXW6ZA/,53,Public
11,amzn1.account.AEG6JSCCSPLNC3WDSNULLRNVWOXQ/,99,Public
109,amzn1.account.AH3CYH353L5X25HDCLPPN72DMIXA/,212,Public
100,amzn1.account.AGP2L6TFZ5DXHVJ5PSFPJKCHKY3A/,57,Public
10,amzn1.account.AFKGOO3HWNWMXQWVAGT25KIWMWLA/,59,Public
5,amzn1.account.AEYYKQB4EYHUK2IF6VWOPAJPJSIQ/,17,Public
62,amzn1.account.AEXCBPLKR6E6NEKGUINGZAJAX3RQ/,126,Public
293,amzn1.account.AGRMEWTJS4ZY4MUN46KZ4MCZ46PQ/,43,Public
12,amzn1.account.AEXANVGMW36EF3VT5VCJCTGMQXTQ/,12,Public
296,amzn1.account.AGFU2TGLL2XCGYSPUXJTB6URMZ2A/,205,Public
7,amzn1.account.AHLMGECSKDU4RMFX5E2UW5YNBLBQ/,24,Public
6,amzn1.account.AF5TITY5AADAA2AZME6LB2UTCCAA/,53,Public
14,amzn1.account.AE6HQFS2UYWIXCEG4NFJST774NDA/,42,Public
254,amzn1.account.AHN2LWT3LLQGEZZ7CICPQ4T4X6RQ/,98,Public
18,amzn1.account.AH6GCGEAOISWGFBOZHM2E52BMOJA/,36,Public
38,amzn1.account.AFIA6IICK5RUU66WF5ERQCA6SUKQ/,143,Public
14,amzn1.account.AE365TSAPCKWHV47GV5AVW53TVNA/,63,Public
30,amzn1.account.AENKHBVK4QN7JHO3BLMNYOUUKBXA/,31,Public
30,amzn1.account.AEPTM76A74LGF4MDSBRYQKRHP6TA/,87,Public
10,amzn1.account.AFROBU2DDTCBP2EZ24K64OCOMG4A/,82,Public
8,amzn1.account.AGS7SPMT37NKY2VJOYMEEVL3AKKQ/,33,Public
49,amzn1.account.AFPNQFRWJCLKGVYHCHEJNCTYMGDQ/,16,Public
1,amzn1.account.AG4UJPL6T2ILVDXJWVX2OFUSAYWA/,58,Public
148,amzn1.account.AGFLRRHT3WQ6R3IASN5L74R2SQYA/,377,Public
50,amzn1.account.AHQ57E57RD4OQMI2MM3DVOS7JBCA/,194,Public
337,amzn1.account.AHYTTANX5NF5MOQKXNQVMUALVGPA/,94,Public
8,amzn1.account.AFVGTTPMGDPRCY22PSL73KIE4XFQ/,56,Public
5,amzn1.account.AFMWYROFRT6CZEO3BIQ7EIQC5H2A/,28,Public
27,amzn1.account.AE53OPKG6RZU5DOSNABZ7Z3IDEBQ/,63,Public
569,amzn1.account.AESSZKUDQQPLSAJUZCXKSSRBUALQ/,412,Public
25,amzn1.account.AF5GBUKP6PVPF6ZETPLE6UBWEEMQ/,13,Public
110,amzn1.account.AFCEJIS74T37BTVNXSPZNBKLU44A/,38,Public
5,amzn1.account.AFTROGSET3PYF5MFX2FBJY7SQ53A/,6,Public
4,amzn1.account.AHITD5YVOAX2NM4G2ZO6AULXCNTA/,51,Public
46,amzn1.account.AFCP2JCX2CFJC7L3RMYLDSWMOLHA/,112,Public
19,amzn1.account.AFTI55EGGMWEDCZGGKUGYY6YBI6Q/,112,Public
2,amzn1.account.AFX45V5M3KKOXBAX3T64RPAI5DUQ/,6,Public
4,amzn1.account.AEUBCFQIL5WXO33WN3SRGNH4FCDQ/,28,Public
14,amzn1.account.AFNQZXYVRNJH2WMWXGP5WJWMJZHA/,26,Public
148,amzn1.account.AH3BRLS6KU6HA5BWO3AVPJGS4AGA/,106,Public
3,amzn1.account.AE7MPKK5RIMRGRGDDQBC2EGXJJXA/,4,Public
5,amzn1.account.AGJNQOHER3T7AMTSTFB6UG3R7EQQ/,16,Public
12,amzn1.account.AFDW6YTRK45O42J4I43EVRT6DHLQ/,16,Public
6,amzn1.account.AGK3VIXSIK5G3ANVED2LB3KCDR7A/,65,Public
5,amzn1.account.AHYPULE3AJEGXLOHPXMF7E3PLR7Q/,18,Public
8,amzn1.account.AGVOHJCLTV66KWZJQG7VDWTSEHJQ/,14,Public
668,amzn1.account.AEQGYI2YHNTLR2BWI5KCW2RTJWHA/,468,Public
19,amzn1.account.AFM7PGNU3A53HXR64N4Y2OMFUV3Q/,51,Public
3,amzn1.account.AHGDJD6SV7IZ4543T5KPSA5ITFDQ/,20,Public
1,amzn1.account.AHCOADVUP2F2V27G5VWJXF2YFJFQ/,7,Public
17,amzn1.account.AGOGRUQOTWPW5RBCW6JF2YRF2BWA/,174,Public
54,amzn1.account.AEDDGBCTX5D3VQR5UEZ7ML4XG3GQ/,151,Public
4,amzn1.account.AF2DNKJW7DCWTAHQWB72RHYTGB6Q/,35,Public
129,amzn1.account.AE4Q425OD33CVA3KR4WCCR3CMCQQ/,116,Public
54,amzn1.account.AEUW35WUT3V7R7AIRTJGOBAWS6HQ/,42,Public
0,amzn1.account.AGLCXQIZDUCS4E3ZV3SUAAMWTAQQ/,35,Public
6,amzn1.account.AF5OTZS4X4MB3IWHBGGSZWRG2A5Q/,40,Public
3,amzn1.account.AHCGH7XLDZCA3NRHTARMXB47GJEQ/,8,Public
46,amzn1.account.AEYPR3RMBRB43TWXQV75NC7HP5WA/,253,Public
439,amzn1.account.AFNJ5MS6FJSJZDNTUQVJ7EAKBMHA/,278,Public
24,amzn1.account.AFOTZR5ENHIODPUXHEA7JJBPYNHQ/,61,Public
5,amzn1.account.AGXZO6F4VRQSPXBUGGGGFHIRFIOA/,31,Public
13,amzn1.account.AFDAOTP67DCHLABUJLB5DJ37MERQ/,75,Public
50,amzn1.account.AFJBGWP5BA2MVGK5WR6GIXGY5FLA/,49,Public
10,amzn1.account.AH4FL5B7PNBFFZ7HFMQSOC6KAVVQ/,100,Public
29,amzn1.account.AGR4BDQYEZ2XPLIKBSOKCLJ7FBZA/,50,Public
23,amzn1.account.AFE3H4PTMLIPUSCH4BP6LF5E4UVA/,43,Public
76,amzn1.account.AG5PTPVLPYW6KPX7AS4UET2KKCSA/,173,Public
3827,amzn1.account.AFUE52HUSJZYTZMMNXNRKUGEJ67Q/,282,Public
18,amzn1.account.AFBICWKQKT4BTLQA62FXTRJ2GNWQ/,126,Public
6,amzn1.account.AG6RV6BIZ27Q35ITHRDHE2TOZELQ/,55,Public
2,amzn1.account.AFS47D5IZF2X2PLINYK2SZBZ74ZQ/,18,Public
295,amzn1.account.AEZIDCCOOIRDNPCPDXQOW4JYMWPQ/,151,Public
133,amzn1.account.AG4I6437LL6XTNVVTMFVOJNCQIIQ/,70,Public
8,amzn1.account.AGOHCUNIWHZLBHIQ727LIEEBCNPQ/,73,Public
84,amzn1.account.AHSPCX7463INPIMBSCNKL3UTRNWQ/,86,Public
151,amzn1.account.AHVETUO2UZC4HHQHB5W7UFOXB36A/,36,Public
7,amzn1.account.AE3CBNXTNQLCLPU7CJZA7IWZZWAQ/,48,Public
57,amzn1.account.AEGYWL3SN2CA7T2XTKKE7JQACBSQ/,39,Public
204,amzn1.account.AFE3KDBBTKOJCTTRJZOA5ZE773AA/,192,Public
100,amzn1.account.AG45U742RIYISJ5KNALUJDE4AF2A/,95,Public
