author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,helpful_votes,total_review,visibility_status,ranking
Crystal Davis,/gp/profile/amzn1.account.AFE6LMMA5BC6S2N2VUAJWT33FN7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 9, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"Great game. Wish lives generated faster, that's only downside. If the rate was increased then the game would likely be played more often",great game,Verified Purchase,,,,283,14,Public,13403573
Lillian Francken,/gp/profile/amzn1.account.AEKNRDTHRCNF4V56DPJXNX5OO6WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 4, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,My granddaughter really likes this. She said it was a lot of fun to play. My husband also likes it.,Liked,Verified Purchase,,,,37,32,Public,8004863
Kindle Customer,/gp/profile/amzn1.account.AFC3QXKVKCJ5OUCA5OHG6WSXEKEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 25, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,this is a fun game but some of the levels are to fustrating and makes you want to give up,fun,Verified Purchase,,,,98,195,Public,1579886
April White,/gp/profile/amzn1.account.AFPYFUKLZPFQZHNKFZCASDWQZZ6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,The game is both fun and addictive. I just hate that some boards are nearly impossible to complete without either needing a purchase or spending weeks on it.,fun game,Verified Purchase,,,,6,12,Public,57479211
JmoMom,/gp/profile/amzn1.account.AELJPYV4OAQLH3QAOAIJJQFO2GIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 21, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I love candy crush, play it on my phone and computer and now, finally, my kindle! Works great, colors are nice, updates perfectly w Facebook and other devices",finally,Verified Purchase,One person found this helpful,,,15,19,Public,24560008
29505,/gp/profile/amzn1.account.AF2R6FSNLYG5NI7GEHRTITAQMN2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 10, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Candy Crush is really good.I like candy crush so much.It is fun.Y'all have to get it.Candy Crush is the most candyest game ever made in  Candy Crush Saga.I'm on level 50 it is easy to play.Everyone plays Candy Crush Saga.When you get a 5 you get to mix it with the other candy.When you get to the other levels it gets a little bit harder.,Candy Crush Saga is awesome,Verified Purchase,,,,0,3,Public,67894633
Sherri B,/gp/profile/amzn1.account.AHFA7BG732CQVXCPJUNN5V3IQHVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 29, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,I like that the game gets harder and is fun to playMy Niece also enjoys the game when she visits,Great game,Verified Purchase,,,,2,24,Public,18274929
Valarie,/gp/profile/amzn1.account.AEGZP3UMLVVTXXB3MHBINRDKG6WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 8, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"good game, connectivity issues",Five Stars,Verified Purchase,,,,2,8,Public,48212553
Donald Jay Peters,/gp/profile/amzn1.account.AFJI6RYLOYEX4U6XFV4Q266XOLSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 26, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Give a try and you will be hooked!,lots of fun,Verified Purchase,,,,42,70,Public,3499983
Mamanana,/gp/profile/amzn1.account.AED6LBRVFRO6AKFCH5AMAYODOFNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 2, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,But tons of fun!  Good brain exercise!,Totally consuming,Verified Purchase,,,,1,14,Public,49304416
WendyMevis,/gp/profile/amzn1.account.AHGOTQNW4OFU5URUNFEY5RZ4DJZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 18, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,It's okay,Three Stars,Verified Purchase,,,,239,383,Public,313796
William L. Keating,/gp/profile/amzn1.account.AED7DCHJZY27MAYZDO75LW4UFG6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 14, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,2.0 out of 5 stars,Quit and leys do something betyerHooks you up then naggs about money to progress i am getting tired of the nag will stop playinuag,adicting,Verified Purchase,,,,242,15,Public,66402401
abock04,/gp/profile/amzn1.account.AF5DVPJCZ7NUQ4AMOCEP4CKL6H6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,This is an awesome n very addicting game that keeps going n going. It's fun and difficult at the same time. Definitely recommend this game.,fun,Verified Purchase,,,,6,12,Public,49329478
David E. Smith,/gp/profile/amzn1.account.AEOHMXQ66LXRUBMD5X3J34LQMJLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 27, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Fun to kill time with.  Very addictive.,Great puzzles,Verified Purchase,,,,20,52,Public,3921495
Charles Helton,/gp/profile/amzn1.account.AGB57MJDBX6B5QREU4TUSHWDZQJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 12, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,My wife and granddaughter play this game a lot.,Fun Game,Verified Purchase,,,,1,18,Public,33647724
mickey,/gp/profile/amzn1.account.AGQZYHEKYKPPLIHATWQOPLW2BPOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 10, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,A lot of fun and very challenging also.,great game,Verified Purchase,,,,22,40,Public,41249650
Gina Freed,/gp/profile/amzn1.account.AHJNHCYRFTOIUTTRE2RUA3C7USXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 18, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Someone needs to start a support group for Candy Crush addicts. I would definitely have to join. Every day I tell myself I can stop anytime I want to. I guess the real problem is that I don't want to stop.  I have to clear just one more level and if I don't get three stars, well...",Candy Crushers Anonymous,Verified Purchase,,,,0,5,Public,54832880
AZNATYVE,/gp/profile/amzn1.account.AENHOEBLJ62WDLSV75AWZGNLRFTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 17, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"This game is fun and addicting, great to take to an appointment while waiting. Does drain the battery on my phone.",fun,Verified Purchase,,,,5,23,Public,6341270
jomo,/gp/profile/amzn1.account.AEVRYDBTS7YT63TVZDJTQWPRSZEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 28, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,thanks great buy,Five Stars,Verified Purchase,,,,1,19,Public,37762114
gfelsman,/gp/profile/amzn1.account.AE66BDGFZPV2G6W3MUJYB7CLJTNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 10, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,My wife plays it for hours on end. First thing she does after she gets up. She has lots of Fun with this game.,"Lots of Fun, My wife loves it",Verified Purchase,,,,11,18,Public,44305636
Christine H,/gp/profile/amzn1.account.AHS7NSPDBTS3RNI2UZ32ZSLFA5QA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 22, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,3.0 out of 5 stars,Some minor glitches but fun.,good game,Verified Purchase,,,,19,60,Public,6804490
Adrienne Klein,/gp/profile/amzn1.account.AEBRW7B3GNPCIBMC7MWSNKQ7SW2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 21, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,"The game itself is challenging and addicting. Waiting the ""time out"" and ""admission"" into the next levels are the only drawbacks. I don't like asking friends to give moves, levels, etc.",ADDICTING AND FUN!,Verified Purchase,,,,4,8,Public,62273818
Beverly Minnis,/gp/profile/amzn1.account.AEYDEC56JRUEFMPTX7VXA2GIQQKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 18, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,This is a game I look forward to playing everyday after work. I love it!,Love it!,Verified Purchase,One person found this helpful,,,29,6,Public,29075269
larry jones,/gp/profile/amzn1.account.AFNFWOCENPXSBSZWQIWLZRK4LRCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 10, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,3.0 out of 5 stars,"it's a fun game,but it's all about making you paid to get ahead.everything in the game is structured for them (king) to make money off people who just want to play a game and have a little fun.",it's all about getting money from you!,Verified Purchase,One person found this helpful,,,13,7,Public,18341190
Jbrown,/gp/profile/amzn1.account.AE475YPNPQZNHOCWNSLA5YFQQBMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 15, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"I LOVE CCS IT IS ADDICTIVE AS EVERYONE'S SAYS. I HAVE NOT STOP PLAYING SINCE I STARTED.  IT""s great, try it and you will like it.",my favorite game,Verified Purchase,,,,8,10,Public,82501085
Linda Rose,/gp/profile/amzn1.account.AGKQVR7JIR4WCJLMFZVBYBPV2IGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 7, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Great to pass time . Nice to not have to spend money to continue thorough the levels...,great,Verified Purchase,,,,44,11,Public,57323684
T. Booth,/gp/profile/amzn1.account.AFOPWILR2NZSRF2KC52OBG5HVRRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 28, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"I love this game!  The challenges are often difficult, but not too hard to overcome. Thanks for making such a great game for me to enjoy on my Kindle!",Super game!,Verified Purchase,,,,2,13,Public,42820204
#1-CST,/gp/profile/amzn1.account.AHZ6PUJF3YGKVZTTG7CYV3CPQRMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 7, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"Why? Oh why did I start playing this darn game. It's way too fun, annoyingly exciting, and uncontrollably addicting. Thank goodness for the ""life"" breaks and friends giving me lives.  It's going to be a looonng winter. I just need to keep my kindle fire HD charged up.  I LOVE CRUSH`IN!!!!I am definitely NOT the queen of jelly, at least not yet. LOL.",Why? Oh why did I start?,Verified Purchase,3 people found this helpful,,,88,55,Public,6236731
Dmharris,/gp/profile/amzn1.account.AFQRWTS6AVLCED7N2VWYA7A53T3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 8, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Such an addicting game.,dharris,Verified Purchase,,,,48,47,Public,82841399
Darlene Williams,/gp/profile/amzn1.account.AG5VEJFVGKHDRPZDRPUI7LZHEOHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 21, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,"This game is highly addictive!  At times, it would be nice to have a help or hint option. It sometimes takes a few tries to figure out how to play the level. Great way to unwind after a long day.",addictive,Verified Purchase,One person found this helpful,,,2,5,Public,20986607
Wesley Blanchard,/gp/profile/amzn1.account.AGKXIPMB4MQUWATNOBZ2YEWXUQXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 29, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,"I like the challenges of the game. Some levels need strategy to successfully pass. However, some seem to just be random luck.",Candy Crushes other games,Verified Purchase,,,,7,15,Public,20986971
N. W.,/gp/profile/amzn1.account.AESVRVQSMMU2HVGRT2UOZTYODG2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 19, 2014",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,"There seriously needs to be a rehabilitation facility for this. Some levels are still on by.. others are like paper cuts to your eyeballs... I do, however, love this game.",Candy Crush Addict,Verified Purchase,,,,30,10,Public,62476611
Amazon Customer,/gp/profile/amzn1.account.AH5OF45HGGPOHC3MIGTC3I7Q3F3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 12, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,"I enjoy the different levels of the game, although a bit redundant, I appreciate the ability to see the Leader Board when connected to Facebook.",Fun Times,Verified Purchase,,,,8,14,Public,5114079
Dawn Goodreaux,/gp/profile/amzn1.account.AGFSNRU72SM2PEFSL5YL4R5S744A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 15, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,Hours creative challenging fun for all.,fun,Verified Purchase,One person found this helpful,,,4,6,Public,57822564
Sleepy,/gp/profile/amzn1.account.AGZJZC42YWFRP622ZHY5JWY7CQUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 15, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"Love it but, making me crazy!",Five Stars,Verified Purchase,,,,5,22,Public,82569240
Helen Barfield,/gp/profile/amzn1.account.AHEE7UB2WKUZFCQ6OACLTFF6YPUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 17, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,My grandkids love playing,Keep them occupied,Verified Purchase,,,,13,10,Public,46890716
R. Grippi,/gp/profile/amzn1.account.AFYQMCBQZPRO77SD53SE3CDFKQCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 21, 2015",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,This is my new addiction.,Five Stars,Verified Purchase,,,,84,80,Public,2295995
CJB,/gp/profile/amzn1.account.AF54BCHKKF7GKNO5SKMGO42KMRSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 16, 2016",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,Changed phones and hadn't played candy crush for sometime.  Started again lately and once again addicted to it !,Favorite game !,Verified Purchase,,,,2,15,Public,50130204
Marilu,/gp/profile/amzn1.account.AEABQEXEKIBEPGAPX6F7K5JVJMCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 3, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"Fun, but watch out it is sooooo adictive, but in a good way. I could play for hours and hours",You won't want to put it down. Yes it's that much fun,Verified Purchase,One person found this helpful,,,106,63,Public,1734957
Mimi,/gp/profile/amzn1.account.AGPVI6RQBP3ELE6UX7NWXPWIFTKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 13, 2013",0,,https://www.amazon.com/King-Candy-Crush-Saga/product-reviews/B00FAPF5U0/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,FAVORITE GAME IS SO ADDICTING EVEN GOT MY MOM AND AUNT ADDICTED TO THIS GAME ESPECIALLY MY MOM WE ALL LOVE IT,LOVE THIS GAME,Verified Purchase,,,,15,34,Public,1044841
