author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,,helpful_votes,total_review,visibility_status,ranking
J. Lubowsky,/gp/profile/amzn1.account.AFFFRXSW3NS2SX3C2AOTM4RNZNQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 19, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"This is a great app for children, it ail keep them busy until your devise dies! I would recommend you get this app for you, for your kids, for me- another child-! You will love this app.",Wow,Verified Purchase,3 people found this helpful,,,,231,16,Public,12020359
Mary Ann Kerr,/gp/profile/amzn1.account.AEIANLGE3F2BPVH4JWVQBVTEZCOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 9, 2015",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,It's a very fun game! =),Four Stars,Verified Purchase,2 people found this helpful,,,,145,97,Public,608369
C Smith,/gp/profile/amzn1.account.AEKQ73QLGD7D4NOHQRDYDJQCGMKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 28, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"If you like to play Temple Run, this is a futuristic version. Instead of evil monkeys chasing you, you're chased by a cop and his dog. You get to fly with a jetpack and you have moving obstacles to challenge you.",fun game,Verified Purchase,3 people found this helpful,,,,8,12,Public,10534320
Anthoney Hopper,/gp/profile/amzn1.account.AHASZQX7INASVLB5VV7MY6XJHGHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 13, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,This game is so much fun.Even though you only move up down left & right. Then again, I grew up with pong, tank, and space invaders.,addicting and fun,Verified Purchase,3 people found this helpful,36,20,Public,3453111
Kindle Customer,/gp/profile/amzn1.account.AFBS7EK5BLFOKUK2BZGXBRNKXBYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 9, 2015",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,CoolAnd awesome!!So much better than temple run.Cool and awesome!!!,Cool And awesome,Verified Purchase,2 people found this helpful,,,,4,23,Public,21448614
Kindle Customer,/gp/profile/amzn1.account.AE72BBUJBVGLUBH46LYQGJNJZILA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 9, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,My whole family loves to play this game! We love the fast pace running and jumpchaing.  I can't say there's anything I would change!,subway surfers,Verified Purchase,3 people found this helpful,,,,8,18,Public,10296246
Chassidy,/gp/profile/amzn1.account.AGWTEBAIFGZACGJMO5NKOJ6VHCYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 7, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Both of my children and my husband enjoy this game. It is one if the most played games in my household!,For all ages,Verified Purchase,2 people found this helpful,,,,53,23,Public,82616047
Anna,/gp/profile/amzn1.account.AFBVDJUWAQTTRZKY5FG2YMJZHKIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 30, 2017",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,I like the maps,Its about the maps,Verified Purchase,4 people found this helpful,,,,29,6,Public,31825100
MBebs,/gp/profile/amzn1.account.AGTYN45DYXCPAKPSHAJ3722NP2WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 31, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,those other reviews that say this game is bad are wrong. this is a very easy nice graphic game. i love playing it and am addicted. they used to have glitches but the makers fixed them all. do no think twice aboit getting this games. click the purchase button now!!!!!!!!!!  its free!!!!!!!!!!,BEST GAMES EVER!!!!!,Verified Purchase,7 people found this helpful,,,,26,33,Public,52087090
Tortuga,/gp/profile/amzn1.account.AFV5564VGCYLQ2GTDSVJHQR6SU5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 15, 2015",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,grandkids like it.,Five Stars,Verified Purchase,One person found this helpful,,,,267,367,Public,297533
gr,/gp/profile/amzn1.account.AHOJS76EEZUVPR76CT7DBT6JKAEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,this game better than the phone version,Five Stars,Verified Purchase,2 people found this helpful,,,,20,72,Public,3731074
Amazon Customer,/gp/profile/amzn1.account.AEV4WRSNGE7QS6TL2T6IDUBTM3XQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 14, 2017",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Awesome,Five Stars,Verified Purchase,5 people found this helpful,,,,17,5,Public,25910487
BadWolf,/gp/profile/amzn1.account.AHDLWK65DBBCZLUTTNRPCRZJU4QQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 17, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,This game is actually a lot more fun than I thought it would be great time passer and the graphics are pretty nice for a game like this,fun game,Verified Purchase,2 people found this helpful,,,,21,23,Public,11568433
Brenda Roan,/gp/profile/amzn1.account.AG7LG6F3XAP2Y4LG2X4PKYAPNPMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 17, 2015",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,My grandson likes this game...,Four Stars,Verified Purchase,3 people found this helpful,,,,137,27,Public,82841109
werner,/gp/profile/amzn1.account.AHXUQRYIGMOIFGR6ZG4CAZLJQSCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2016",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,clen fun,Three Stars,Verified Purchase,One person found this helpful,,,,44,85,Public,1708774
Mitch,/gp/profile/amzn1.account.AHWTJU6TKV32RPUA5PA5AMTAEQBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 4, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"I think this game is great because it is clean, fun, and entertaining. It is based off the move Rio.  GET THE  GAME.",*****fantastic game*****,Verified Purchase,3 people found this helpful,,,,26,23,Public,6534143
Mombear,/gp/profile/amzn1.account.AHD6Y5CMDDEP4U2DXICHW7NQGJKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 21, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,This game is so much fun and a great to play with!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!AWESOME and funny and and and and and cool.,Subway freak!!!!!!!!!,Verified Purchase,One person found this helpful,,,,2,16,Public,82576173
Robyn Wilson,/gp/profile/amzn1.account.AHALEBDVDUTSK4THDHE7WIWKB5HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 11, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Downloaded for my kid  but have wound up playing myself. Really liking this game but kids keep distracting me. Hopefully they will let me finish at least one game without being stopped.,Enjoyable but don't get destracted,Verified Purchase,2 people found this helpful,,,,9,12,Public,82555656
FPF,/gp/profile/amzn1.account.AEOXZ6F62UGVX23Y77UZ4SBEGCQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 2, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,This game is really fun and relaxing. I don't actually get frustrated with it at all. I pay this to pass the time but sometimes I get so addicted to it,awesome games,Verified Purchase,3 people found this helpful,,,,10,20,Public,16102904
walker,/gp/profile/amzn1.account.AFVIKG27QO4R52NQBBX6DAYXU2DQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 1, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,The game is very fun to play at first it was hard but know that I know how to play it it is very fun and essy,good very very good,Verified Purchase,One person found this helpful,,,,6,30,Public,10998594
jinjibuhain,/gp/profile/amzn1.account.AH3OMIGTFCNUEKOQGLKFKIPNXYVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 7, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,Never been much for games but this game got me hooked ! Thanks Amazon for making this available to us kindle users!,addicted,Verified Purchase,One person found this helpful,,,,21,23,Public,55110277
Melissa,/gp/profile/amzn1.account.AEJO5QVRQWLZD72SB4GYS3KLY66Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 7, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,this game is amazing its easy to update fun to play and best of all its free! !!! I love this game 5 stars,i love it,Verified Purchase,One person found this helpful,,,,107,29,Public,9884059
Sharon,/gp/profile/amzn1.account.AEK6NC3MXG6RPRYIULJTVHIEY6EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 17, 2015",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,"Great game!just,there is a little Lag that sometimes kills you.i wouldnt get the game if your internet is slow.Otherwise zits awesome,i would get it!",I Recamend it unless....,Verified Purchase,4 people found this helpful,,,,18,6,Public,56028815
BOB,/gp/profile/amzn1.account.AFBTO5ZJNKWEG2EBDL3FSPE2QQSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 15, 2015",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,I like the game,goofy,Verified Purchase,2 people found this helpful,,,,80,329,Public,713057
Kindle Customer,/gp/profile/amzn1.account.AHCGRX6XZWHLL6XNJGZJABGXFZIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"Love love this game. My whole family is addicted, and never gets boring because it chances locations when you complete it!",subway surfers,Verified Purchase,One person found this helpful,,,,23,24,Public,6043281
Melena Gfeller,/gp/profile/amzn1.account.AH7WT7QH3UMNQO4NN4SCZNYBUMZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 21, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,This game is really better than temple run! You should give it a try. You should try this on Facebook to.Sparky,This game rocks and is so much fun to play!,Verified Purchase,4 people found this helpful,,,,17,21,Public,47188598
B Woods,/gp/profile/amzn1.account.AFJFOONBDKVB5UHWVWLVTC3MGP2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 6, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,I love this game they always have cool levels and new people and items to get. It has gotten way better over time just wish items were not so expensive lol.,fun,Verified Purchase,One person found this helpful,,,,89,19,Public,28269587
Akacia McLucas,/gp/profile/amzn1.account.AH6ZLLV6WVMY4FS5YCIA7QXOJOPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 4, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,When I first downloaded this game I was just sucking at it but how I am becoming a frickin master at this on the first 2 I played I kept beating my highscore sometimes and I wouldn't exit the app I couldn't help myself!! KEEP UP THE GOOD WORK KILOO,HIGHLY ADDICTIVE!!!!!!,Verified Purchase,5 people found this helpful,,,,6,6,Public,63738588
ddjjr,/gp/profile/amzn1.account.AE3TUG2E2MNWZUFNNDV3HSAS3VMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 10, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,Grandkids love this game.  Good for hand eye coordination. Fun for adults too.would highly regimens this game to other people.,great,Verified Purchase,2 people found this helpful,,,,51,20,Public,20971264
Kat,/gp/profile/amzn1.account.AHUCWZ2NSF6QSRSGQCWHQFSCE64A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 19, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,My kids (ages 5 and 7) both like this game a lot.,Fun game  - keeps kids occupied,Verified Purchase,2 people found this helpful,,,,111,132,Public,974749
Elizabeth Johnson,/gp/profile/amzn1.account.AG7EMEBCPM337MQTXNIMYAH24MQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 29, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,It's a great game any kid can play it.Great game.,Five Stars,Verified Purchase,2 people found this helpful,,,,8,31,Public,6876322
Cymantha Guest,/gp/profile/amzn1.account.AFCI3BAEMB4RVL237BCEUEXFRKTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 13, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,"Addictively entertaining! The whole family enjoys it,  and I've noticed an increase in hand and eye coordination skills in my toddlers. Other than the fact that ultimately you're running from the police...lol..it's good clean fun.",We love it! Ages 3-30+ It's addictively entertaining!,Verified Purchase,3 people found this helpful,,,,243,9,Public,49837417
Gracee Abeyta,/gp/profile/amzn1.account.AEQEQ4UPU5N4MI3AIW46FVKA7MGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 6, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"Subway Surfers World Tour (Sydney) is a really cool, fun, and actually kind of addicting app! I really like it and play it all the time. My goal is to unlock every single thing, boards, people, whatever! And, yes, that includes upgrades. I recommend this app to, well, everyone! It's a winner.",Cool App,Verified Purchase,5 people found this helpful,,,,6,3,Public,67774177
Jessica,/gp/profile/amzn1.account.AF6EG6RB2IQJEG67CMWFYP4XG2TQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 20, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,I love this game play it just about everyday either on my Kindle or phone most of my friends and family play it as well,love,Verified Purchase,3 people found this helpful,,,,10,20,Public,34973153
AMC,/gp/profile/amzn1.account.AEWUTIEYXADEFXLB6NZIUJBG6OAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 18, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,My daughter LOVES this,Four Stars,Verified Purchase,3 people found this helpful,,,,55,56,Public,83294533
The Bookworm,/gp/profile/amzn1.account.AHFH6KBWUJO76QHTTKY4EGFU76EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,Grandson likes it.,Good for kids game,Verified Purchase,3 people found this helpful,,,,20,83,Public,7787298
Amy Slay,/gp/profile/amzn1.account.AFAGZCSHSKVJU3GHUDGMXTDZQJJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 3, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,Keeps me interested and challenged I will definitely keep playing this for a long time to come especially since they change it often,so fun,Verified Purchase,One person found this helpful,,,,53,21,Public,1349070
alexv78,/gp/profile/amzn1.account.AEOA22H3NCFLBYLYCGW7TPDODRNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 9, 2014",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,bien,Four Stars,Verified Purchase,3 people found this helpful,,,,15,106,Public,10676818
Mr Anonymous,/gp/profile/amzn1.account.AFSWM6XGJZDO76XDHU2WDBKOX27A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,3.0 out of 5 stars,"I use to love it but after the first week it gets boring.  It's fun because you can buy new characters and get trophies.  It needs an extra ""omfph"" to be a good game.  Maybe they should have different have different power ups.",Ok,Verified Purchase,3 people found this helpful,,,,412,30,Public,28049101
VALARIE JEFFERSON,/gp/profile/amzn1.account.AFX7WVM4OV6NOWHTUEXYPQPKL5HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 1, 2013",0,,https://www.amazon.com/Kiloo-Subway-Surfers/product-reviews/B009UX2YAC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,3.0 out of 5 stars,SUBWAY SURFERS IS OKAY MY GODSON LOVES IT THE MOST HE DOESNT EVEN SAY HIS JUST ASK TO PLAY THE GAME,ITS OKAY,Verified Purchase,One person found this helpful,,,,75,8,Public,20412806
