author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,ranking,visibility_status
KroyJoy,/gp/profile/amzn1.account.AHYBZUAAE2TISK3JB6A4Z65BBWVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 2, 2017",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,I'm pretty sure that my husband plays this more than my son. They both enjoy this game.,Enjoyable game.,Verified Purchase,3 people found this helpful,,291,219,468144,Public
H. Keller,/gp/profile/amzn1.account.AGJJ6JGY5FP247OCJFY3SUH7META/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2014",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"the game is.challenging on some levels, but overall its just mindless gaming. I typically play while waiting for co-workers to car pool. Its not challenging, except when trying to get...  ut that's a story for others to tell.",simplistic.but fun,Verified Purchase,4 people found this helpful,,85,79,4355907,Public
Unknown reader,/gp/profile/amzn1.account.AFLQQAPL2O6AZ3KC4QZAA3MNRLFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 24, 2014",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Everything is awesome and I have a good time for the castle and I have a good time for the castle and I have a good time for me to be the best of both the castle and I think the only way to be the castle and I have a good thing about this is awesome job and a half years ago and it will not have the only one that has the best possible to get to knowing about it and a few years back in a car accident,everything is awesome,Verified Purchase,6 people found this helpful,,6,6,21556089,Public
Adam,/gp/profile/amzn1.account.AHJKNXOX4HQC7E4LROJ4RTAWFRLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 20, 2013",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"Really fun kept my 4 year old very entertained because you can unlock new vehicles and other items fairly quickly. This is the first review I've written I have over 100 apps, very easy to play as well as control. We both really like it a lot!!",abruhn,Verified Purchase,3 people found this helpful,,58,94,941572,Public
Richard,/gp/profile/amzn1.account.AHLQYUCYW5HEPFLZLXRWR5JRL5UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 29, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"I enjoyed the overall experience of the game. It takes a while to accomplish things but it just takes patience, but in the end you get use to it and get good at it.",awesomeness,Verified Purchase,,,77,187,3021476,Public
C. D.,/gp/profile/amzn1.account.AHBAHALG3DL6JQMKMFNWIZXU3QYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 27, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"Silly and completely addictive.  My 7 year old son loves it, and so does my 40...something.....wife.",Silly and Addictive,Verified Purchase,One person found this helpful,,61,82,1385684,Public
Terri Boone,/gp/profile/amzn1.account.AE7F4I66SQCFDTYLVQJW7XQAMLKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 18, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"This game is played by my 5 year old and my 65 year old mother. They both love it!  There are different vehicles and different terrains to choose from.  As you earn points you can ""buy"" upgrades for your vehicle. We all enjoy this game!",They both love it! There are different vehicles and different terrains ...,Verified Purchase,One person found this helpful,,1,7,56524244,Public
M. Ruvalcaba,/gp/profile/amzn1.account.AHS7QNHU7H5BINTJAUEWZN5R3U4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 13, 2017",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,OK.,Five Stars,Verified Purchase,2 people found this helpful,,10,66,6992606,Public
Slammer,/gp/profile/amzn1.account.AETO44T5HNZN2QWKWW42FLWIVSFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 1, 2017",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,Simple and fun... for all ages,Four Stars,Verified Purchase,,,65,148,1983443,Public
Kelvin Anderson,/gp/profile/amzn1.account.AEWLJXTJ5UML4SG3XDDJRUFXB75Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 9, 2018",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Gaming,Good App,Verified Purchase,,,1,30,13913666,Public
Sabrina,/gp/profile/amzn1.account.AGXPB4AL6GOF3BTTYQO3MRRXOZ7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 17, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"love, love, love this game it's challenging and I got the whole family involved even the ones who don't like any video game. It's an all nighter if you can't get pass the hills.",Hill Climbing Racing,Verified Purchase,,,163,102,1015588,Public
Jim M,/gp/profile/amzn1.account.AGL46J3KY2ZEGGADTXDJI3GNJRNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 1, 2018",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Funvgame,Five Stars,Verified Purchase,,,26,139,83230175,Public
ALBA RHOADS,/gp/profile/amzn1.account.AFYBEE3OV55QWB2OL4NAL7W7I5LQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 15, 2016",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,ITS CHALLENGING BUT MY BOYS LIKE IT JUST THE SAME,Four Stars,Verified Purchase,,,29,41,11490248,Public
Franco the GR8,/gp/profile/amzn1.account.AFC4VXMB7ZP4ZBF5WFXMJ526PY3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 4, 2020",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"It's fun to play this game, it make me laugh every time the car flipped.",Funny game,Verified Purchase,,,6,10,19732188,Public
Mary K. Gunn,/gp/profile/amzn1.account.AEX5XEWAVIQZDU7QEQBL22FSIRSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 5, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,This is cool that it has really  really fast cars,best game ever,Verified Purchase,2 people found this helpful,,17,89,13293960,Public
ThatPedalFreak,/gp/profile/amzn1.account.AGBTI3KKRSEZYOC6VKCGB2KXPLKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2013",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"This is a game great for all ages. It has an easy 2 touch control and gives hours of hillbilly hill climbing! There's tons of cars to choose from, all being available to buy through earned coins! Anyone who is bored on their device will get some fun with this app!",great time waster,Verified Purchase,,,44,45,2484906,Public
woody,/gp/profile/amzn1.account.AGR7SJLIYAARHVX6ZMIPXUSMPI6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 26, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"I love this app, and i am completely addicted. However! I wish they had a backup save feature so that you can transfer your game to other devices and have a backup in case you need to factory reset so that you can retrieve your account (i had to do this).",The most addicting game ive played on a device!,Verified Purchase,One person found this helpful,,166,10,57452603,Public
J. Rick,/gp/profile/amzn1.account.AGPQBLGTAGATETOKCQTKJ7HGE2DQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 2, 2016",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,For a free app game its not too bad. Look forward to moving up a few levels and see how it plays,Good free app,Verified Purchase,,,208,181,2165357,Public
Kindle Customer,/gp/profile/amzn1.account.AGQCFW5E6XGZBJYE4SRZ7T3SFMCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 3, 2017",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Lots of variety + challenges.  Fun entertainment to pass the time,Fun entertainment to pass the,Verified Purchase,,,75,45,555585,Public
Levi Thomas,/gp/profile/amzn1.account.AGBBPZFC6JPH7FNVS5IT6RN6AEGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2016",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Moon+dirt bike=fun+$$$,Amazing! Get the moon level and a dirt bike!,Verified Purchase,One person found this helpful,,483,172,96156,Public
Barbie,/gp/profile/amzn1.account.AHSP32VDVE7MVCMLQHWK3KGY6XJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 9, 2014",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,3.0 out of 5 stars,"My 5 year old plays this game and he loves it! The only issue i have is the cost of the upgrades and to unlock levels,is unfair. I don't think it should require so many coins to do so. That's the reason for the 3 stars.",Good game,Verified Purchase,One person found this helpful,,22,48,5178671,Public
Erv Gotti,/gp/profile/amzn1.account.AGKHTSUO3RZLFQDE3EPMN4KARH3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 11, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"It's free and it's fun, graphics are nice and it keeps you entertained. My family plays on the fire TV by Amazon and we love itIt's fun and free and we play on Amazon' fire tv!","It's free and it's fun, graphics are nice and it keeps you entertained",Verified Purchase,One person found this helpful,,328,108,1552276,Public
adrenaline junky,/gp/profile/amzn1.account.AH7NG2XBDKSVC3JH7SWMR4M4FDWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 9, 2013",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"I have played this over and over. I have all levels opened with all vehicles at max. upgrades and now have 50,000,000 points with no place to spend them. It would be fun if they had a way to upgrade to more options once this one is mastered.",One of my favorites,Verified Purchase,2 people found this helpful,,743,157,20321,Public
Bimmerman,/gp/profile/amzn1.account.AFDJSU7J5TFY2TEP4FO3VFYHCPLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 21, 2014",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,"This was downloaded for my kids onto their kindle fires. I don't really know much about this game, but they haven't complained about it. I just want this out of my ""Products to be reviewed"" list.",This was downloaded for my kids onto their kindle fires ...,Verified Purchase,,,317,215,2333374,Public
kyesj70,/gp/profile/amzn1.account.AHFMW2GX2KSINVPX4HNGTT2JT2OA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 17, 2013",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,How come we don't have the hovercraft or the beach. I have this game on my galaxy s2 that my son downloaded from Google play and it has those updates... I love Amazon app store but it is constantly behind on updates...,not up to date,Verified Purchase,One person found this helpful,,108,38,4126953,Public
Will martin,/gp/profile/amzn1.account.AEBVPZLZ5UZFSOCJXUH5H7HIQA6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2014",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,I LOVE IT YOU SHOUD GET IT IT IS SO COOL!!!!Its up to you if you get this GAME!!I really LOVE this game because you can up grade you're car!!!I REALLY...REALLY...REALLY...REALLY WANT YOU TO GET THIS GAME!!!!!!!:),I LOVE IT IT IS EPIC!!!!:),Verified Purchase,3 people found this helpful,,22,31,46083637,Public
KJ,/gp/profile/amzn1.account.AGFC3SJTCDLEYFY7ZCDTGU2UCOCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 2, 2014",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"Very fun game! They did a superb job taking a simple concept and making it fun with a high replay value. I play a few rounds each day  and find it entertaining. They vary the performance of the vehicles and the stages very well! I love using the motorcycle on the moon! They did an exceptional job having the vehicles respond to the upgrades you install. Some games you can never see any change but with this game you can tell a huge difference when you upgrade your engine, tires etc. I found that there is enough rewards earned in the game to keep the upgrades coming and I have not had to make an in-app purchase.",Best game app by far - simple and addicting,Verified Purchase,3 people found this helpful,,156,94,1646853,Public
misstweets,/gp/profile/amzn1.account.AFHITOWRAR2MUSKGLRX3B6WF4KVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Last time I played the game it was almost a year if not longer. Very happy to see more vehicles and stages. Keep up the great work!,Awesome,Verified Purchase,2 people found this helpful,,6,16,48205058,Public
K. Smith,/gp/profile/amzn1.account.AE4VTWPZUWQKWV52U3UECKW3UHCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 26, 2013",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"This is one of the best apps ever! It is so entertaining and challenging! It's totally an amazing time killer! Fun to play with and mess around! It reminds me of Angry Birds...except that game got ""old"" really fast! This one never will! I love this game and you will too!  Keep on Gaming  Chloe",BEST APP EVER!!!!!!!!!,Verified Purchase,2 people found this helpful,,189,20,54698883,Public
R. Jones,/gp/profile/amzn1.account.AGXUA344VMQY2MRFWR54G6FPLO6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 2, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,It is the best game ever it is great I am very happy to have gotten this game it us the bomb all I want to do is play this game I am addicted to this game you will find the best game ever since the last membraneHoly cow,it is wonderful I can't put it down I am addicted to this game,Verified Purchase,2 people found this helpful,,491,27,9087570,Public
GCHQ,/gp/profile/amzn1.account.AEB4VW6RNSD3KYFDVQDC64TV7MNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 24, 2019",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,Nice.,Good price.,Verified Purchase,,,9,61,83148726,Public
Amazon Customer,/gp/profile/amzn1.account.AHVHB4NOH22E5VCQFO4ADBT6I2OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 10, 2013",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,"It is a great game, but it is hard to control the car. It is so bouncie, and it is kind of gross when the car flops over upside down and I think the guy brakes his neck when it happens. Otherwise I like the game.  ~THANK YOU FOR READING MY REVIEW~","great game, but...",Verified Purchase,2 people found this helpful,,310,33,22379407,Public
Vanessa L. Knight,/gp/profile/amzn1.account.AEM6ZSQB4PEKLQ3XECD3CEBWXW5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 20, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,So much fun...love all the different stages and vehicles. The only problem I find is that I'm sooo into it that I end up pressing to hard on the screen...lol,AWESOME!,Verified Purchase,,,116,43,5592432,Public
Cleopatra,/gp/profile/amzn1.account.AHC6O6FM4SMEFS6XQHE5AUK77DNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 28, 2015",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"My husband and son can't get enough f it. Both surpassing their 1,000,000 points for their upgrades. Nice, clean fun","Nice, clean",Verified Purchase,One person found this helpful,,21,68,4394717,Public
Kenny,/gp/profile/amzn1.account.AE7UPZ4NMR4A3774TSLMFSFSWVPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 20, 2018",0,,https://www.amazon.com/Fingersoft-Hill-Climb-Racing/product-reviews/B00CSR2J9I/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,This is the best game in the world.I love the cars and graphics. If I could rate this game this it would be 999-999-999-999-999-999.That is how much I love this game so make more like this please and thank you!,5 stars,Verified Purchase,,,0,1,58444687,Public
