author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,helpful_votes,total_review,visibility_status,ranking
Toby Gillen,/gp/profile/amzn1.account.AES7NORO4KJW6TJZPZ4JDVPRXFDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 6, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,This game is just the COOLEST thing ever and now with lifeboat it just better and better!,JUST AWESOME!!!!!!,Verified Purchase,32 people found this helpful,,,46,14,Public,9431347
Suzanne Stewart,/gp/profile/amzn1.account.AHZOEXAWOHEV33ATG4WGL6Q5M7QA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Love it playing for 3 years,Cool,Verified Purchase,,,,20,17,Public,6192251
Mamasknowbest79,/gp/profile/amzn1.account.AEJU7I2K6IH3VOK7GGGF3RN5UDCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 8, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,It was easier for him to learn than me!Glad we got it. Definitely recommend!,My 5 yr old LOVES Minecraft,Verified Purchase,,,,5,7,Public,46167838
Leo,/gp/profile/amzn1.account.AGORCJHGOT7OF2U4EQULB6WDNMVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 17, 2013",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,Hey guys I know you think it's cool and I do to but when I play it you can't sleep or eat .......ARE YOU SERIOUS I had spent most of my time building a bed ready to sleep but it did not let me sleep. Also when it was night and I had a iron soward but there were no mobs.So I just play the real minecraft,it rocks but lacks some stuff,Verified Purchase,,,,2874,46,Public,944788
Amanda Priest,/gp/profile/amzn1.account.AHV57B5VWXNBZQCOJXB3CLHI3J3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 8, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,Just it's boring without updates please get some more Because I just love this game😍😘😍😘😍😘😍,This is so Game is so good but I want more updates,Verified Purchase,,,,7,4,Public,
Kathy Jo Halvorsen,/gp/profile/amzn1.account.AFQ753RM5BOMCTDIVGRRCZ7URM4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,It is a fun game to play,Love this game,Verified Purchase,3 people found this helpful,,,13,9,Public,8285212
A P,/gp/profile/amzn1.account.AGM72FOCD2CSE4AATQQQ4FYHIDKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 22, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"A lot of my friends say the updates r getting worse and worse, but really to be honest we all know we're super excited about them. Minecraft is a great game based on everything pixelated. it's a great game.",I hope This helps,Verified Purchase,,,,3612,43,Public,286700
Bonj,/gp/profile/amzn1.account.AGITN24B2PGHBXXNEBX7SA7RVELQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 26, 2014",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,This is my fave game my brother and I always play it we like to connect and battle.  When I got it I did not know how to play so I HATED it.  After I learned how to play it became the best game Eva.,YAY MINECRAFT,Verified Purchase,26 people found this helpful,,,171,108,Public,2833460
Adam Kahan,/gp/profile/amzn1.account.AGI734254IPSHTWZEEZX23T35WEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"""I love it you can be so creative in any mode""","(My son's comments) ""This game is awesomeness""",Verified Purchase,131 people found this helpful,,,137,3,Public,41705253
Denise Fabian,/gp/profile/amzn1.account.AGCA7XMI7DXZBBP5WDJO7KOBSAWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 15, 2013",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I play it all the time just for fun. Zombies, creepers, skeletons, I don't like them at all so I turn on peaceful mode. The best part is that it has join game. I never used it tough. Well just buy it already. Have fun!","I just play it all the time, of course",Verified Purchase,One person found this helpful,,,1972,57,Public,409184
Bre E,/gp/profile/amzn1.account.AF4YHPJY6RQME3Z3YVUXDX7PWLYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Super fun I recommend,Kooooooool,Verified Purchase,3 people found this helpful,,,18,6,Public,82884321
Thaddeus,/gp/profile/amzn1.account.AHDKHBVNFN5UJIAPLQWDQPIDIKZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 13, 2014",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,2.0 out of 5 stars,Well I was excited about the update but now about 15 seconds after I go to play the app it brings me back to my other apps  but when I played the game it was really ecpessialy survival! Please help me with update,Update!,Verified Purchase,,,,1912,24,Public,3661835
JM8LAND,/gp/profile/amzn1.account.AF3QYR35TIDND3YV2VS7NM3F2BUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 16, 2014",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"It's not like computer addition it has way less things but it's time consuming and fun you have rail and minecarts, and animals I really enjoy multiplayer it goes to five per level to get rid of that annoying girl lock her out on options. There's good options and other things to do have fun on it for a while. There are some glitches but those are nothing to worried about it use your knowledge in this mobile game. You can only do multiplayer if you have Wi-Fi or a cell phone that does'nt need it. Other wise it's great for kids 9 up. It's great!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",Good,Verified Purchase,19 people found this helpful,,,222,64,Public,420031
Anna Beardall,/gp/profile/amzn1.account.AGN5PFDLVKLVJEFSNQGRFJMRQAGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 8, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,Its good but sometimes it doesn't update very well,Good but has glitches,Verified Purchase,,,,2,1,Public,
this is okay,/gp/profile/amzn1.account.AH5MQBG7L6VNXA7OSZUEHANRR5IA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 19, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,The update added a couple of new things not a lot and now it does not let me join  other people's worlds or it is glitchy when I do join NOT HAPPY 😈😈😈😈😈😤😤😤😤😤,update,Verified Purchase,,,,1295,28,Public,83439823
tiger woods,/gp/profile/amzn1.account.AHHDVUPAJLTK4KT7YPCXSKTGAIEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2017",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"I don't have the words to say how much this means to me. Mojang, U DA BEEST!",Idont have the words......,Verified Purchase,5 people found this helpful,,,40,6,Public,46184905
for the future,/gp/profile/amzn1.account.AHUVZT5FDPP3SEBDTILH75V55JKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 21, 2014",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"The 1.0.0 update is going to be awesome I mean 0.9.5 is epic both creative and survival is great for me I build awesome creations amd in survival I have two worlds that are citys the shut up sever and sweet ITS CREEPERIFIC I am impress alex all that work for some thing but here's some gliches that you need to work:spwan at the edge of the world ,when killed still in that form and crashes so keep helping and we'll keep building",for the future,Verified Purchase,,,,1282,1,Public,36476331
Christina,/gp/profile/amzn1.account.AGAZ5Q2VYNHVTAAVIRRIM3G3PRMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 24, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,It's a great app it's not like Xbox  but it's good for KINDLE,AWESOME,Verified Purchase,4 people found this helpful,,,13,20,Public,23167918
Denise McKellar,/gp/profile/amzn1.account.AGPORKD4SVF75ET52SIZSEJPKNPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2021",1,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"These two LOVE this game, worth every penny",Minecraft is fun for the littles,Verified Purchase,5 people found this helpful,,,20,58,Public,83207499
Kristen Springer,/gp/profile/amzn1.account.AG7WDKLTVXHPN56Q6NTAI5RJUEEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 24, 2012",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,ok this is frekin AWSOME!!!!!!!!!!!!!!!!!!!!!! thers only a few things iv got to say: more realistec and better tools to build and you can make ovens and you can make DIMOND tools and so much more!!!!!!!!!!!!!!!!!!!!!!!!!!! you have to get this app!,holy game,Verified Purchase,17 people found this helpful,,,343,30,Public,23292220
TJO3511,/gp/profile/amzn1.account.AHGLCE5ZUSJWN3URLUBHJLA6ZAYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 28, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,I have played Minecraft for two years and the 0.11.0 update was by far the best.A game I recommend to anyone who likes survival games.5 starsKEEP UPDATING MINECRAFT MOJANG!!Tnx,BEST GAME EVER,Verified Purchase,6 people found this helpful,,,13,5,Public,20949877
Tiffany Taylor,/gp/profile/amzn1.account.AEJ37QNB5ZDJ2T7YO4LNEUPJWIYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 26, 2016",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,First video hope you like it i'm 8 years old in 3rd grade.,dangerous park,Verified Purchase,,,,835,67,Public,80943
Riz,/gp/profile/amzn1.account.AHH22775NHH4ZJMWYEMM22T5VH3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 4, 2021",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,This is my favorite game but Mojang can you log into my account Benslothgamer88 and remove my capes for Minecraft texture packs pls they made my Minecraft gliched and I can't remove it pls,Best game ever,Verified Purchase,10 people found this helpful,,,11,1,Public,
Michael Burk,/gp/profile/amzn1.account.AGRCCUO77VX6YHIGP54B332WNWOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 2, 2013",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"I wasn't going to rate any products on here as I don't like the requirements, but I feel too strongly about this one to just let it slide on by.  It is a fantastic game for the platform.  Now, it is only in Alpha so there are a lot of elements of the PC Minecraft that are not implemented yet.  In reality though, that helps make this such a great time to buy it and start playing.  You have the opportunity to master some of the fundamentals while new features get added every 2-3 months.",Like Experiencing Minecraft From the Beginning,Verified Purchase,9 people found this helpful,,,23,10,Public,43576437
Kickez,/gp/profile/amzn1.account.AEQQRD7SZURDOPWMV6Q5S7EQQPNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 14, 2013",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,This game is so awesome I give it 5 star's so fun buy it worth 3.99$ (:!!!!!!!!! get just like pc awesome,so awesome,Verified Purchase,One person found this helpful,,,875,55,Public,216665
M. Peeples,/gp/profile/amzn1.account.AHOU4X7V3F6B5WP4GLY7SBBCN7CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 4, 2013",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,This game is incredibly hard to put down and completely engrossing. The possibilities for construction and terraforming are practically limitless.,Oh my god,Verified Purchase,9 people found this helpful,,,26,14,Public,43549147
K Honeycutt,/gp/profile/amzn1.account.AHSVMJSYMGBKZM75LM5KXRLATPOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 2, 2014",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Love it! Amazing!,Amazing!,Verified Purchase,5 people found this helpful,,,19,32,Public,7082544
Aimee K Sale,/gp/profile/amzn1.account.AFFX7P7ZDTTNSYFYOTAWJTNBYRWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 23, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"its AMAZING! You can get skin packs to custimize your character! In the new update theres whats called redstone to make machines. There will be a part 2 Update so you can have advanced redstone. All of my cousin's play it and LOVE it! If you play geometry dash, and want to play my Minecraft level, My name is Diamond8633. This game is totaly worth the money!",Best game ever,Verified Purchase,21 people found this helpful,,,539,15,Public,9501875
Mindi,/gp/profile/amzn1.account.AE5WOLRQEAZIK6556TRX2OHIT7JA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 8, 2014",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"This game is so cool! You can blow up Tnt, ride minecars,you can plant  some plants like (pumpkins,beat roots, carrots, and watermelon). Minecraft  has spiders,creepers,zombies, and skeletons. This game is so fun! You can make what ever you could possibly imagine. You can make fire. You can find water and lava. You can travel to the nether lands but, you have to make a nether portal to get there. If you get this game you will LOVE this game called Minecraft.",MINECRAFT!!!,Verified Purchase,13 people found this helpful,,,21,5,Public,54627600
Bee_Tweet,/gp/profile/amzn1.account.AHNIWIDOOINFQNZIKDE226L32TRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,I think minecraft is a perfect creativity game,best_game,Verified Purchase,3 people found this helpful,,,356,28,Public,1388587
M. Reed,/gp/profile/amzn1.account.AF5ZDP5J2UL2NYAZWVZWJOKHA6LA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 2, 2016",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"If you have any imagination at all, (in other words, everyone) you will LOVE this game. It's inspiring, difficult at times, and has infinite possibilities! It's also cheaper than the real game, BUT new objects come later to pocket addition than the real game. But it updates a lot, (Once a month) making it more exciting and fun!","I Love Creative Games, And This One Takes It To The Limit!",Verified Purchase,8 people found this helpful,,,117,11,Public,4610894
ZebraLover975,/gp/profile/amzn1.account.AG42AFMWT6FBOKII7K4OXVSDSMFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 30, 2013",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"I love this game!! I play it all the time, and my brothers even steal my Kindle Fire sometimes to play on it!!!!! I love everything about this game, and it will entertain you for hours at a time!!  I would totally recommend this for you if you are extremely creative, and have money on your account like I do. But , this app is definitely worth 7$. So, I would recommend buying this app.Pro's--Creativity beyond our imagination-Realistic animal sounds-You are able to download mods for it--There are a lot of blocks on there that aren't even in real life-There are monsters to battle-There is survival mode-There is creative mode where you can build anything that you want without even finding it- On creative mode you can flyCons-None.",AWESOMEST GAME EVER!!!!!!!!!!!!,Verified Purchase,14 people found this helpful,,,33,10,Public,53415868
Marcos,/gp/profile/amzn1.account.AH3QC5BKHY5AJ73RJRDNLWXOVHJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 23, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,I first started minecraft on my cuisine xbox and I was very happy and now I still get a little mad but I think the game was good including the graghics.,"i always loved minecraft since 2012 and i play it on my phone,pc,and ps3",Verified Purchase,22 people found this helpful,,,72,9,Public,20871024
Hottie,/gp/profile/amzn1.account.AFI6SGYIFSDAWOSDAPJRKBK6QMFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 6, 2015",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,It's good but it's got in so popular that it now cost 6$,mine craft review,Verified Purchase,,,,701,34,Public,1199916
Marian :),/gp/profile/amzn1.account.AHLV5XBD56BNWSYHFAFAHSZV2CSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 2, 2012",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"It is outstanding to play because of the following facts:1. You get to choose diffrent modes like Creative or Survival. The diffrence is survival you must live off of the natural resources around you and try not to get killed by zombies, spiders, or even drowning! In creative you are not pressured and have unlimited rescources to make whatever you can.2. It is actualy pretty easy to control your character with the arrows and the screen. I only have an itsy problem but for some reason my character can NOT stop flying when I do what your supposed to do.3. The last thing is the diffrent choices!!  It has so many diffrent things to use like bookcases to display ( not actualy read! ) , furnaces, a bed, paintings, or even flowers! Its adorable when you make a home ""homey""!!Hoped this helped!! Oh and you can only fly in creative mode! (; BYE!",Awesome!!,Verified Purchase,39 people found this helpful,,,1499,10,Public,49550700
Mona Hoffman,/gp/profile/amzn1.account.AFP2XQBY4DEBISQGHRYL7PKKFLBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 10, 2016",0,,https://www.amazon.com/Mojang-Minecraft/product-reviews/B00992CF6W/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"This is the BEST game ever created! Kudos to you, Mojang, I ABSOLUTELY LOVE IT! Highly recommended!",AWESOME!,Verified Purchase,3 people found this helpful,,,27,6,Public,61477324
