author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,,ranking,helpful_votes,total_review,visibility_status
Marlena Flores,/gp/profile/amzn1.account.AFT4JNQOUQR4JOUQYNFHYZIEOSXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 27, 2016",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,It's super fun and addicting to cross the road I would recommend this to people if they were asking for a fun game. Fun to play when you are board and have nothing to do. This game is a great way to get angry.,lots of fun,Verified Purchase,4 people found this helpful,,,2410357,25,27,Public
Taylor,/gp/profile/amzn1.account.AGLGZDKUUBTADJEW7OUSAGXQCOMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 7, 2018",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"The most addictive, mind-numbingly simple yet anxiety ridden game ever. I can’t recall how many times I’ve played this game high but I know it was a stupid amount.  10/10.",The bird poops and I love it.,Verified Purchase,3 people found this helpful,,,20181632,3,3,Public
Sharmie Jensen,/gp/profile/amzn1.account.AHXDESD3ZMBPW2KMQ74EULWE5MSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 9, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,This is a really fun game/app. I love that you can get all these different characters/animals. The only thing I don't like is that you have to wait a long time to get tokens so you can get characters. Other than that I love this game.Oh ya and it's an addicting game /app.,fun game,Verified Purchase,7 people found this helpful,,,44789557,30,15,Public
Danielle Anderson,/gp/profile/amzn1.account.AGQNIBWP4AGKU237O4N7N4PR7HMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 28, 2018",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,3.0 out of 5 stars,My boys really like this game,Three Stars,Verified Purchase,2 people found this helpful,,,3130523,39,98,Public
Jennifer Giberson,/gp/profile/amzn1.account.AEA6SOMIHFEAJU3HQG3NROXVJZEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 5, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"I love Crossy road, I just wish you could get characters for free after you got to a certain point in your high score of crossing. I also wish you could have missions that you could win prizes from. Other than these two suggestions, Crossy Road is really good and I would suggest it to anyone who has patience!😜",Crossy road is best game ever! So addictive.,Verified Purchase,4 people found this helpful,,,15698371,15,12,Public
Erin,/gp/profile/amzn1.account.AHEK7VJNELZELIBXKDXL5OFJZUFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 15, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"This app is so... much fun. But, when you get to win a character after a free gift you are most likely to get the same character again and again. But, I will give this game 5 stars.",addictive,Verified Purchase,3 people found this helpful,,,7428329,11,38,Public
Anne Kelly,/gp/profile/amzn1.account.AG5JSVND76FQICEW7XXCWCRMQGEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 3, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,It all stared when my grandpa and Dad and brother were playing  this game. And as nice they were playing I stared to play we all could not stop we probably played for hours but then the group got smaller and grandpa was the last one to quiet and get a high score. I got the game and now I play it so much,I can't believe it,Verified Purchase,5 people found this helpful,,,50261640,5,11,Public
Terry Campbell,/gp/profile/amzn1.account.AGY7QJEVGIHEWTRE4OSPXTN2E3LA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 20, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"When I started playing crossy road, I did it just because my friend plays it. As soon as I played it, I was hooked. I play crossy road every spare second I get. Definitely recommend it!",The Most Addictive Game Ever,Verified Purchase,3 people found this helpful,,,1713208,152,84,Public
COLDTOWER,/gp/profile/amzn1.account.AE7IQN3GHLUCECU42NEXMJILVAWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 23, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,I saw my friend playing this game and decided to get it. I'm not disappointed bcz it's really fun and easy to get new animals. I was laughing when I first got ran over and Idek why. Love it!!!,"Cute, fun game",Verified Purchase,2 people found this helpful,,,6817515,122,38,Public
Amazon Customer,/gp/profile/amzn1.account.AGT26FURJAPVJFHLC4UVJLJRRIQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 1, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,This app is addicting! But I don't know if this will happen to you but when it updated my game it restarted so I lost all my characters so yeah! But other than that it's a awesome game!,5/5 stars,Verified Purchase,2 people found this helpful,,,416323,89,79,Public
Angela_hater,/gp/profile/amzn1.account.AG7FUKM62IWWWMJ6WIWV7D43WYRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 9, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"If you are thinking about buying this game, no need to think! even though it's like Frogger it has something amazing: Selectable characters. You collect coins as an anonymous creator and use them to get another random creature. You guys did a great job on such a simple yet addictive game! to make it better, the characters have abilities. I got the Dragon who burns down trees and cars like a boss!!! So, get this game. It's worth your time.",BUY BUY BUY,Verified Purchase,3 people found this helpful,,,59913236,3,4,Public
Alison,/gp/profile/amzn1.account.AGYFCQKFDHFVYCZ56SOYBDKE2RTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 27, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,"Crossy road is surprisingly fun game with a fair amount of difficulty. I would recommend this app to people of all ages. =) The graphics are good, but I would five star rate this if you could get coins and characters a little easier. Also, graphics (as I said) ARE good, but I think they could be improved.Other than that, it's a pretty good game.-A.B.",Crossy Road =D,Verified Purchase,4 people found this helpful,,,82522974,10,6,Public
Edward Johnson,/gp/profile/amzn1.account.AFJML2TPDHSUDBLJDB4WA6FPVSLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 6, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,I just love the fun 3D features and when your ran over by a train you can post exciting things! There are no glitches that made me add a star. But what really is a fun thing to discover is you get trials of different characters I had the hot shot and also the ball player! I hope you found this review very helpful. Contact me at its a secret though play crossroads and than the secret unlocks.,Crossing for all!,Verified Purchase,5 people found this helpful,,,62863527,6,2,Public
Michelle Kingery,/gp/profile/amzn1.account.AGX4DONEHPMSWZC22P23NLYIHZNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 20, 2016",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Crossy road is the best game I have ever played!! There are many different people and characters to unlock for 100 coins that you earn on the game. I would recommend this game for everyone so definitely 5 stars! :),very fun game,Verified Purchase,One person found this helpful,,,56381243,2,3,Public
gunner girl,/gp/profile/amzn1.account.AHKKND4RRHGJKGJXMQWAGGUWMI6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 23, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,This game is so fun I mean my friend told me about it and it sounds super dumb but it is not .I am a kind of person who is hard to get games in mean time I will delete them so this game u should deffenetly get it I love it I'm sure u will love it too get this game super funI have a YouTube channel and if u wan  to check out my videos then my name is ZHARYAH WILLIS  there u go and check them out don't be a hater cause some people are ok theI have a you,super fun,Verified Purchase,3 people found this helpful,,,74349114,3,1,Public
Amersonm,/gp/profile/amzn1.account.AFZS5ABG5UHWHDOHUG3HGSNOH5AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,I love this game! Still trying to get the hang of it but I can play for a long time and not get tired of it looks.I would recommend this game to everyone all ages.,great game,Verified Purchase,2 people found this helpful,,,4402347,69,38,Public
James Robinson II,/gp/profile/amzn1.account.AFS5WJUOEH6BWYJIQ4XKKYXQB7WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 18, 2016",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,"Not bad for a Frogger knock off. My kid is too young to know the original, so she loves this.",Not bad for a Frogger knock off,Verified Purchase,One person found this helpful,,,82927728,39,69,Public
Katie,/gp/profile/amzn1.account.AHBZICBB7UUAGHM4K7GTEFVF7F6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 10, 2016",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Ths gsme ia awsone,#AWSOME,Verified Purchase,2 people found this helpful,,,29336648,6,6,Public
Shane C.,/gp/profile/amzn1.account.AHOUIHWRZWWHASOKRPZAXT5FINNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 26, 2019",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Fun game...very addictive!,Fun game,Verified Purchase,,,,40463312,3,13,Public
Angela D.,/gp/profile/amzn1.account.AHCQ6LOCAOD66ZOB7EV7KHPGD77Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 19, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,If you're looking for a great time waster this is a good pick. I'm an addict. I love the rewards that come every few hours that give you new characters to play with. It's a challenge without being too hard.,Great Time Killer,Verified Purchase,,,,770415,133,159,Public
Chantell,/gp/profile/amzn1.account.AEDC75TTN3HMF6ORIMUBO4PEC5TQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 9, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"This is the best game ever that's why I rated this a five STAR. I love the block characters it's so cute.it's east to collect characters you just get from the prize machine. From,Kylie",BEST GAME EVER,Verified Purchase,,,,7843348,175,38,Public
Francisco Rivera,/gp/profile/amzn1.account.AGCFKRB6PUID56V4HDDO3FJMZIDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 13, 2017",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,3.0 out of 5 stars,Neutral,Three Stars,Verified Purchase,,,,3023335,138,120,Public
849,/gp/profile/amzn1.account.AGWWHUYOIGK4EBD5SSEAHPL7YIEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 24, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"A very fun game that reminds me of 2 games forever and minecraft this game is really fun I highly recommend getting this game it is fun and free, you don't get that very often, but still I highly recommend getting this game",fun and free!,Verified Purchase,One person found this helpful,,,49030402,13,9,Public
JohnJacobJingleHiemerSchmidt,/gp/profile/amzn1.account.AGRFLJNAWNEZX4HN772DCHMXAH5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 20, 2016",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Really well made game!!!!😀😀😀😀😀😀i give it a thumbs up!!!,😀😀😀😀,Verified Purchase,,,,13195819,3,47,Public
Thomas M. Mazur,/gp/profile/amzn1.account.AEREZAGF3DICVWHPKR5WOHE2QZ3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 29, 2016",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Can't even explain it's so good,💙💙💚💚💛💛💜💜💓💓💖💖,Verified Purchase,2 people found this helpful,,,28269793,66,10,Public
Katie O.,/gp/profile/amzn1.account.AEL6OBZL3YQPBZ5HQDLGO4NGTM7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 31, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,The only think missing is consistency. The banners and stuff after you die are very inconsistent. Also my brother has this game on his phone and he has been watching videos for free coins but I never get that option on my phone.,inconsistent,Verified Purchase,One person found this helpful,,,64849476,6,10,Public
Kristina S.,/gp/profile/amzn1.account.AF2L7NF3Y5JXVRWYA646KFSMOICQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 2, 2016",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,It is good but the only thing is when you get 100c and you get a prize and sometimes it's the Same thingFor a animal or person,awsome,Verified Purchase,,,,19764401,58,20,Public
Bebescastle,/gp/profile/amzn1.account.AFW5OYJ3VW3HDFERVKIR3CLID3WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 23, 2016",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,3.0 out of 5 stars,This is a free little kids game I think its cute and fun for them to play.,... free little kids game I think its cute and fun for them to play,Verified Purchase,,,,1564033,253,332,Public
Robert A. Anderson,/gp/profile/amzn1.account.AE7AMSRN36BCL7XKSRQKRFYHXHCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 3, 2017",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,GREAT!,Five Stars,Verified Purchase,,,,3966158,43,43,Public
K HALL,/gp/profile/amzn1.account.AFGVWQD3IEEHP52NMKSZW4VACAQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 12, 2018",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,Great game.My 9 year old loves it!,Fun game!,Verified Purchase,,,,3033855,10,35,Public
ak guy,/gp/profile/amzn1.account.AFLPDF4PTNP5LT6JOJSCT5BFT2EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 12, 2017",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,My son loves playing this game,Fun for kids,Verified Purchase,,,,4443902,35,125,Public
Jacob,/gp/profile/amzn1.account.AFAHCYFBLLXM7V3VAYFE5NFCBLAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,"Fun game, but gets old after a short time playing. I like that each time you spawn you get a new avatar!","Fun game, but gets old after a short time ...",Verified Purchase,One person found this helpful,,,907740,176,234,Public
Rachel,/gp/profile/amzn1.account.AFNUIPQYLRSXGCTFAVRXTYR2CUYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 4, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"A very fun game, and very simple. I love that it's like frogger but with different characters. No real money needs to be spent and I keep coming back to it. Doesn't glitch",so addictive,Verified Purchase,,,,770937,242,125,Public
Amazon Customer,/gp/profile/amzn1.account.AGWKGGKJCOIOCLZQI55CTSKDTVMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 11, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,I have gotten the same characters a few times! Hipster Whale needs to fix that bug! I have even gotten the kiwi five times now!FIX THIS BUG!,Same characters,Verified Purchase,,,,7097307,583,36,Public
Cupcakes,/gp/profile/amzn1.account.AFOZ6X3O2QIUYDOZVUNR53MGZC5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 12, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,It is so fun.I love to beat my high score !  I REALY suggest this game to all ages&I have so many characters like a flea and frogs and all sorts of things.Info could I would rate this 100 stars! Only one thing sometimes my game will freeze because I'm playing but not often./REALY good game,Buy This Game,Verified Purchase,One person found this helpful,,,70897697,1,1,Public
Girl Dossett,/gp/profile/amzn1.account.AFMLTU5EDYZGQPDZ6YQRXIFDA7AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"This game is spool awesome! Swipe left or right to go side to side, and tap to jump and go forward. This game is addicting. I could literally play it for hours. You can get different types of characters to play as, it's totally awesome. Get this game!!!!! :D",awesome & addicting,Verified Purchase,One person found this helpful,,,65062798,13,5,Public
Amazon Customer,/gp/profile/amzn1.account.AERK6CYXHOS6LISVHZFR4MAJEVNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 14, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,5.0 out of 5 stars,"I FRICKING LOBE THIS GAME, IT IS SO FUN! I LOVE IT, I AM SO GLAD THAT I AM ABLE TO GET IT ON MY KINDLE BECAUSE MY FIENDS HAVE IT BUT ON APPLE DEVICES.",Awesome,Verified Purchase,,,,22098008,33,27,Public
tt,/gp/profile/amzn1.account.AGSNGOQKLLOB3OSPL6QQUNRY7E5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 24, 2015",0,,https://www.amazon.com/Hipster-Whale-Crossy-Road/product-reviews/B00QW8TYWO/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,4.0 out of 5 stars,I love this game but I'm not getting updates my friends have like missions and you get a free gift plz fix because it annoying but love the game overall simple yet fun and all the selections of characters are pretty cool I will give five stars if the bug is fixed,cross the river!,Verified Purchase,,,,15642172,127,11,Public
