author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,ranking,helpful_votes,total_review,visibility_status
Spencer,/gp/profile/amzn1.account.AGADMAPKQTXG2OMPIK2247MGWCTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2019",1,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,I send these to school with my son so he has the required snacks during snack time nothing was expired in this package and nothing was just air. I would buy these again.,I'd buy these again,Flavor Name: Bold MixVerified Purchase,6 people found this helpful,,373858,61,83,Public
Robin Penzerro,/gp/profile/amzn1.account.AGYGI7HYKRO2WVUZPEUU7L7HURNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 25, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"I was happy to find this mix of chips and was looking forward to eating them over the next 6-8 weeks.Unfortunately they will expire in 7 days! No way can I eat 35 bags in a week, not able to return so I'll be sharing them with whoever wants some. WILL NOT ORDER AGAIN!!",Rec'd almost at expiration date!,Flavor Name: Classic MixVerified Purchase,2 people found this helpful,,2038246,15,48,Public
Tiana,/gp/profile/amzn1.account.AHBG4XINSOKDQZDNOQNMV74WQ5LA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 31, 2020",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"My kids and I take these snack sized bags in our lunches so I was stoked to catch a good deal on them compared to the local grocery store. I didn't read the reviews because I figured I know I like chips, what's to review, right?These chips were expired on arrival. I figured I'd eat them anyway since they were only about 9 days outside the date. Wrong. The chips were stale and they had an odd aftertaste, probably from being expired. Chalked it as a loss-will read reviews from now on, even for chips",Disappointing,Flavor Name: Classic MixVerified Purchase,4 people found this helpful,,9317068,5,9,Public
Breanne,/gp/profile/amzn1.account.AEY22SEW7XFHZVKGZAD4A7J3M4ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 23, 2020",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"So, editing after i filed for a return. Amazon sent me a whole new shipment and the box and contents were all in great condition. No smashed chips this time. I was going to add pictures but it won't let me with a previous reviewThe box was damaged and partially open and half the chips inside were flat, no air, and smashed. The variety is awesome and normally would be excited. Not this time",Worth the money,Flavor Name: Classic MixVerified Purchase,2 people found this helpful,,1137611,39,49,Public
Kindle Customerireneames,/gp/profile/amzn1.account.AF6T7YX3NHXILQAKWOH7OIT64OSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 15, 2020",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"I will never order these snacks, again. I want my money back....the box that arrived was perfect and light, and I thought that I would not gain weight from the snacks. The box that is in my kitchen, when I  left it unattended to do an errand, was replaced with a box that looked tampered with, and was a lot heavier..I needed a little salt, and now I feel sick and dizzy...I tried the Cheetos as there were so many in the box..I should have known better. I am not sure what to do with these. Possibly put in a plastic bag and throw them out in the back dumpster..Thank you for the first box that arrived. I should have stowed it immediately instead of leaving it out.  iva PS I may tell FB in my daily post...but won't mention the merchant or brands....",My box of snacks was switched and now I'm sick and upset.,Flavor Name: Classic MixVerified Purchase,,,2004522,12,43,Public
Chris Ferguson,/gp/profile/amzn1.account.AGDZEYGADADNG4CTRKZPXSZNZA5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 13, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"Have purchased this eight times. Strongly recommend for chip lovers. Use these over vending machines at work. Amazon even refunded me the one time they messed up with this. One bag of Smart Food Popcorn was empty... someone didn't pay attention at work and it got like that. 95% of the time, these are not stale. Only a few bags were stale in ONE order and they weren't so stale you couldn't eat them.",Recommend IF YOU EAT ALL THE SNAKES OFFERED IN THIS PACKAGE OFTEN,Flavor Name: Classic MixVerified Purchase,One person found this helpful,,833027,24,43,Public
kstradling,/gp/profile/amzn1.account.AHKF6QMJY3SPWOGQIGYJ623VI2WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 25, 2020",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,The entire box was 5 months expired. Every single bag of chips in this box has an expiration date of November 2019 (purchased mid March 2020). It should go without saying that it’s NEVER ok to sell expired food product to customers.,Expired!,Flavor Name: Classic MixVerified Purchase,4 people found this helpful,,419313,756,99,Public
D. Lipsitz,/gp/profile/amzn1.account.AFERXDSFCP6SSFOZOJ7NGMK57ZEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 8, 2019",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Box of 35 snack-lunch size chips, typically they last me about a month and are never stale.  I've always liked Frito-Lay snack foods, so saving a bot buying in bulk is a no-brainer.  Besides, if I order so-called party size bags, I will munch while typing and before I know it I've eaten half or more of the bag, lol.  Smaller portion sizes are worth paying a bit extra for, and even then this is still a better bargain through Amazon than the local retailers.",Tasty and satisfies my salt cravings,Flavor Name: Classic MixVerified Purchase,2 people found this helpful,,354284,199,149,Public
steveirwin,/gp/profile/amzn1.account.AF3LRZIAUYXRC5PUC7MFVLH2VFCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 2, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,2.0 out of 5 stars,"Edible chips were tasty, fresh, and I appreciate the small size to avoid overeating, but 1/4 of the bags were open at the seal at the bottom of the bag, which was messy and made the chips stale and inedible. All open bags were the same bottom seal, same spot, so safe guess is a packaging matter, but I'll avoid repurchasing for that reason. I gave two stars because the majority were fine and the loss was minor (at $10.95 for 35 bags, it was only about $2 wasted). Amazon did refund me, so that was appreciated.",Packaging issues (open seal),Flavor Name: Classic MixVerified Purchase,,,103051,478,113,Public
Karin Evangelista,/gp/profile/amzn1.account.AGVSBJBS3SN2XI4XYBUIW6FQUSXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 22, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"This is a great product. First of all my chips we're not expired, and none of them are broken. It was a fun box of goodness to open, let me tell you. This product is excellent and I don't know what the other people are talking about above but, mine was just fine. Sometimes I wonder if people just comment things that other people comment just to hear their own voice.. lol.I suggest and highly recommend that you buy this. Thank you. FIVE STARS. 🌟",Yummmmmy,Flavor Name: Bold MixVerified Purchase,,,2593172,10,48,Public
M. Collette,/gp/profile/amzn1.account.AFXAB43ESY4Y4ITNVZFWAKLM2VNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 3, 2020",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,2.0 out of 5 stars,"I absolutely did not expect this to be the case with snacks from such a big name, but yeah, the expiration dates are horrible on this product. I received this on October 2nd 2020, and the expirations are all October 20th 2020. For most of these types of chips that's not a big deal, but the major offender is Cheetos, even now on October 3rd, they're in no way fresh, they have an extra hardness to them and they have lost flavor, and that's before the expiration, so the way these must have been stored. As for the rest of this box, it's 2.5 weeks out from expiration, so if you're able to get 2-3 bags a day eaten, you'll finish before the expiration. Truth be told, things like this are usually good after the expiration for a bit, so I didn't have a problem seeing that at first. The Cheetos are what got me to write this, as there's no way they were fresh. This along with no retail packaging makes me believe this product listing is to offload chips they believe are ""likely"" not fresh.",Expiration Dates!,Flavor Name: Classic MixVerified Purchase,,,44090134,5,7,Public
Rebecca B.,/gp/profile/amzn1.account.AFPFZAEB6NMKAZV4HGSSVV6HGQ6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 26, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,This selection of flavors are a great value. They came fresh and the delivery was quick. The bags of chips were not damaged and were in good condition. I would recommend this for anyone who likes a good variety when they snack and also likes a good value when making a purchase.,great selection and very fresh,Flavor Name: Big Bag Flavor MixVerified Purchase,One person found this helpful,,182206,59,196,Public
Tama Walker,/gp/profile/amzn1.account.AGHIAAD4N5ZZH5JJBFZVITJCLNDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 29, 2020",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Having a box full of small size chips during this pandemic has really helped. I am not a big chip person because usually there's a big bag to buy but this came in a box with a variety of chips-lay potato chips, sun chips, cheetos, and it was great to have as a snack with hummus or a sandwich when I am only going to the grocery store every 2 to 3 weeks!",Small snack sizes of various chips,Flavor Name: Classic MixVerified Purchase,One person found this helpful,,3077147,39,63,Public
Jessica Fikes,/gp/profile/amzn1.account.AHVZROK4SI4E7I4AYGBUEHBJ5D5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 15, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"It seems like a great deal, but half of the box had flattened bags of chips that were not sealed. The dates on the bags were good and not set to expire for 2 months. I had made a weekly subscription for these because its more convenient, just didn't get what I paid for.","Not worth it, just buy from store if you can",Flavor Name: Classic MixVerified Purchase,One person found this helpful,,35907,229,155,Public
Eliot,/gp/profile/amzn1.account.AHTWELTLSAYQYXCVNLDQXWVKVFLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 7, 2019",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"These are a great value - buying in bulk usually is. I hide them away or my kids eat the whole box in 2 days. I like this mix of flavors, something for everyone. They arrive fresh and not crushed.",Great!,Flavor Name: Classic MixVerified Purchase,4 people found this helpful,,1433631,80,149,Public
Rebeccah Herdener,/gp/profile/amzn1.account.AHGWZUVCETVXBIR4O4DAZCQN4T4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 4, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"I absolutely LOVE this box! so many of my favorite flavors in one box!There were a LOT of jalapeno kettle cooked(though the other flavored ones were more balanced out amount wise, around 4-6 each for the most part), and my family tried a bag a piece, They were so fresh,and there are STILL plenty left for meals!Very happy with my purchase! <3Thank yall!",LOVE,Flavor Name: Bold MixVerified Purchase,One person found this helpful,,2505045,5,16,Public
GG-MA,/gp/profile/amzn1.account.AFNH536N5YRLXKAYA2C7SMXIOQYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 22, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,3.0 out of 5 stars,"Our first order was fine and had a variety of snacks, and so did the one sent to family elders. The second onehas to be redone due to delivery issues with Prime shared with customer service, The replacement failed, because almost half of it was salty, flavored Doritos, not the variety advertised. These had to be given away. If there had been plain potato chips or corn chips, maybe this could have sufficed.",Average Is Gift,Flavor Name: Classic MixVerified Purchase,,,255458,48,79,Public
Carla Livingston,/gp/profile/amzn1.account.AH33H4WQNT4VQBL5H2ZPMDCD6PAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 30, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"Arrives fresh. Larger size than I expected. Good size for a snack. Also great size for eating with a sandwich. I especially love the Smart Pop. Grab it a tuck it in your purse for later. I especially love the selection,-  Smart pop, In Chips, lays and two kinds of Doors.",Great selection of chips.,Flavor Name: Classic MixVerified Purchase,One person found this helpful,,891305,12,74,Public
Pharris9,/gp/profile/amzn1.account.AGVGBZFNB3FJETYHREZWDQ6I266A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 26, 2021",2,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,2.0 out of 5 stars,I like the variety this pack has to offer. We're all picky and it's hard to find a variety pack we ALL enjoy. The portion size is perfect for lunch bags. The price is fair fir the portions received.  I didn't like that the chips arrived crammed into a box that was too small for them. This resulted in the product being smashed. Who wants to chow down on crumbs? I'm disappointed and probably won't order these ones again.,The product was smashed due to poor packaging,Flavor Name: Classic MixVerified Purchase,,,860639,142,44,Public
Stdcam13,/gp/profile/amzn1.account.AEF6JPGZOMQVBFROVXBUWPTPEFNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 18, 2018",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,A great go-to snack with variety.  I hate it when my kids come home and their lunchbox is full of crumbs from leftover chips.  Won't happen with these!  My kids eat the entire bag and love the variety.  It also makes it great because they can try a new flavor without me having to buy an entire bag and the chips go to waste...moms you know what I'm talking about!,Good variety,Flavor Name: Classic MixVerified Purchase,3 people found this helpful,,15772,477,335,Public
Zeke Bonham,/gp/profile/amzn1.account.AGRTLP6DJ6OZLQKPAA2D6K6T5PPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 14, 2021",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,4.0 out of 5 stars,"So I ended up noticing the reviews after I placed the order and I will admit it did worry me a bit. However, upon arrival all the expiration dates were pretty solid compared to the reviews I’ve seen. Very thankful for this as I didn’t want a whole box of stale chips 😂 I think it’s simply just their stock, I most likely got a fresher shipment probably because they just got them but who knows. Overall I am happy with this random purchase 👍🏻",Suprised!,Flavor Name: Classic MixVerified Purchase,2 people found this helpful,,19514364,2,1,Public
Lovetoread,/gp/profile/amzn1.account.AGUVSY44PKLMOQBVEENM3ZBK7P3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 5, 2018",0,,https://www.amazon.com/Frito-Lay-Classic-Variety-Pack-Count/product-reviews/B073QMN75M/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,5.0 out of 5 stars,"I got these for when my nieces and nephews drop over, because they always drop over and I like to have snacks on hand. These were perfect. They drop in, grab a bag and a juice box and lay in front of the television for a while to watch cartoons. These bags are small though so for people like my oldest nephew, one bag is nothing. He had six in one sitting. I love the fact that there are more than 4 bags of doritos, that cut down on a lot of fighting for the favorite. Great buy. I will be buying it again.",Great on the run.,Flavor Name: Classic MixVerified Purchase,2 people found this helpful,,44007,630,159,Public
