author,author_profile_url,date_of_review,image_num,num_of_comments,rating,review_content,title,verified,votes_helpful
Shantanu Bangar,/gp/profile/amzn1.account.AEAZ5S2KOVZSSWBFKRW3LJRZPQRA,Reviewed in India on 8 December 2018,1,4,5.0 out of 5 stars,It's amazing..... battery last around 10 -12 hrs.....best laptop for students and coders,Superb,Verified Purchase,943 people found this helpful
PK Singh,/gp/profile/amzn1.account.AFOKE64FBNSNEVXJEWQ6J5GKKXEQ,Reviewed in India on 25 October 2017,0,8,5.0 out of 5 stars,"Finally a MacBook possession. Got it in 50k in Diwali sale. Technically good laptop.Good News.luxury product, niche technology, good battery life, reliable machine (other laptops crash and become defunct in 6-10 years), no anti-virus required, security of data and transactions much better. Terrific sense of possession & pride.Bad News. Problems will be there if you are switching from windows based system - very less space in hard disk, no CD drive, inability to transfer data from Mac to your existing external hard disc unless you format it, apps are mostly paid and re unreasonably expensive (no free apps which are available otherwise on google play store, even the angry bird costs Rs 400 !!), all printers are not compatible (e.g. the most economical MFD laser printer RICOH SP 111 can't be used), huge compatibility issues with Pages (MS Word) and Keynote (powerpoint) unless you master it by working on these (still mostly the document and slides either do not open in windows environment or have distortion issues). you need to spend extra for an external CD writer and tp buy a carry bag. Mac con not be connected to most of the projectors unless you buy some connectors, which are expensive and theres no clarity which one to buy and from where. you can't connect it to your TV, the ports are different and again theres no clarity - customer support, manuals or help section are silent ! Marketing strategy for Indian market, if at all has been planned, has been very bad. If these critical issues (and a few more not mentioned here) are handled properly, the Mac can sweep away other laptops in India. Presently, it doesn't seem to be happening.Overall Verdict.If compatibility issues mentioned above do not bother you, go for it. Else, think hard.  If its an emotional issue to own a long cherished Mac, then its a different thing. Go ahead and gradually you would figure out most (but not all) of the above problems, like I did.","Finally, got my Mac !!!!",Verified Purchase,"1,179 people found this helpful"
Sumit Kukade,/gp/profile/amzn1.account.AFSAX7W7WQ7XOWHS4IQMIQZKFU2A,Reviewed in India on 2 August 2019,1,8,1.0 out of 5 stars,"We buy macbook's expecting that it will lasts at least 3 years, not in my case they are saying it will costs 46000rs to repair.. i bought this in 58000rs.. if i don't want to repair it still I've to pay 2500rs as diagnostic cost.. not recommended..",DEAD after 1 year two months...,Verified Purchase,366 people found this helpful
saurabh chauhan,/gp/profile/amzn1.account.AGTCLZSPNPZ5FACJQEIZP7GHKQNA,Reviewed in India on 8 February 2019,1,3,5.0 out of 5 stars,"Best Laptop under 60k. If you don't want any accounting softwares like tally or busy then go for it, better than windows in every term. I just love it's battery life with sleek look 😍Now talking about MS officeIt's available on app store, free for 1 monthAfter that you will have to pay.You cannot install pirated version but if you install Windows 7 or any other version then u can use Ms office for freeBut in MacBook there are other apps which are good substitute for Ms office appsNumbers for ExcelPages for wordKeynote for PowerPointAnd you can convert your numbers file to Excel file or csv fileSame for the pages & keynoteSo no need of Ms office for me.Cons1. U cannot play games, your laptop will just heat up, battery will drain* U cannot play pubg mobile on emulator if you are pubg lover😁2. Storage 128gb, it will work fine but if you want to store movies or TV shows u can't, u have to buy external hard disk","My first apple product: fully satisfied- here are some answers regarding MS office, games",Verified Purchase,218 people found this helpful
Shantanu Bangar,/gp/profile/amzn1.account.AEAZ5S2KOVZSSWBFKRW3LJRZPQRA,Reviewed in India on 8 December 2018,1,4,5.0 out of 5 stars,It's amazing..... battery last around 10 -12 hrs.....best laptop for students and coders,Superb,Verified Purchase,943 people found this helpful
PK Singh,/gp/profile/amzn1.account.AFOKE64FBNSNEVXJEWQ6J5GKKXEQ,Reviewed in India on 25 October 2017,0,8,5.0 out of 5 stars,"Finally a MacBook possession. Got it in 50k in Diwali sale. Technically good laptop.Good News.luxury product, niche technology, good battery life, reliable machine (other laptops crash and become defunct in 6-10 years), no anti-virus required, security of data and transactions much better. Terrific sense of possession & pride.Bad News. Problems will be there if you are switching from windows based system - very less space in hard disk, no CD drive, inability to transfer data from Mac to your existing external hard disc unless you format it, apps are mostly paid and re unreasonably expensive (no free apps which are available otherwise on google play store, even the angry bird costs Rs 400 !!), all printers are not compatible (e.g. the most economical MFD laser printer RICOH SP 111 can't be used), huge compatibility issues with Pages (MS Word) and Keynote (powerpoint) unless you master it by working on these (still mostly the document and slides either do not open in windows environment or have distortion issues). you need to spend extra for an external CD writer and tp buy a carry bag. Mac con not be connected to most of the projectors unless you buy some connectors, which are expensive and theres no clarity which one to buy and from where. you can't connect it to your TV, the ports are different and again theres no clarity - customer support, manuals or help section are silent ! Marketing strategy for Indian market, if at all has been planned, has been very bad. If these critical issues (and a few more not mentioned here) are handled properly, the Mac can sweep away other laptops in India. Presently, it doesn't seem to be happening.Overall Verdict.If compatibility issues mentioned above do not bother you, go for it. Else, think hard.  If its an emotional issue to own a long cherished Mac, then its a different thing. Go ahead and gradually you would figure out most (but not all) of the above problems, like I did.","Finally, got my Mac !!!!",Verified Purchase,"1,179 people found this helpful"
Sumit Kukade,/gp/profile/amzn1.account.AFSAX7W7WQ7XOWHS4IQMIQZKFU2A,Reviewed in India on 2 August 2019,1,8,1.0 out of 5 stars,"We buy macbook's expecting that it will lasts at least 3 years, not in my case they are saying it will costs 46000rs to repair.. i bought this in 58000rs.. if i don't want to repair it still I've to pay 2500rs as diagnostic cost.. not recommended..",DEAD after 1 year two months...,Verified Purchase,366 people found this helpful
varun,/gp/profile/amzn1.account.AELGM2ZVLIN3I4OKQTCSNGIYTLOA,Reviewed in India on 9 January 2019,1,1,4.0 out of 5 stars,I use this for music production and it works awesome..however the display is not so good as it should have been in a 63k laptop,Go and buy it,Verified Purchase,65 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AHIEEPV6MOW3KXREQNWFEVAH5C3A,Reviewed in India on 29 August 2018,0,3,1.0 out of 5 stars,Reason for 1 star is I ot an defective piece. The sound quality was not good . My laptop started giving issues with power button from  4 months. The screen would flicker and it would shutdown automatically after sometime. Took the mac to service centre. They replaced the motherboard free of cost as it was in warranty. Now my mac is perfectly fine :,The sound quality was not good. My laptop started giving issues with power button ...,Verified Purchase,146 people found this helpful
Chirag khushalani,/gp/profile/amzn1.account.AF6QVYLVID4MYCESBJ2A62J4FAWQ,Reviewed in India on 26 July 2019,0,1,1.0 out of 5 stars,"I bought MacBook air in 2017, it was working fine till last month. It suddenly stopped charging I took it apple care and was shocked to hear the feedback. They told me that the motherboard is dead and i have to buy a new motherboard. The cost was 50k ( i bought at 53k in 2017). We buy Apple products because they are meant to be long-lasting. I am really disappointed and would prefer other companies next time. They earn extra money from selling an extended warranty.",Really disappointing,Verified Purchase,54 people found this helpful
Sumit,/gp/profile/amzn1.account.AGYJMBLNJCFQZNZH7ZOL5JKUPHUA,Reviewed in India on 17 October 2019,0,1,5.0 out of 5 stars,Good purchase of mineBest for programming...Only some heating issues...but can be ignored!!,Great product!!,Verified Purchase,35 people found this helpful
Riya,/gp/profile/amzn1.account.AEJH7F5LBTU6KDEECRJUZIVSZINA,Reviewed in India on 28 August 2019,0,1,1.0 out of 5 stars,"Stopped working before I could repay the EMI's. Just after the warranty expired, the laptop refused to turn on. Apple repair center asks Rs 43000 for spare part. I am throwing it in trash and never buying an apple product again.",Stopped working. Spare part costs Rs 43000.,Verified Purchase,33 people found this helpful
aRandomGamer,/gp/profile/amzn1.account.AE6ZOPOEKY2TYMWNPD6VEM63AGXQ,Reviewed in India on 30 March 2019,0,0,4.0 out of 5 stars,"Apple,apple,apple, thats the first thing that must have flashed in you mind when you saw this product, so here i have a total breif review on the laptop...***Pros***4k Video Editing with Final Cut Pro X on this thing works like butter, there is heating issue that i am going to go to apple service center to get it checkedEveryday works like checking mail and is just gr8The Battery is just OVERPOWERED, works for around 11-12 hours on continuous work and 8-9 hours when editingThe graphics card scores 30 fps in cinebench which is not that badThe performance is also fine, 280 cb processor score on cinebenchSpeakers are really good with perfect bass, its a laptop speaker, dont expect much from itDisplay brightness is 300 nits, which is fineThe Wi-Fi is extremely good, can get a network even from the living room while the router is in the bedroomVery thin and lightweightMacOS is good for School work if you know all the office applications for mac, for eg.Pages is WordMagSafe 2 is the best partGood Trackpad and Keyboard with backlightThe Storage is fast!, thanks to the M.2 based SSD!***Cons***Display, though the resolution is ok for a 13.3 inch display, the viewing angle is not appropriate for a 84k laptopGets heated up (Going to get it checked by apple support). Cooling not appropriate for this cpu, need a better thermal paste and fanRam management on MacOS Mojave is not good, 8 GBs of memory is not well distributed among all tasks running in backgroundMacOS is not made for gaming, you need to boot camp on this mac with Windows if you are really a hard-core gamerIntel HD integrated graphics at the price???, god damn it apple (Though its not bad, have seen GeForce 940MX at the same price)No Force trackpadBezels are way too thick in today's standardsNo thunderbolt 3 or Usb CCan't detect Android Devices until Android Device Explorer is installedThe Storage is less! (128 GB, will upgrade to 256 GB in a few years)***My Verdict***This devices is for them who want Battery and Power, and people who want to do Video Editing on Final Cut Pro X, if anyone has a heat up issue than you should Call apple Support and visit one service center immediately to get your laptop checked! Though the graphics is OK from my view, apple could have given better graphics like the radeon vega 8 graphics or Intel Iris Plus or Pro for a laptop that is so expensive! Everything else is Great! And MacOS is not that hard, i easily use both my Lenovo Gaming PC and my apple macbook air easily! Go for it if you are in the criteria I explained above! For hard-core video editing I would recommend atleast an iMac 4k or MacBook Pro Base Model because of its cooling Fan structure, Better Graphics and CPU! This Air is still not enough to edit 4k60fps videos! While exporting the 4k60fps video the CPU and GPU went up to 104 degrees, this is the reason i am going to apple support! Thank You if you read the whole review because I spent a lot of time writing this!*Update on 8 Oct, 2019*Apple service did nothing, so I thought of doing my own service! Yes, I changed the thermal paste and dusted the fan, now, everything is running even better than ever, even the heating issua is solved! Now while exporting a 4k 60 fps video, it's just around 80 degrees, hence no thermal throttling, Yay!",A biased review from a person who used this for 6 months...,Verified Purchase,25 people found this helpful
Ifti,/gp/profile/amzn1.account.AG5GFV573JSUDDELIPZT6ZSCVACQ,Reviewed in India on 17 August 2020,0,0,3.0 out of 5 stars,"I am writing this review after 3 yrs. It was a great feeling when I purchased this laptop and it was a big ambition too... Why it can't be? People were looking at me with a great look when I carry this Mac along with me to office or to public places. It was again a great experience of speed, look, weight, logo, and u name anything u want, u have it...However, after 3 years, the problem suddenly came up. My Keypad and Mouse tracker both failed working and the reason was not known. I tried with customer care too to find a solution, however after spending an hr, I found no solution. Finally the CC suggested me to take it to Service centre. The CC person informed me that they will do resetting the mac but all in vain. For that they charged Rs.1800/-Then after 2 days they told that keypad need to be replaced which will cost Rs.25000/- then again for the Trackpad which will be around Rs.10000/-So totally it is Rs.35000/- (approx)Now the people whoever are reading this review, need to calculate there financial issues and then plan to go ahead. Moreover, I felt it is not so user friendly laptop and it has many restrictions. Eg-Connect Android Mobile to Mac...The cost of Display will be Rs. 49000/-.. Just think about it and then go ahead.Suggestion: For those who are crazy of Apple like me but with financial issues, then my suggestion will be ""BIG NO"".If u have no financial problems then it is ur choice... But still I say to them ""why do u spend"" so much when u have other FHD options available with better specifications???",Look at the cost of spares before buying,Verified Purchase,11 people found this helpful
Ayush Sinha,/gp/profile/amzn1.account.AHEWIDNIZDIL72Q62YWUF45UBSCQ,Reviewed in India on 30 August 2018,0,1,4.0 out of 5 stars,Thanks to amazon for superb timeliness and hassle-free delivery. Original item received. Properly packed for safety and kudos to the exchange offer i got it in somewhat lesser price. Still there are a few things or two like the caps lock key is being non responsive sometimes which might not be amazon's fault but still..its amazon who is in between. Overall the product is good. I'm fully satisfied with the performance and battery life. It actually gives upto 12 hours of battery life while you do small modular works.,Happy to buy it from amazon in cheaper price.,Verified Purchase,18 people found this helpful
Aravind S,/gp/profile/amzn1.account.AFBJNIA3XHI76SY6IMMWYNPM7PYQ,Reviewed in India on 21 October 2019,0,0,1.0 out of 5 stars,"Don't buy for the pride or quality advertised. The lapot keyboard failed just 2 days after the warrenty period. Service cost was 19,000. So I backed out and was using a USB keyboard. Now the whole system is not switching On. Took to local service center it has costed me 3,500 to just make it work again and still will cost more to make the keyboard replaced. Truly gutted. I have my HP laptop pro book almost 9 years old still running without any issues. Was planning to buy an IPhone but surely not after this. Deeply sad by the experience.",Keyboard crashed and not switching on after 1 year.,Verified Purchase,8 people found this helpful
Dhruva Sagar,/gp/profile/amzn1.account.AFCF6WNK7QMWQGPRU3OLEGT5DTNQ,Reviewed in India on 30 October 2018,0,0,5.0 out of 5 stars,"I purchased this for my mother, she is a prolific writer / poet and spends a ton of time on computers these days as a result. She has had fairly bad experiences with build quality, frequent hardware issues with other brands in the past and so wanted a good sturdy sleak laptop, this was a perfect  fit for her, especially now that the price was reasonably low and discounted, it was a no-brainer.",You can't go wrong with a Mac,Verified Purchase,12 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AFKFFZNWYZB6CTSCASSX4PDRI72Q,Reviewed in India on 27 September 2020,0,0,4.0 out of 5 stars,"Purchased in July2018. After 2 years of good usage, its working same as when I bought it (processor basically). LOVE the trackpad and the keys!Things that changed after 2 years are that it starts heating up near the charging point (even when I'm not charging and simply using it) sometimes (3/10 times). I searched and found out it happens due to dirt particles going inside and can be resolved by going to a store and ask them to fix or buy a set of screwdriver for this mac and clean it up yourself.Another problem is the adapter, now after 2 years it had started heating up A LOT (7/10 times). Sometimes you can't even touch it for more than 5 seconds, it gets that hot. So for that what I do is use charger with its extension, put the adapter on the floor to transfer the heat (lol). It works most of the times for me, sometimes it doesn't and I have to take the magsafe connector off the laptop every few minutes (if I'm using the laptop) .The MagSafe connector also gets very hot while charging but cools down in literally 4-5 seconds after disconnecting.Third problem I saw is with Charging wire (from near the MagSafe connector), it's started to turn yellow due to heat probably. I put of a cable protector 2 months ago and saw this 'development' happening after that only mostly.  I took that protector off now.Overall it's a very good machine.  My friend who has the same model replaced the battery after 3+ years usage and now his laptop is working perfectly fine. He doesn't face heating problems much as I do. So maybe my laptop got some defects.I haven't tried other laptops in this range except Lenovo Yoga which was BS. I remember struggling to find internet and bluetooth connectivity in windows laptop, in Mac everything is so smooth. It doesn't hang at all! And yes not to forget, it's lightweight!! I think this is one the best machines in this price range. Go for it.",You will not want to leave it,Verified Purchase,3 people found this helpful
Jai,/gp/profile/amzn1.account.AFDB3B5V4KFBBEROXZYRU67JUGNA,Reviewed in India on 20 August 2020,2,0,4.0 out of 5 stars,"its been 2 years since I bought this and never has it ever crashed on me.it works seamlessly with my AirPods, and iPhone, keeps my iCloud photos unto date instantlythe battery life is off the charts. I've been using it regularly for financial modelling, python for finance, movies, Apple Music, and even mild gaming, it has never disappointed me.as a student, I've used a windows pc too, but honestly, those have never lasted me too long without repair.ive always had to either do an over haul, or install some antivirus, but never for this MacBook.during covid times, in fact it has over performed, I never knew id rely so much on video conferencing, and the camera in this thing, is worlds better than others I have used that may even have better specs.sure, apple can eventually scrap updates for it, but to be honest I don't think it will, I just upgraded it to the new macOS Catalina and it's even smoother than everthe most important thing is honestly the build. everyone says Macs are delicate, but that's a huge farce. I carry this thing around all over, to work, to college, on flights, because its so light I end up carrying it around much too often. but as compared to my windows laptops, this one barely has any wear and tear. off I take care of it, I make sure I don't rough handle it, but I did the same with my older laptops, however they always ended up with buff marks or scratches.not too sure if my review really helps, but this is more of a rant about how good this laptop has been to me, and how much I rely on it.haha, cheers",2 YEARS LATER,Verified Purchase,4 people found this helpful
