author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,total_review,helpful_votes
Abraham Garcia,/gp/profile/amzn1.account.AEH6ZDTUANI66B4OKWIDCAXH22SA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 1, 2017",0,2,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"After 17-18 months of use, the charger now charges very slowly, about 3% every 30 minutes. It is odd that this happened right when the warranty was set to expire. Meanwhile, I have another, less expensive Anker charger that has lasted for more than 2 years and works just fine.I contacted Anker's customer service department, and they told me they couldn't do anything since the warranty has expired.",less expensive Anker charger that has lasted for more than 2 years and works just fine. I contacted Anker's customer service dep,Color: BlackVerified Purchase,94 people found this helpful,2041456,8,94
Tim Huffman,/gp/profile/amzn1.account.AECBXUSM4L6BKQYMSEW2EOLSXJRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 8, 2018",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"The battery worked well for about 2.5 weeks. But after that the charger would stop charging devices. At first it would stop after 30 min, but eventually it would stop charging after 5 seconds. My wife and I were traveling, so there were a few times our phones almost died because it wouldn't charge them.  A few museum visits were spent with me hitting the button to make it charge every five seconds and plugging and unplugging cords over and over.Note: We didn't drop the battery, kept it safe and dry, didn't over charge it, didn't run it down multiple times. Also, the cords worked on other devices, so it wasn't the cords. Some wiring must have come loose inside. A fine battery while it's working. But $50 is steep for a product that stops working in weeks. Not satisfied. We had used similar products from this company and had good results. But maybe the quality has gone down! Alas.",Stopped working after a few weeks,Color: BlackVerified Purchase,40 people found this helpful,78927545,30,63
Michael,/gp/profile/amzn1.account.AFUW2BRPJQAV3T375XR2HOYROBCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 14, 2018",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I am writing this review almost 18 months after purchase. I bought the battery June 2017 for a world tour and it performed beautifully in all conditions. I charged it on some of the worst power grids around the globe and it wasn't till the Philippines when she just couldn't take it anymore and just stopped taking a charge. The battery charged my electrical devices but wouldn't take a charge so while I was in the Philippines I came back on Amazon and researched Anker warranty. Now, this is my 9th Anker battery I've purchased from Anker Direct on Amazon and until now I've never had an issue, not one. I've given them out as gifts and everyone loves them. So, I emailed Anker with the requested purchase information and after an individual named Julia asked me a few questions a new Anker Battery was sent to my house in America and arrived exactly one day before I flew in from the Philippines. I can say that Anker's products are top notch but the real test of a company is do they actually support their warranty . This process was smooth and they even sent follow up emails to make sure that I was happy with my new replacement. I will definitely be buying all my cables, chargers and batteries from Anker in the future.",Great battery and even better warranty guarantee!,Color: BlackVerified Purchase,21 people found this helpful,2896145,15,49
Chaos,/gp/profile/amzn1.account.AHJ3ZVMO6KZCG36DVQRB66JL5EGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 19, 2018",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I've had this for eight or nine months now. It was purchased mainly to keep my phone and iPod charged while skiing in frigid temps. In hindsight, I should have gone with the single port because it takes up less space and isn't as heavy, but I am still happy with my purchase. Ended up having a crazy awesome winter skiing for weeks at a time (thank you previous employer for firing me!!!) and I did not have to recharge this during the weeks I was gone. That in and of itself sold me.However, a couple weeks ago something happened that made me want to write a review. I was an idiot and accidentally left it sitting on a table outside for a couple days and it rained quite a bit during that period. It definitely, without a doubt, got pretty wet. I nearly cried thinking it was doomed and would never work again. But ya know... it still had battery power. I couldn't believe it. I plugged my phone into it, it started charging my phone. WHAT??? I plugged it into the wall to charge it, it started charging. I have not had to recharge it since and it still works!!!And THAT is why I will be an Anker customer for life. Takes a licking, keeps on ticking. Thank you, Anker, for making such great quality products instead of cheap garbage that doesn't last. 10/10 - would recommend to everyone who will listen.",Non-bias review,Color: BlackVerified Purchase,21 people found this helpful,6292392,27,43
Amazon Customer,/gp/profile/amzn1.account.AHWGP7P3TSXLMZEKU6RCA35VF5LA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 9, 2017",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"I pluged and chraged the device for 8 hours. When it was time for me to use it when im on the road. The device wont charge my phone. The Anker Powercore is either broke or not charging.I was so disappointed, luckily I had a wall plug charger on hand.",Anker Fail,Color: BlackVerified Purchase,42 people found this helpful,2650020,39,63
Amazon Customer,/gp/profile/amzn1.account.AG3MQIVZ2YFGGUJ35Y7NBGDNH7YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 23, 2019",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"This has been a great battery for my use.  I use it a lot for travel and it gives me the ability to charge my iPhone and my iPad while traveling.  With the two charging ports, it has also been useful when my grandson and I so all day Pokemon Go events to charge our iPhones.The only thing I might do differently now is spend the money on an Anker Charger with USB C PD capabilities so I could put a charge on my MacBook Air while traveling.Update: March 2019One of the ports is no longer charging when I plug it in.  One of the useful features was the ability to charge two devices at once and that no longer seems to be an option.  One of the ports still works well.  I have contacted the online Amazon/Anker support for resolution since the battery is still under its 18 mos warranty period.  When/If I hear back I will update with resolution.Update: March 2019I contacted Anker support on Sunday and by Monday morning I had an inquiry email from customer support with regards to my issue.  The battery was replaced and I had the replacement in hand by Friday.  Excellent customer support and product.",Has been a great product (one year in I have issues)**Updated,Color: BlackVerified Purchase,15 people found this helpful,835355,5,22
Left Coast,/gp/profile/amzn1.account.AH22ES2HYDLBV4TRQUQE4XKUIBZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 25, 2018",3,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"UPDATE: The company actually sent me a brand new one and I could not believe it!!! I didn’t even have to send the old one back in. I will not buy another one from anywhere else besides Anker after this experience. Anker, you have a customer for life. I also plan to get these for family members as Christmas presents/stocking stuffers. Never thought about it till they hooked me up!! Batteries come with 18 month warranty! I love how beautiful, slim, and white it is. When others see it they think it’s big but it charges my phone fully at least 5 times. And more if I can stay off my phone long enough to charge.I wonder if they come with a warranty? I see in my purchasing history that I buy one about a year, but not fully a year. It is a great battery and as large as this one is it charges my phone fully like 4-5 times pending if I’m on it still or leaving it alone to charge. I don’t like that I have to keep purchasing one a year but I guess that’s the way life has become. You used to get something fixed now we just replace replace replace.",Anker is hands down the best portable charging company I have ever bought from!!!,Color: WhiteVerified Purchase,17 people found this helpful,338457,44,108
Max Baun,/gp/profile/amzn1.account.AEZ75CBTKXBQ62QTRVSAA6FHQFTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 12, 2017",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"Bought this item for my girlfriend for her birthday, as she has been wanting a portable charger for awhile. I have heard great reviews about Anker and have bought several of their charging cables before.She loved the battery pack and says it works like a charm to charge her electronics while on the road and off the grid! However the first two times we charged the pack, it took nearly 36 hours to reach a full charge. The most recent time we tried to charge the pack she plugged it in on a Tuesday night and unplugged on Friday morning with only 3/4 lights illuminated. We have tried charging it on multiple charging blocks to a similar result.The battery pack maintains a charge for 5-6 iPhone charges, but if you are looking for a convenient pack you only have to remember to plug in the night before a long trip, this is not the one. We may just have a defective model, as most other comments don't seem to have this issue.She also seems to think that this battery pack has zapped her iPhone 5 battery - it used to hold a charge for an entire day, but ever since she started using this battery pack it can only hold a charge for an hour or two. Has anyone else experienced this issue?",I have heard great reviews about Anker and have bought several of their ...,Color: BlackVerified Purchase,48 people found this helpful,10438555,1,48
Tom Mart New York,/gp/profile/amzn1.account.AFETLHBMTAWUYVY76KRGKWV3IWFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 30, 2018",1,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"It's been charging for two days. Only one light flashes constantly. When I try to charge the phone, nothing happens.Update.I contacted customer support with my problemA few days later the defective power bank was replaced by a new one. I am very satisfied with the customer service work. For the last two years I have never met such an attentive attitude to the customer as in this company! Highly recommended. Thank you guys, you're the best!",Working good!,Color: BlackVerified Purchase,15 people found this helpful,298926,93,123
Vcm,/gp/profile/amzn1.account.AGBFBBGPDJVH2FHQA3K4PQ7TS6FA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 14, 2017",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,I bought my anker charger in march 2017 now September 2017 and the charger is no longer charging! It just blinks one light even when I charge for the entire day! What the heck! I'm so disappointed with this product!,I'm so disappointed with this product,Color: BlackVerified Purchase,24 people found this helpful,30539,105,969
HonestP,/gp/profile/amzn1.account.AFKTW2GYSSD33JRUFQNUJ3SOBFZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 5, 2017",0,0,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"I ABSOLUTELY LOVE THIS CHARGER! I used to have an older version/model with less charging power which we ran to the ground in a few years.  As a local semi celebrity in the Washington DC area, my girlfriend and I use our phones a lot!  We do facebook live, lots of pictures and videos.  We also have iPads and a Samsung tablet.  Not to even mention the many times we've bailed our friends out of not having a charger nearby hahahaha.This charger is amazing.  It does take a bit to charge, at least 12 hours + but when it does, even a heavy user like myself has juice for at least a week.  I love the IQ feature which to me means, it knows when charging is needed so it turns on and off and you don't have to worry about turning it on or off or worrying about it losing its charge for nothing.  That's peace of mind.  I love that it has 2 USB ports to charge two devices at once and I love the charge level indicators.  It's only 4 little lights so each one is 25%.  I very rarely let it drain completely as I like to keep it at 100% as much as I can unless I'm out with no access to charging it or no time.  Absolutely recommend it.  The Anker brand has proven to me in the last few years since using it that it is a solid brand you can trust and rely on.  I've even ordered some of their cable to use with this, they are of the best quality and well designed/material.","NO ELECTRICITY TO CHARGE YOUR MOBILE DEVICES, NO WORRIES...ANKER HAS YOUR BACK!",Color: BlackVerified Purchase,13 people found this helpful,2143448,79,30
Pesty,/gp/profile/amzn1.account.AFEV6E6U5BB64623BQZWJZOF4TBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 24, 2018",0,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,"UPDATE REVIEW 9/15/2018:  After I posted my original review below Anker reached out to me and sent me a new PowerCore.  Got the new one in the mail and it only showed 75% capacity as well.  I let it charge a few devices before it was completely drained and plugged it in to charge. This one, thankfully, charged to 100% and was able to charge several devices until completely drained.  Again, I plugged it in to charge, and again it charged to 100% capacity.  Anker customer service was great and did right immediately after I made the original post.  It does take a bit to recharge (at least 6-8 hrs) compared to my other power packs, but I'm assuming it's because it is larger than the others.  I knocked it down from full 5stars for the inconvenience, but would have given it a 4.5.  Otherwise, great product and great customer service.ORIGINAL REVIEW: Bought this before going on an overseas business trip. Was 75% charged when it came in so I plugged it in to charge overnight before my trip. It still showed only 75% the next morning before my flight but figured it would get me through the flight. It did get me through but would not completely charge during my trip. It would only charge to 25% during my trip. I figured it was because I was overseas and maybe the outlets weren't outputting what it needed to properly recharge. Long story short, got back stateside and it still will not charge completely and continues to charge to only 25% even after sitting plugged in for over 2 days. Unfortunately, I returned after I was able to return for a refund.","Wouldn't charge completely, but Anker fixed the problem",Color: BlackVerified Purchase,8 people found this helpful,3007498,27,221
