author,ids,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,
Kindle Customer,amzn1.account.AHFNIMZB6235FCVNOA2XOBJUO4XA/,"Reviewed in the United States on June 1, 2017",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"Item arrived on time and in perfect condition. Box is undamaged.First time I used it I got soaked. A fine spray of liquid is coming out of the bottom of the tank. I ended up just aiming the bottom of the tank at my tomato plants since the spray out of the bottom of the tank was better than the spray out of the cheap wand.Went to ""Hazard Fraught"", bought a two gallon sprayer with a 20% off coupon and paid less for it. A much higher quality product and it doesn't leak from crappy HF. Go figure..",It looks good in the recycling bin,Size: 1 PackVerified Purchase,36 people found this helpful,
Steven Berry,amzn1.account.AGVAOPADS6EH2KIJ4235F4RMRBSA/,"Reviewed in the United States on February 7, 2017",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I have two of these and I use them for multiple things.I spray ant hills with a natural ant hill irritant to make them move off my general walking areas like around my fence gates that i can't open when they build mounds there.I use it to stain my fences, spray the stain and wipe it with a cloth to evenly coat surfaces, that's one of the reasons I carry two. you could paint like this too. screw Huckleberry Finn's method of scamming everyone to do it for me, use this. it's simple.I use it to spray a chemical called Wet and Forget, it's mixed with water and i can pressurize it pretty good to hit the high areas with an even spray and put enough on it to wet the entire surface. - that product is great - this pump sprayer is cheap and effective to deliver it.I live in the south and we get mossy surfaces that don't get direct sunlight. I could build an Archimedes laser system to bounce the sunlight across the side of the house to kill that stuff but this pump spray and a low-cost alternative that works.It would be cool if you cold make something to look like a Ghostbusters thing. I would love to run around my yard and house with two of these engineered into mock ghost busters piped system and do my yard work and useful type things with these tanks on my back like a slime shooter or something.. pew pew. yay for home ownership.But you have to pump this a lot. and it gets really pressurized, so if you have chemicals that are slightly toxic or irritants, make sure you depressurize it by holding the trigger until it doesn't spray before you open it.  and I suggest doing that for storage. don't keep it pressurized. the thing will explode under pressure in a hot garage.Safety first.",It's a squirty and spraying pump pressure pot squirt gun! works really well. and made well.,Size: 1 PackVerified Purchase,97 people found this helpful,
Daekwan,amzn1.account.AFBEESGMAI5Y3X2RWZUKHLXYIIGA/,"Reviewed in the United States on November 24, 2019",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"As another customer pointed out.  The locking mechanism on the cap.. uses the stem of handle and of a two tiny plastic tab to tighten and seal the canister.  In order to seal the unit so that air won't escape you have to tighten cap using the handle, if its not tightened enough the pressure pump will not work because air continues to escape.Well guess what..  tighten too much and one of little tiny plastic tabs will break... rendering this product completely useless. This happened the first very first time I used this product and its completely worthless.  Cant return it because I've thrown away the box and the liquid solution still stuck inside because there is no way to unscrew the cap now that the plastic tab has broken!!",Broke on first use!!,Size: 1 PackVerified Purchase,6 people found this helpful,
Little mum,amzn1.account.AETWRDSUAOZG2OFKZL2DT6OTBWNA/,"Reviewed in the United States on June 11, 2017",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"Completely defective.  Connecting port for spray hose was actually sealed off with a cap on the inside of the canister. It was a thick cap of plastic solidly welded in place (thermal or ultrasonic welded) that I could not remove, so it was impossible to even insert the hose into the canister.  I thought about drilling a hole through it the cap so I could get the hose in, but that would not have made a difference since there was a second defect in the canister:  a big hole drilled in the side opposite the sealed hole - this hole had no thread or connector, so there was no way to attach the hose.  Perhaps this was for a pressure release valve?  But this model was not intended to have a valve, and there was none in the package.  So with a gaping hole in the side it was impossible to pressurize the container, even if I could have forced the hose through the sealed port.  This product is therefore completely useless.  They need some quality control.",Multiple defects right out of the package = useless,Size: 1 PackVerified Purchase,27 people found this helpful,
N.E.T.,amzn1.account.AFNVGQDMKXEFHVXHCHCKIO5MT3PQ/,"Reviewed in the United States on June 4, 2017",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,3.0 out of 5 stars,"I don't usually take the time to review things. I agree with most of the reviews, and buy what most other people like. This time, however, I bought something that most people like, this sprayer, and I find it to be a flimsy piece of junk even considering the price compared to the Roundup sprayer that I had purchased previously. The Roundup sprayer, coincidentally is about $3 more, but it is certainly worth the extra money. This sprayer is 100% plastic, including the pumping lever, which will likely break in about a week or so. The Roundup sprayer has a sturdy metal handle. The sprayer wand on Roundup is much longer, made of metal and more substantial and has a locking button so that you can continue to spray without keeping your hand down on the spray mechanism the entire time. You can't build up enough pressure on this tiny plastic mechanism to spray more than one arborvitae for bagworms.  The Roundup can hold more pressure and pump longer. Get the Roundup. This one isn't really made in USA. It's made in USA with crap Global materials.  Roundup is made in USA.",Get the Roundup for a few bucks more,Size: 1 PackVerified Purchase,13 people found this helpful,
Edmund J. Witkowski III,amzn1.account.AF4VSI7BFEWJHBLYQW7NMV6ROKRQ/,"Reviewed in the United States on May 4, 2021",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"Needs a strap because I water my grass-seed with it outside and it's heavy to carry and use while carrying. you have to put it on the ground to use it.  As long as it's on the ground you can pump it easily and spray the grass easily.  My only other complaint was the pump handle when all the way down rotates and clicks-locks in place so the pump won't come back up. the pump is also the handle. so after you fill it with water, you screw on the pump handle but to UNLOCK it you have to almost unscrew it to get the handle unlocked. Maybe mine just needs me to file the plastic because it sticks. But when it first arrived out of the box it was so tight, I couldn't figure out how to unlock my pump because it was stuck. and it's still difficult after many uses to unlock my pump handle without unscrewing the entire pump handle which seals all the air pressure inside the tank so if you do unscrew it even a little all the air escapes.","It's a great Water Pump Spray, it really is, but it's not perfect",Size: 1 PackVerified Purchase,2 people found this helpful,
Amazon Customer,amzn1.account.AHIC2WWTN3MF3WHFHG435N6FSQJA/,"Reviewed in the United States on April 18, 2021",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"Don’t mean to be critical but the sprayer is not well designed. The hose that slides into the tank only snaps in. I filled the tanks with a strong grass and weed killer, pumped it and when I started the spray it popped out. Because of the pressure it back sprayed on me. Very little hit me in the face but that is dangerous. I don’t understand why a product like this would be designed for the hose to snap in, not screw in. It’s NOT safe!!  I apologize for the negative feedback but I don’t want anyone else to het poison all over them!",Bad design.,Size: 1 PackVerified Purchase,6 people found this helpful,
SGS,amzn1.account.AEBXLQMEADXWKMBUIHSUTYON4XAA/,"Reviewed in the United States on February 8, 2021",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,2.0 out of 5 stars,"I just got this and used for the first time. If you pump it ""too much"" the spraying hose pops off and you lose the pressure. But if you only pump it a bit the spray drizzles out and not enough product comes out. It was a constant, losing battle to get the pressure right on this one. Also the handle you use for both pumping and carrying keeps coming lose when you carry it. And it dripped all over me when holding. The instructions are no help because they include instructions for other models and pieces all mixed into one and it was hard to know what you were supposed to do. I wouldn't buy this again.",Kept falling apart on me,Size: 1 PackVerified Purchase,3 people found this helpful,
Navy Seal,amzn1.account.AFRP43GZX4EUCDPPFJJHZ27A4MMA/,"Reviewed in the United States on January 24, 2018",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,3.0 out of 5 stars,"An old adage says ""You get what you pay for"". Sometimes you get lucky and get an inexpensive item that is also a good value, unfortunately this sprayer is not one of these items.This is an ""inexpensive sprayer"" for people who want a sprayer around the house for occasional use. The finest setting on the wand is not anywhere near a fine mist. The gallon and liter markings as well as the warnings on the tank are barely visible. Locking the handle after pumping the sprayer is tricky and every time I pump the sprayer, I have to fiddle with the handle to get it into the locking slot. It is not a well made sprayer, but then what do you expect for this price. I will keep the sprayer in my garage as a backup, but I have ordered a better more expensive sprayer. If you are spraying insecticides or if you require a fine mist or if you plan to use a sprayer daily or more often, this is not the sprayer I would recommend. Remember ""you get what you pay for"".",You Get What You Pay For,Size: 1 PackVerified Purchase,8 people found this helpful,
LJGBrooklyn,amzn1.account.AH63TIL45QDJTZHAQYISCYUYTSWA/,"Reviewed in the United States on June 20, 2016",2,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I bought this last year to use on my rooftop garden and had great results. It was used for foliar fertilizer, compost tea spray, organic fungicide applications and organic pest repllent. It is easy to use and the sorsy can be used for an even most or a more direct application by adjusting the front knob. I highly recommend this to anyone looking for a high quality garden sprayer that is light and efficient.",Great for liquid fertilizer or pest issues,Size: 1 PackVerified Purchase,39 people found this helpful,
Valorie McA,amzn1.account.AH2YJP5KR57VW7QUGOXUCUPKGZKQ/,"Reviewed in the United States on September 20, 2020",2,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Your browser does not support HTML5 video.           I bought it not for gardening, but for cleaning purpose. At first I was so worried the sprayer won't be strong enough to remove my balcony bird poop(which it pretty hard and stick since the sun burnt it). But turn out it is perfect for it! I no longer need to bend down and scratch it off with a toothbrush!! And it also do perfect job for window cleaning as well. Just use hot water and spray it on my window, it looks perfectly clean.I have used this for four months now~ There is no any problem on breakage / leakage. But you just have to be careful to get all the air out before you open it to refill water. It could surprise you how much pressure you have pump in.",Strong enough for balcony bird poop cleaning!,Size: 1 PackVerified Purchase,2 people found this helpful,
Geek Ambrosia,amzn1.account.AGCZBLU5JV26YIVIYKCLXHDRFBRQ/,"Reviewed in the United States on May 22, 2016",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"This sprayer works great for what it is. You do need to be careful when pressurizing it & trying to lock the handle, I have accidentally turned it the wrong way trying to get the handle lock to engage & been sprayed right in the face as it depressurized right out the top. User error :) But just something to be aware of when you're busing spraying & perhaps not paying as close attention as you think you are. Otherwise, it pressurizes really well... though makes a very annoying squeaking noise while doing so. And the spray shoots a good 10-15' I'd guess. You can twist & adjust the nozzle to get a finer mist or a heavy stream spray which will affect the distance the spray will reach. I don't really like that the handle doubles as the pump... so i might tweak it a bit & try to attach something else to the top rim for a handle. Definitely worth the price for a fast, effective sprayer. When full it doesn't really weigh too much, so is easy to carry around. You just need to stop & re-pressurize it every few minutes, but I'm okay with that.",Perfect little sprayer!,Size: 1 PackVerified Purchase,61 people found this helpful,
P.W.A.,amzn1.account.AF473OKXHKFJ3XHX47657EN4JXRA/,"Reviewed in the United States on May 30, 2021",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Excellent value sprayer. One thing, when are finished you need to relieve all the pressure by spraying until the stream is week. Then, either cover the top or better yet point it away from self while unscrewing top. There will still be pressure and whatever is in the bottle will spray in your face! If it's something like Roundup or insecticide, this is really bad! So again, unscrew this thing slowly and point away. You can also unscrew with a towel over the top. Then rinse out well for next time.Other than that, this is a great economy sprayer. You'll have to pump it ever frequently to pressure it, but it's not a chore. When it gets hard to pump, spray until the stream is weak again.",Great Sprayer With 1 Big Warning!,Size: 1 PackVerified Purchase,One person found this helpful,
BAMOR,amzn1.account.AG7DMBHWTDUHFV2WEHUWWIGWBYLA/,"Reviewed in the United States on January 1, 2018",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Update:  I love this tool for cleaning!  I keep finding more uses.  While I still use spray bottles, I use this for bigger cleaning projects to mist various cleaning solutions.  It is great for spraying on window cleaner on windows outside the house.  Works for laying down a fine mist of cleaning solution on patio furniture.  It can be used to mist a cleaning solution on your car.  I use the washing soda and dish soap solution in the tank as well as a vinegar and water solution.  I believe any cleaning solution could be added to the tank.  I may try a solution with dish soap to spray roses for aphids.  I am very pleased with this purchase.Original review:I didn't buy this for yard use.  I purchased it to mist a popcorn ceiling to help with removal.  The popcorn ceiling had previously been painted, so misting didn't facilitate removal.  However, this tool was so easy to use, I figured out how to repurpose it around the house.I needed to clean some folding chairs.  I added hot water, a few drops of dawn dish washing liquid and 1/2 cup Arm and Hammer WASHING SODA (this is NOT baking soda!) to the container.  I put the chairs in the shower one at a time and sprayed them liberally with the Washing Soda solution and scrubbed them with a brush.  Rinsed with the shower wand.My next project was to spot clean a carpet.  I sprayed the Washing Soda solution on the worst areas prior to shampooing the carpet.  This sprayer made it easy to lay down a controlled mist without soaking the carpet.My third cleaning project was a fabric upholstered recliner.  I sprayed the Washing Soda solution on the chair and then towel dried it.This doesn't work like a pressure washer.  What it does is lay down a light mist.  Going back over an area more than once will give you heavier coverage.Oven racks may be a future project.  I'll take them outside to clean while the oven is self cleaning.The tank size is perfect for household use.  Not too big or heavy when filled.  I have used spray bottles for years.  This sprayer is much easier to use than a spray bottle.",Who knew?  Forget the lawn. This is an awesome cleaning tool!,Size: 1 PackVerified Purchase,4 people found this helpful,
Ksey,amzn1.account.AH5RHYFT7IA4VDAFYVODGIH4ZJKA/,"Reviewed in the United States on July 13, 2020",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,2.0 out of 5 stars,2 stars because mine was missing the part that holds the line in place that goes down into the bottle. I thought I was maybe using it incorrectly because it kept shooting out and spraying me with fertilizer! Ugh. It wasn't a pleasing experience. I ended up wrapping it in electrical tape to hold it in and it's been great. If it'd came with the parts it should have I'd given it 5 stars! But it didn't and I believe buyers should be aware of this issue.,Missing important parts!,Size: 1 PackVerified Purchase,3 people found this helpful,
KJF,amzn1.account.AFHHXTLGUW43F52O5IFOQZX5343A/,"Reviewed in the United States on May 18, 2021",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"Hose came clogged with bits of plastic, therefore the sprayer would not work.  This is not apparent until you fill the container with your chemicals and apply pressure and nothing happens.  The hose had to be removed and cleaned out with a garden hose.  Unnecessary distribution of chemicals (weed killer) in places where they were not wanted due to the poor manufacturing.  Also, chemical contamination of the human trying to get the hose open, so the sprayer would work in the first place. (potential carcinogen)  Definite personal hazard by getting the chemicals all over your hands and anywhere else the spray landed while trying to clean out the hose.  Would not recommend.","Check Hose First, Can be a Hazard",Size: 2 Value PackVerified Purchase,One person found this helpful,
Ring,amzn1.account.AGDV5IMI3Y4ZI6LVFSLRRTCONUIA/,"Reviewed in the United States on June 18, 2020",1,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"I have purchased 3 of these sprayers in this size. I have used them for applying pesticides, herbicides, carpet cleaner, car wash detergent - just common household chemicals and nothing nearly caustic enough to cause the plastic to deteriorate.Fortunately when the container exploded, it only contained a water and dish soap solution. It exploded toward the end of pumping the right amount of pressure. The liquid splashed everywhere, and made a loud BOOM sound that was really startling. There was no warning.Up to this point my experience with this product has been 5 stars and I doubt there's a better sprayer on the market; however, this is something that should never, ever happen. If the container had been full with a pesticide or herbicide solution my eyes could have been seriously injured.I can only recommend this product in good conscience with the additional purchase of splash goggles.",Kinda exploded.,Size: 1 PackVerified Purchase,One person found this helpful,
lrock,amzn1.account.AEGBQSRF22PHJ3TATSX73I4YDNKA/,"Reviewed in the United States on August 14, 2017",0,,https://www.amazon.com/Chapin-International-20000-1-Gallon-Translucent/product-reviews/B000E28UQU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,I might have gotten a bad one.  I read the reviews.  My unit would not hold air.  It leaked at the bottle and sprayer. I tightened everything but it never would hold air.  Returning it.,I might have gotten a bad one. I read the reviews,Size: 1 PackVerified Purchase,15 people found this helpful,
