author,ids,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,
2excel,amzn1.account.AF2LWRNARDOAS4LEP6O6TJ3TD5EQ/,"Reviewed in the United States on August 8, 2019",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"This weed puller is lightweight, effective and if used per the directions should not break. I had read the concerns from others regarding breaking but then observed that most break because people use their foot on it like a Shovel. Use foot only if necessary to push straight down into the weed. But the KEY point is to let the tool do the work and tilt it toward you or the side to clamp on to the root and then you pull the weed.If you keep pounding the foot-lever you may damage or break it, if you push your foot at an angle like a shovel maybe you will also eventually break it.I had a ton of overgrown weeds and this tool made it faster than I have ever been able to clear out large parts of my yard. It only struggled with very large thick weeds because I had let them overgrow for months. With most weeds I had absolutely no issues and it worked very fast. It also has a clamp release once you pull the weed to quickly dump it into a bag or bin.Yes it does sometimes take out a large dirt clump and it works best if the soil is moist or soft, but I didn’t really think any of these were big downsides.Overall I recommend this tool and it appears this model and version is the latest from Fiskars with improvements from the previous version. As long as you don’t expect it to be as strong as a shovel, pick, or ax, it’s great and I hope I will be using it for many years to come.FWIW it does come with a pretty good warranty from Fiskars so that helps also.",Awesome tool. Use Properly,Style: WeederVerified Purchase,20 people found this helpful,
Tina,amzn1.account.AFXF77CU5CLYDQIOXCKIKYPIUO3Q/,"Reviewed in the United States on July 15, 2017",2,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,Your browser does not support HTML5 video.           Broke after using only twice around the house. Claws keep locking up. Bottom piece that holds the metal claws is cheap plastic. Wasn't happy to come back and see only a 30 day return period. Now I know why.,Not happy. Cheaply made. Waste of money.,Style: WeederVerified Purchase,44 people found this helpful,
LIMO,amzn1.account.AGB46RFQVJVDKIZU7KG6X6QAHEVA/,"Reviewed in the United States on May 14, 2017",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"This was recommended by a friend so I bought it. It is probably one of the best tools I've purchased in the last 20 years. Seriously, I hope the inventor becomes a millionaire, he/she deserves it. What a fantastic, brilliant idea. Just take a large bucket, pull up the dandelion & dump it in the bucket. Once you get in a rhythm, it's fast & extremely easy. It's best to do it after you've softened the earth by watering deeply or after a soaking rain, I can see where the plastic foot part on the back can break if you're doing it in dry dirt (I tried it after the lawn had dried out & it was hard to pull them out, so I quit). I've only used it for a few hours & pulled up about 75 dandelions, but I just can't say enough about how impressed I am. The first few times, I removed some of the dirt from the pulled dandelion & put it back in the hole but then I decided to leave the hole because it's just like aerating your lawn by taking out plugs, only the holes from this tool are a little larger (about 1"" vs 1/2"" with aeration). The main thing is to get the dandelion puller centered over the weed so it gets the entire root out (some of the roots were so long that 2-3"" were extending past the tool, but still came out intact!). I will definitely buy this tool again if it ever breaks. After fighting dandelions for decades & spending hours digging them up each year, ending up with a sore back & having the root break off & the plant re-grow (I won't use weed killer), this Fiskars Deluxe 4-claw stand-up weeder is fabulous.",VERY Impressed!,Style: WeederVerified Purchase,32 people found this helpful,
NAM,amzn1.account.AFSTCZSXIAGNU7E473PB3T7VGDVQ/,"Reviewed in the United States on March 30, 2019",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I looked for a weeder that would do the job without causing problems with my arthritic hands; I’m a senior citizen.  Our area had been in a drought for 7 years so I hadn’t watered my lawns for years and, of course, weeds and crabgrass took over. Now that we have finally received lots of rain they really took off. I have been able to pull out mountains of weeds in a few hours. Without pain.I discovered that if I pulled the weeds the day after it rained they came out roots and all, including a clump of soil, often with earthworms. I stacked all the weeds in a pile and wait a day or two for the attached soil to dry just a bit. Then get comfortable on my gardening bench and loosen the soil over a bucket (with a sieve made from two nested nursery trays with 1/2” steel mesh in between) to recover the soil to refill the holes caused by weeding. Sounds like a lot of work, but really very easy and the yards look civilized again. I was also happy to find more of our regular grass had survived than I had hoped.A few of the reviews I read before buying mentioned the plastic lever breaking. I can imagine that happening, but experience has shown me that if you have trouble the first attempt with a particular weed, just change direction and try it again. Don’t force it! Very large clumps of crabgrass may need to be pulled out a portion at a time, but they all come out.",Extremely satisfied,Style: WeederVerified Purchase,12 people found this helpful,
D. Sojka,amzn1.account.AGXYHIQNJHFHOZ5IGV3SV6T42WHQ/,"Reviewed in the United States on June 12, 2018",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"This weeder works really well, but as other reviews have pointed out, it's key design flaw is the plastic pieces that you actually apply force to.  It's a pretty cleverly designed simple machine and it works pretty well.  There are just a few things you should know about using it.  1.  The four prongs need to be centered right over the weed or else you are just going to tear the weed apart without pulling the root.  You know you've got it when you hear that satisfying snap.  Much of the time I was just tearing up the dirt around it.  2.  Again, the key structural parts seem to be made of plastic so you need to be gentle in pulling on the shaft to engage the teeth. 3.  When you pull out the weeds, a lot of ground comes with it.  It leaves some pretty noticeable divots in your yard.Otherwise it is a great tool.","Works great, but not perfect.",Style: WeederVerified Purchase,13 people found this helpful,
Information Junkie,amzn1.account.AFLY6APTL6FWWJPURP5DPATM5HCQ/,"Reviewed in the United States on February 28, 2020",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"Filled 80 gallons worth of buckets with weeds in two days. Fought with my sons over who got to use it, and they won and pulled up every dang dandelion in a 10-block area. Ok, so just from our suburban yard. GONE.Easy to use, fascinating to see it work, grabs and just extracts weeds in their entirety with almost no effort. We like it so much sometimes we go out at night with a flashlight to look for weeds to pull. Addictive.Some days I take it outside and look wistfully at my neighbors yards wondering if I could sneak in a few pulls w/o getting caught.It's THAT good. And I have nothing left to pull in my own yard. And avoided weed killers this season, too.","Bought two, would buy more if I had any weeds left",Style: WeederVerified Purchase,7 people found this helpful,
K. Fordham,amzn1.account.AHGQ3VXMS53MZGFI3LPSHH2X6ECA/,"Reviewed in the United States on May 12, 2020",2,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"Your browser does not support HTML5 video.           I can’t express enough how much I love this thing already. It’s exactly what I expected and needed, light and easy to use. It really does remove the entire root easily! I did initially worry that it may break in areas that have rocks, like my garden bed, but it’s holding up well after my first hour of work. I know this is going to sound like a fake review because it’s so positive, so I plan on posting a video demo to go with it. The package arrived relatively quickly. I say relative because I was impatient and couldn't wait to start using it. COVID isolation does that to a person. Since it was late when I got home from work on the day it arrived, I waited until the following day (yesterday) to test it out. The attached video was the result. I don't use social media a lot but I could not resist recording my joy. I've already recommended this product to about a dozen people. My friends and family members saw the video I sent through messenger and wanted one immediately. Now I just need to decide on an electric lawn mower.Update: I've had this for over a week and am still loving it. My yard is full of weeds so I have lots to do. I usually put in about an hour every couple of days (I work in healthcare so I'm very busy these days). You can easily pull over 100 weeds in 30 minutes to an hour. I counted. The key is to pull from the center of the weed. I'm experimenting with going a little slower and shaking off the excess dirt so I'm leaving a little more soil behind to minimize holes.",Just Awesome!!!,Style: WeederVerified Purchase,6 people found this helpful,
C. Norborg,amzn1.account.AEZGBR43MIEXHEIQ2KUYPJ5BMEVQ/,"Reviewed in the United States on May 8, 2019",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"Wow, just plain wow!  This thing really works, and works very easily too!  Got a bunch of dandelion like weeds pop up, which I think are a type of wild lettuce actually, so I thought this would work well, which it does.  Thought I'd try it on the invasion of Mallow weed I have also, which if you haven't had to weed them you don't know how bad they are.  Lots of round leaves of a central root, more specifically a deep tap root that is very difficult to get a grip on to pull.  Even if you get a grip, the root doesn't want to release.  This tool makes easy work of it.  Just get the claws centered over the root, step on it to plunge it into the ground, then tilt it slowly and you can hear the popping as the roots release.  Very little effort and usually gets it out with the whole root in a matter of seconds.  Without the tool you'd be kneeling down with some sort of prying/digging tool poking around the root trying with all your might  hoping it would  come out with the root intact. Really quite amazing, highly recommended!!",Not just for dandelions!,Style: WeederVerified Purchase,8 people found this helpful,
Woodmonk,amzn1.account.AE7NW6XQCK56HEDX3YVYP4Q35XCA/,"Reviewed in the United States on May 16, 2019",4,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,3.0 out of 5 stars,Like:  This is a genius invention and the design is amazing. I have gotten hours of enjoyment taking on the weed beasts in my yard. We had a new septic system put in and when then reseeded there was as many dandelions as grass seeds. Popping them up is almost relaxing.  It has become a sort of morning ritual for me to go out and listen to some tunes and take back my yard. I look forward to it and is also a bit of a working metaphor for the weeds I need to deal with in my personal life.  It is easy on your body and if you pull back slow the whole root comes up(image 1)..amazing!Dislike:  There are to many parts that are plastic and mine broke after about a week of using it.  I don't have rocks in my yard and the ground is pretty soft. The first thing that broke was the handle separating from the metal head(picture 3) . I could work around this by putting it back on but it was a bit annoying. I was going to use some epoxy to fortify and fix it but then other parts were compromised.  There are some plastic interior parts and the head starting having problems returning to their working position without me doing it manually. At this time it is locked up and I cannot get them opened back up. The back foot lever on mine starting cracking(image 3). I did not aggressively yank or anything..it just started cracking with pretty normal and careful use(Image 4).Conclusion.  I am going to return this one and order another one and see if things go better.  It works amazing when it is not broken.  It make weeding fun...even therapeutic.  For what I would have paid for someone to do this work in my yard I could buy about 5 of these so even if they are not built like a tank they pay for themselves.Cheers!,Brilliant but Build Quality is Suspect,Style: WeederVerified Purchase,9 people found this helpful,
Erin,amzn1.account.AE5NJOOJFMYL6Q3EBGZX5WT2GDOA/,"Reviewed in the United States on May 1, 2020",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,"This thing is the bee's knees, the gnat's nuts, finer than frog's hair, and the best thing since sliced bread.I'm a millennial and I prefer to get the job done with as little as work as possible.....who doesn't?? But I also hate using weed killer sprays and such because I have kids, cats, dogs, and chickens.....and I like bees (even though they scare me.)Sooo....enter the fiskars weed puller. OH EM GEE! I am in love! The Canadian Thistle has waged war on my yard, and I have been losing.....until now. This thing is the Calvary! Within an hour I have jammed packed 2 five gallon buckets worth and then some. Pulling weeds has never been a favorite pastime of mine, but my husband and I were fighting over who's turn it was to annihilate the evil spiked plant with this thing. It is a root pulling machine! With good aim, even larger weeds are no problem! The handle on this is ergonomic and everything is in just the right place.Some cons (but not all bad):* Sure, my yard is full of small holes now, but guess what I don't have!.........A yard full of thistle!*I can see where this thing will break eventually, but we've been using it on moist ground and it doesn't seem to put too much stress on it. (When it does break, I think it will make an excellent walking stick for hikes 😉)*It does not work on rocky ground, you have to sink the teeth into the soil for it to do it's job.I don't know how much the price would increase with a metal step/lever/arm thingy, but this would totally get five stars if I didn't feel like I had to be gentle with it.",Millennial tested and approved!,Style: WeederVerified Purchase,5 people found this helpful,
johnny0723,amzn1.account.AGR2Z3YZ2QQKX6I3YSGXSUXXWIUQ/,"Reviewed in the United States on August 20, 2017",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,"The idea of having something like this to pull out weeds without bending over is great, but its more work than I thought. A few points:- The bottom grips on the weed is not always strong...it sometimes gets loose and you have to pick up the weed.- The part where you put your hand on is plastic and CURVED..and to make it worse, its kinda smooth. I find that it makes it very stressing on my hands/wrist as I try to help push down from this handle part. Other reviews indicate the pedal eventually breaks (cause its plastic) so I try to lengthen the lifespan of the unit by trying to push down on the handle part....and it sucks cause its smooth and countoured in such a way your hand would slide down onto the pole. A 90 degree L shaped handle would've been appreciated here. A metal foot pedal would've been nice too.if you've got just a few weeds to pull, then this may still be a great investment for you. If you are constantly pulling out a lot of weeds, then I'd pass on this.",The idea of having something like this to pull out weeds without bending over is ...,Style: WeederVerified Purchase,16 people found this helpful,
Casey,amzn1.account.AGNKAU3YBJNB3LYEPZ6PA3GFS7PA/,"Reviewed in the United States on August 6, 2020",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,"We don't like using chemicals on our yard so we spend a lot of time in the spring pulling weeds.  This is an amazingly effective weeder.  It's easy to use and basically just does the job.  The last one we had was a slightly longer model that was about as tall as a shovel with a spade grip on the end.  But they stopped making it.In general we really like either but would love it if they started making the longer one again.BUT, there is a huge flaw in both models, there's a retaining guide/slider that guides the 4 prongs and attaches to the ejection mechanism.  In terms of design and function it's great.  It does exactly what it's designed to do.  But it's made out of nylon or some similarly hard wearing plastic.  Eventually, the friction caused by dirt and the 4 tines slicing back and forth on this guide breaks it, once it does the whole thing is useless.  Why not make this thing out of metal so that it'll last 10 years or more like other garden tools?It's such a wonderful product and it works so well, but it's not built to last which is such a frustration because usually Fiskars stuff is built to last a lifetime.  Literally all they need to do is make that one piece out of metal.  Or sell replacement parts.  That's it.  I both love and hate this tool because I know it won't last but it's the only thing weeding tool that performs like it does.",Our 3rd one in 4 years.,Style: WeederVerified Purchase,3 people found this helpful,
G Mcdonnell,amzn1.account.AERYKLOOQJE4SMJ4UB6O4EFFKKZA/,"Reviewed in the United States on June 18, 2020",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"When I bought this weeder I had read a number of reviews where folks had found it to be somewhat fragile. Bought it anyway and have been very careful with it. After three weeks of using it I've managed not to break it, but it's now worn out. The metal claws have worn down and the mechanism has loosened up so much that it' can't properly grab the weeds.I did use the tool extensively but a three week lifetime? Come on Fiskars, you can do better than that.",Works at first but wears out too quickly,Style: WeederVerified Purchase,6 people found this helpful,
John W. Lemons,amzn1.account.AFMZJDLHBNAXZ2BGSTDJBWXD62IA/,"Reviewed in the United States on May 18, 2019",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"I ordered this because I was tired of spraying all of the crabgrass in my yard. I've done pre-emergent and two different types of spray and while they have helped, I still have crabgrass. Clearly, I don't know what I'm doing.With this tool, I don't need to know. It's super easy to use, and effective. If you have a lot of crabgrass, like me, you might be put off by the unsightly holes you'll have in your yard. It's either that, or yellow spots from chemicals. Take your pick. The holes will fill in when it rains and if you have anything like Bermuda or Zoysia, they will spread quickly. I even used this to transplant a few sprigs of Bermuda.Right now, I use it to fill up a bucket or two a night full of crabgrass and other weeds. I'm a little concerned about if this will hold up at that rate, but right now it is great. My back does hurt a little bit from doing it, but it is MUCH better than squatting to do so. I haven't used it in our garden yet, but if you're looking for this to do a job like that, you will be very pleased with this product.",Pretty Amazing,Style: WeederVerified Purchase,6 people found this helpful,
"Anthony T. Lam, DMD",amzn1.account.AHXVEINVDUO3UY6WTOP3QQU3LJNA/,"Reviewed in the United States on June 11, 2016",0,,https://www.amazon.com/Fiskars-Deluxe-Stand-up-Weeder-4-claw/product-reviews/B0030MIHAU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"OK, so I bought both the 3-claw ($30 Target online) and the 4 claw here ($40). I did this because Target had theirs in stock and I wanted to see what the difference was for myself so I got Amazon's when it became available. The 3-claw is heavier and seems sturdier as the part you step on is constructed of mostly metal compared to the 4-claw which is more of plastic. The 4-claw is made of aluminum and the 3-claw of stainless steel so that may also contribute to the lighterness of the 4-claw. I've used both to pull weeds in my yard. My conclusion is the extra claw makes a difference! The 4-claw gave me a higher success rate and took less effort because of the lighter weight. I was concerned with durability of the 4-claw but that hasn't been an issue. I will update if that changes.P.S. I wound up returning the Target 3-claw version. It is also a good product but this one is just better and worth the extra $10.",Get the 4-claw instead of 3,Style: WeederVerified Purchase,20 people found this helpful,
