helpful_votes,ids,total_review,visibility_status
14,amzn1.account.AHT3KXJUKT4RWAY3YKUSSZ3W7GEA/,10,Public
37,amzn1.account.AF26M37N4HZD6XFFWUTTAQPLIKIA/,53,Public
,,,
35,amzn1.account.AERYKLOOQJE4SMJ4UB6O4EFFKKZA/,22,Public
"7,636",amzn1.account.AELARKBAP6VKNL4D22ORELHTREBA/,"1,208",Public
,,,
733,amzn1.account.AFWICO7S6CSLJETX6O4DTDQIWUGQ/,89,Public
,,,
,,,
,,,
,,,
61,amzn1.account.AEJCYVH6NFVAOW6DNKGKVUD3QRQA/,77,Public
,,,
11,amzn1.account.AGFQLGU7ZYOMMH6TL5BMM7FTEF7Q/,10,Public
,,,
11,amzn1.account.AE4247CPNCHLSGQER535HME2RJAA/,18,Public
111,amzn1.account.AEFLH76OZJPIAGDWBDBSRBIK5GSA/,20,Public
11,amzn1.account.AEZMVHRQSV5Y37KEJ75F5WXX72EA/,20,Public
172,amzn1.account.AHDOIBBKFMQ4IQB26S5ZKREZIK2A/,195,Public
22,amzn1.account.AG2BAP4CXIEG4IE3RKGGUJHTTS7Q/,6,Public
238,amzn1.account.AEHA3UZOYFS7UG4T6O5RVWUNWJMA/,138,Public
,,,
9,amzn1.account.AFRMVY7S3XSHJ23LY5VFLNQMKV3A/,34,Public
,,,
,,,
104,amzn1.account.AGXESPNFK2KB2H6WA6TLXDGNHZOA/,33,Public
223,amzn1.account.AFG3H576QKANSPD2TKE7BZXA4P2Q/,51,Public
,,,
,,,
,,,
,,,
296,amzn1.account.AFCI3NWZ44IFEVHS4BIMKJUEQMAA/,173,Public
26,amzn1.account.AFGTUD66HYOFA7F6OB2Z54IC7CJQ/,86,Public
26,amzn1.account.AG4FMB2HP2QQAPQQHCZTA2NCZV2A/,39,Public
10,amzn1.account.AFCU7MAXKQLCZRKJASYHBL2E6DJQ/,14,Public
,,,
,,,
,,,
22,amzn1.account.AHX2LP35F2PGCRWPEN76YRVCJ4PQ/,9,Public
,,,
,,,
,,,
49,amzn1.account.AGGLTADSLPSLVYF3SD5A6BUSAGFA/,113,Public
136,amzn1.account.AHSGIA25WZPWPX7SL4NSR4WVJZYA/,209,Public
,,,
119,amzn1.account.AFBLL6SHIUZWWAUW3KH6RLNGWHMA/,52,Public
586,amzn1.account.AFNFEQUXYIRLMWUGQK452DBR5KYQ/,220,Public
214,amzn1.account.AFL3VMLIOWV75HV26NTDPCRP5JPA/,93,Public
,,,
22,amzn1.account.AFPK33MBDOC3C5TJB66UDHSHO3HQ/,63,Public
66,amzn1.account.AEYRLUQBLLBK6C5JXWR7DYRCLA6A/,32,Public
117,amzn1.account.AHIBFA242DEOITKPFS6TFKKCDGPQ/,43,Public
846,amzn1.account.AG376EUHBYYK5YNVKZ2I34FWPUYA/,96,Public
62,amzn1.account.AEXL3SNRNYZ72EBGHHDSU5QZ53YQ/,133,Public
,,,
48,amzn1.account.AE5P3R4XSCVBO6J6VDEMDBKZJLYQ/,35,Public
,,,
42,amzn1.account.AFZKD24QMF4ZV6FHYRP6MBZM5PBA/,106,Public
"3,453",amzn1.account.AGNIGOBRWRRAEXOEFNPQ66B3WC2Q/,345,Public
,,,
,,,
,,,
72,amzn1.account.AEWIVEPHECQD2H7EBQMWIQOSAK2Q/,68,Public
30,amzn1.account.AHD42N4AT7ZURAQPMYKZSWBKMJLQ/,20,Public
237,amzn1.account.AGVEUGSRPDDFZLIYP42YNJBYDKBQ/,36,Public
,,,
145,amzn1.account.AGBAU5RR6HWNEBVRWLCAYWGGXDWQ/,94,Public
575,amzn1.account.AEJPRGLLXTMDKBC4DCSFDLLDJ7YQ/,133,Public
85,amzn1.account.AE7HLYMZPF57RBES4ZU32B5MEYSA/,58,Public
311,amzn1.account.AGOCHWXLBIWLG2C4GRNSZQY52RGQ/,109,Public
38,amzn1.account.AFP2GSXOR55PHR6KOV6YC6UWXSIQ/,51,Public
157,amzn1.account.AHW76ETER6TWPPXMUURU5JL4ACVA/,43,Public
980,amzn1.account.AGEVRZZ2M6M3HW7NDYT7W7HZT52A/,103,Public
7,amzn1.account.AGOF5P57AGMWV5FBFVP5PK6BSY6Q/,22,Public
,,,
,,,
,,,
564,amzn1.account.AGNZCPDBB22RH7NDNISNPI5UU4GQ/,82,Public
,,,
,,,
161,amzn1.account.AGZG5S2A4PVSIH3UDJVRXZARPWNQ/,117,Public
,,,
236,amzn1.account.AF2MUAUGC4KGYSXNHXQ4GFDCF62Q/,172,Public
359,amzn1.account.AFEVOCKSPEQ6FP35B7223QYV4RQA/,31,Public
,,,
,,,
,,,
34,amzn1.account.AH2CZKH4FTQ2R6JU3HWPWXGX4XGA/,58,Public
,,,
105,amzn1.account.AHFGTYHNHWDCYLV46XQ66BWO544A/,82,Public
,,,
12,amzn1.account.AGLBNZASSTX566EIIRD7T2CEP4VA/,31,Public
428,amzn1.account.AGA5BKXR7DTWV7X5IJSRZCGL76RA/,272,Public
,,,
104,amzn1.account.AH6BTAU36IRKCE4XM4EDKRI77YXQ/,51,Public
260,amzn1.account.AHBCTDDKB6IJGDA5DLMPLEL2N6OQ/,33,Public
,,,
,,,
54,amzn1.account.AG3EYG3KARZ5HDV3ECYOAMQGIXMQ/,65,Public
,,,
,,,
,,,
,,,
31,amzn1.account.AG5RMQPM4UKEOQCZBLG4AXJQQNQQ/,54,Public
3,amzn1.account.AHOKOECWOJB7SKV3BPOSSARIPYUA/,4,Public
,,,
43,amzn1.account.AE7CGAT5HRKVBCVQNW4F5WAG665Q/,40,Public
9,amzn1.account.AHUGVPDIPTJ4GB3YVP27ZSX2CKXA/,10,Public
24,amzn1.account.AHOIRBR5AIT23OZV2BDO5IORRT4Q/,18,Public
90,amzn1.account.AFTWUKIAS7OXYGEX56KPOYENIDPA/,64,Public
,,,
,,,
,,,
,,,
155,amzn1.account.AFMA4LR3AIOJBPDOK5NH5SE4FLOA/,34,Public
,,,
73,amzn1.account.AEGCMDRF545GBIAPO3HCASWJVFGQ/,44,Public
,,,
,,,
,,,
,,,
249,amzn1.account.AGMJCH2HXZJJBFWNCEIZVOLBJH3Q/,140,Public
,,,
,,,
"1,520",amzn1.account.AFAHLDI5UA4E5WOGNJHNIYOL55HA/,312,Public
,,,
94,amzn1.account.AF7SV2ZQR72LYT4LPXLM6QFEZE4Q/,188,Public
,,,
,,,
56,amzn1.account.AEXPZL27ATSEIBVODXZTTRY3CV2A/,31,Public
91,amzn1.account.AHTNQRKVGKSSYWX2V6HZWO7RAYVQ/,90,Public
50,amzn1.account.AF376J5WW5T4FJESPVHSWKICY7IQ/,96,Public
95,amzn1.account.AHXOATI47QEFZGIOH7JB6X66NRDA/,75,Public
,,,
,,,
38,amzn1.account.AHQW3TWFCJJU4XXN37VAKYLHEHHA/,69,Public
,,,
5,amzn1.account.AGQWBR4VPHS3BVS4SWLCKYCRHYFA/,21,Public
,,,
4,amzn1.account.AHBJABXP7LBLVGSBQGS3IOEK62AQ/,17,Public
,,,
,,,
10,amzn1.account.AFZ2QFTWDBPOA2KHR6HEVLDTZFZA/,7,Public
59,amzn1.account.AH3IY3NJ7HMAHWEYQ7CASPKTB4JA/,90,Public
,,,
161,amzn1.account.AEFPGZXWPMJBVEWVHJAFH5YLDGAQ/,25,Public
41,amzn1.account.AFTMOK5A7EKMRM72EVEKHLTARGOQ/,80,Public
26,amzn1.account.AEOYKS5NTMFAJL7ADCVS3IIHFVHA/,72,Public
,,,
,,,
16,amzn1.account.AGFUTCFJH3ORIWKKFCDRYJGDMVYQ/,37,Public
0,amzn1.account.AE2F24J6TZEHA762GULNOEOIKWDA/,6,Public
1,amzn1.account.AHIJCI5KQRR6ZQUHDI6DRJHKPRCQ/,1,Public
,,,
,,,
10,amzn1.account.AG7NSZ5EZIUPQ7X63U2RIF346G7A/,17,Public
,,,
596,amzn1.account.AHASVZ3KFRXS7FKSFPF6KT476DMQ/,179,Public
,,,
13,amzn1.account.AEY2OUNFALA2CKN2RFDDBGS4JVYQ/,6,Public
"1,651",amzn1.account.AH62XXCK5YQ46F2FCNXY6RJEVCAQ/,392,Public
27,amzn1.account.AGD5RQ2VH72DHM4A3LLBVNEJKAHQ/,23,Public
69,amzn1.account.AGHMRBTPUPU5CSSVTYRQAU7XYJ7Q/,50,Public
,,,
52,amzn1.account.AHI55QA5MOSQSYS2KQINVK64DPSQ/,31,Public
"2,080",amzn1.account.AGOF4PDZQWCSMZEVTNUGMCTVOPDA/,335,Public
81,amzn1.account.AFIW5AUQSBUOINQOVGNXBWIBUNYQ/,85,Public
297,amzn1.account.AFDS7T627BPW5QXL3ATE73VQ3IVQ/,87,Public
,,,
138,amzn1.account.AHLSIYU6EGAYUSSP6VPSQ73ASNOA/,59,Public
190,amzn1.account.AFMIIJW7KEZQQTCL2BQDDP64KDAQ/,29,Public
61,amzn1.account.AFC7JEPLXYRC5OKTRMYLMSTAAPXA/,64,Public
14,amzn1.account.AGHJC7MFLLLWXCUL7Y7DOCX5YS4A/,9,Public
,,,
11,amzn1.account.AEYHD2UI52ZGGKIJN2ISUDRQUCJA/,21,Public
,,,
,,,
,,,
,,,
,,,
30,amzn1.account.AHEF3UGTGM75XOE7V3MJXILG6NTA/,56,Public
,,,
132,amzn1.account.AH5IPVHT4NEH2DF6BRXUC5NMZRDQ/,188,Public
,,,
,,,
37,amzn1.account.AHZABV22LOWZ6ZMIDX3YBMGC5MFA/,44,Public
,,,
,,,
125,amzn1.account.AGIAX5BSJ6OM63TOHE5J7LN2MBTA/,40,Public
60,amzn1.account.AFEEO5Q3YG62HRHDBWDFYVJ7LPJA/,34,Public
"6,410",amzn1.account.AER23RSRTBEQBQYOIUDTNOYAHXXQ/,434,Public
,,,
46,amzn1.account.AHKCQ5LOEXJCPUAZHBZPPWRDH2GQ/,118,Public
15,amzn1.account.AHLZRNJTFYEFSMU3TSXH4CWISAKA/,16,Public
,,,
,,,
207,amzn1.account.AFEZIT3IRVTDOVVFDYYCLQAN5G3Q/,39,Public
94,amzn1.account.AE4WN45AASA364NMTMEWJOUX24GA/,26,Public
,,,
,,,
12,amzn1.account.AER6PW35IIICWPFWXZLKE7YEFS2A/,69,Public
,,,
,,,
63,amzn1.account.AGLFC5CMQLW7C7XQR7Y2J3UAK7NA/,18,Public
,,,
,,,
,,,
68,amzn1.account.AE6CCZBFYU66FWNTA65RTSXSYETA/,68,Public
8,amzn1.account.AFUQIZSKYUNNSKVREOFWJ75VK35Q/,12,Public
169,amzn1.account.AGMTHDQBLJ7C7WTOBO7UCP6SSFWA/,66,Public
26,amzn1.account.AH77DTIJFWVVQTWYTPXKUMUVH2KA/,62,Public
300,amzn1.account.AEPXW7CSWAK7G4JW5BSXTWYONEPQ/,53,Public
149,amzn1.account.AGTPEDNDDY44MVCMV5QUJ4YJOIKA/,74,Public
69,amzn1.account.AGPNBJOS5ISDDDZU4W4AUDQGENQA/,42,Public
,,,
,,,
29,amzn1.account.AEG6NKGYI5DU5HLILY7W6LWYM74A/,42,Public
,,,
,,,
56,amzn1.account.AFSUF2CE3Z3BXSLOWM6HPIAKTV4A/,63,Public
,,,
1,amzn1.account.AF5YMF7WBGYWFZBFF4UY2U5UV3DA/,13,Public
,,,
,,,
,,,
,,,
697,amzn1.account.AFVCMOU6QQUBNCVG6I4OLPJY6QRA/,73,Public
,,,
10,amzn1.account.AHTMVHSXBDDI5VCJEXT5DNIG6KIQ/,7,Public
,,,
,,,
,,,
124,amzn1.account.AHIDOEGTP7IYGWCIA5SEQA3VAXTQ/,152,Public
,,,
11,amzn1.account.AEOWKPWCGG4Q66OWWQQZW75XQBJA/,27,Public
32,amzn1.account.AFCZ4GPHFKUAJNPPP4EBUFAOS2ZQ/,31,Public
,,,
866,amzn1.account.AHMFHLQR23WKPMR3UFBVWGRB44DQ/,721,Public
167,amzn1.account.AHFL35CXM3D4WOTTC4KQFQU5MNLQ/,18,Public
,,,
73,amzn1.account.AHLB5CSQRLORJ7QZ2YCHKD65PKEQ/,31,Public
801,amzn1.account.AEGILWYU2BWXETSMBSJBGFCDUHBQ/,353,Public
306,amzn1.account.AFLB4LQUNSHMDCSAD4N7TB2345ZQ/,82,Public
,,,
,,,
,,,
288,amzn1.account.AFLFMPUPZRBEDIU2YM34MNPT4OHQ/,160,Public
,,,
60,amzn1.account.AF76QNY2XBGTINWXAGZR7FCGYXBA/,74,Public
0,amzn1.account.AFCM667VB26ZFKRBWX5SHO3QQW4Q/,2,Public
,,,
635,amzn1.account.AFQNYU6URSX6MC3DHOL2CDGBMGGQ/,421,Public
,,,
7,amzn1.account.AHDA7XQJYV2PJTXMAXKI357DLW6A/,10,Public
858,amzn1.account.AHT4VCPG77EW5UD3ZNVNKIPLWS4A/,171,Public
5,amzn1.account.AFTKSGZAJR3SQMOXQYBG75L2ZQ5A/,14,Public
,,,
17,amzn1.account.AETKGQQS53T5S3C4RME36NFIUYQQ/,25,Public
98,amzn1.account.AFXFD2WDA5SG27QQO5KVBGAU4V7Q/,65,Public
216,amzn1.account.AGQSATAK7ALPIAVRALYUTMFVWM6Q/,80,Public
30,amzn1.account.AGCUS5IGNHFZOG3FI4PZP3PCYA5Q/,72,Public
811,amzn1.account.AGBLJBYZ7RCQNNIOARDVYYONJSEA/,122,Public
18,amzn1.account.AFYTRRQXP4WMMZMUZS2MAXSL6GEQ/,35,Public
216,amzn1.account.AEM4C4QMHLKU6ASCGKMDNKNDC32A/,105,Public
,,,
"1,428",amzn1.account.AGJ37NPEPX2A43PKO3L3EN7LIICQ/,355,Public
282,amzn1.account.AGY4V7BT6V3FLHSVDAYVFKTJGVXQ/,134,Public
15,amzn1.account.AGMPELJUVOV2HY5CP7QJHTNSIYKA/,18,Public
29,amzn1.account.AFEIXIBNX7S5D3XWTX7JJAKUJQEA/,23,Public
22,amzn1.account.AGXZX5EBNPBWMZOWUG3USYORIAQQ/,54,Public
4,amzn1.account.AFABJPMT33EKQALACL7V47CIDDDQ/,11,Public
,,,
658,amzn1.account.AHEPD37UPIS35ZUJ7NT5BTXBLFLA/,542,Public
,,,
,,,
,,,
