author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Dan,/gp/profile/amzn1.account.AE6DOHXADHBL6JZHYEPZQCR7FRCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 6, 2019",4,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,3.0 out of 5 stars,"Although I like the style of the construction and remote, these truly do have a green tinge to them as other reviews post. I don't care than they are highly rated, people's pictures are color corrected. I adjusted the white balance in all of my photos to match real life and now you can clearly see the orange color. In my summary picture, the two I chose didn't even have the same hue to them.Full review of all others: Color correction in photo shows most realistic and true color.1. large ""flame"" and somewhat strong yellow color.2. Cheapest looking construction, very similar to #7.3. FAVORITE and closest to what a real tea light is. This is what I will keep and buy more of as it is bright and most resembling a candle.4. Greenish hue and different shades. Inconsistency overpowered potential.5. Rather cool white, but nice and bright with a handy remote. They have an option for ""Amber"" color which I bet will be more yellow than the true tea light and what I'm looking for, but good looking nonetheless (hence the higher price). If you want a bright candle with a little cooler white than a real tea light, this is not far off and second favorite.6. Very orange but for a Halloween maybe that's what you're looking for...7. Very dim and true yellow, not warm feeling.8.  More amber warm color but still strong yellow and not true to real candle.",Green hint of light in my color corrected photos.,Verified Purchase,14 people found this helpful,204,52,290073,Public
Jennifer Page,/gp/profile/amzn1.account.AEBAHYJBB72FSY4EXR7I27L5U42A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 24, 2017",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,I could not take these.  The LED bulb is clear and so white and harsh. They hurt my eyes! The flicker was not real and more of and on/off blink like a neon sign. Had to return and find another brand w/ a frosted bulb and amber/yellow glow.  I ended up w/ Festival lights that are much less harsh and seem more real and do not hurt.,Yikes-They Hurt to Look At,Verified Purchase,38 people found this helpful,88,102,1080968,Public
S. Shanafelt,/gp/profile/amzn1.account.AFU6WRTZYSX4ZXQSR6JJM55Q44LQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 7, 2019",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4.0 out of 5 stars,"These are almost exactly what I was hoping they would be: An LED version of a tea light. It's very nearly exactly that. The size, light output, and look of these things is excellent. Unfortunately, the light they give off is WAY too blue to look like a candle light. Instead of warming up the room's mood like a candle does, it gives off a slightly cold-looking light. They're otherwise great little lights, but if you're looking to set an intimate or romantic mood, I'd suggest shopping around for something a little warmer.UPDATE: In the event you do want to order these, here's a quick hack that might improve the quality of the light. I took an orange permanent marker, and inked over the ""flame"" with a single coat,  let it dry for a few moments, then wiped off the excess. The light is much warmer in tone now. Simple fix for a fairly minor issue.",Good Lights. But LEDs Are A Bit Too Blue,Verified Purchase,13 people found this helpful,71,39,386776,Public
pickles nichols,/gp/profile/amzn1.account.AEUHY62BSOG77TBF5RRCSHP47RXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 2, 2018",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4.0 out of 5 stars,"pros:- last a long time on one battery. to test them out when i got them i left 3 on all day and night, and they lasted about 2 weeks before i needed to change the battery.- from distance they look like real candles. even close up they could be mistaken for a real candle.- the light from them looks very close to the light given off by real candles.- seems to be water proof. i had one which was on that got submerged and it never stopped working.cons:-flicker rate is just way too high. almost like a constant flickering, way more frequent than a real candle does. the frequency of the flicker needs to be much lower.- while it looks close, the light form them isnt quite right. the light needs to be a bit more of a yellow beige-ish like color to it, they look a bit too white to be actual candle light.overall a pretty good job for what they are.","very good, worth a buy.",Verified Purchase,16 people found this helpful,24,15,1026516,Public
J. Adorno,/gp/profile/amzn1.account.AF5M6KGTLUTBBK4JCL5N2FBUYGTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 15, 2019",2,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,2.0 out of 5 stars,"I order these for my dinner table for Thanksgiving and this is what I received.  The picture clearly shows different color candles.  I don't understand why... I could not use them because they did not look right having different candles.  Besides that, I would have loved them but only four looked more like a warm white but the outside looked like a yellow.  This is some of the description from their product ""Pack of 12, Electric Fake Candle in Warm White and Wave Open"".  Eight were a bright white and four looked more like a yellow but warm color.  Yep, so the picture says it all.  Haven't had time to return but I am def going to send them back this week.",I was disappointed with my purchase,Verified Purchase,7 people found this helpful,132,32,4751422,Public
Art-of-Zen Digital,/gp/profile/amzn1.account.AHNDRJG4JBEGKZGY62CO57TFNYIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 10, 2018",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"I’ve ordered 2 different sets of 12. They were both supposed to be warm looking candles, what’s interesting is, the first set was literally an unimpressive basic white color. I had to put them into warm looking candle holders to compensate for the horribly bright white color. Then the second set came in. They were exactly like the ones in the picture. The candles looked warm and soothing on their own, with an orange glow, and were far brighter than the first set. These are also being placed into warm gold color candle holders. They look far better than the older ones in the same candle holders.I’m giving them 5 stars simply because the price is so low that it’s literally a dollar more than the cost of purchasing batteries for them, to get a set of 12. Also, despite the random nature of how they come, and ordering 2 sets of the same ones, one that came as pictured, and the other, a simple white one that you could find at dollar tree, they look great hidden inside a tinted candle holder. The more photo accurate ones look 10 times better inside and outside of the candle holders when turned on though.",Beautifully Warm Candles (If They Send The Right One),Verified Purchase,7 people found this helpful,285,100,334629,Public
florin,/gp/profile/amzn1.account.AEZIY4F63KBENLC7BBRKY4JTNGKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 16, 2019",0,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"March 16, 2019: These are the cheapest looking items I've ever had.  They are electric candles - very tiny with a harsh neon like glow instead of a soft candle-like appearance; the 'flame' looks nothing like a flame.  I am going to return them because they are not what I expected, not even close.  Definitely not worth the money.",These are horrible!!!,Verified Purchase,9 people found this helpful,65,36,178730,Public
HRH,/gp/profile/amzn1.account.AE7O6NS4SMXIFOJBAM5ATHYIYPBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 20, 2018",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"We used these lights for our Jack-o-Lanterns last year for Halloween 2017.  After a year we pulled them out of storage for this years Jack-o-Lantern too.  All of the lights worked after a year in storage and they give a nice glow to the seasonal decorations.  These lights outlasted the pumpkins again, my husband and I took bets on how long they would last beyond Halloween.  It has been nearly a month since we set them out on the front porch, now lighting the pathway, 24 hours a day in freezing conditions and AMAZINGLY they are still all working.  These lights are a bargain, fun, durable and a wonderful addition to the long nights of winter.  I highly recommend these lights.",L--O--N--G Lasting!!,Verified Purchase,7 people found this helpful,13,14,595080,Public
Bethany,/gp/profile/amzn1.account.AFVF64GW2SFBEST2TGK4E4WRF6XA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 31, 2018",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4.0 out of 5 stars,They light up very bright and make our home look so cozy & pretty! I cannot wait to decorate our fireplace with these and a garland. :) Yay! The only negative thing I could say about them is that they are a lil pricey and the battery life isn't so great. They started to dim after 10 hours of shining.,LOVELY!!,Verified Purchase,11 people found this helpful,2685,1186,2855909,Public
Dee N,/gp/profile/amzn1.account.AFOS64CXZ7PGIZO76NJP3ZM34F5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 12, 2019",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4.0 out of 5 stars,"There are some LED candles which  are almost hard to tell from real candles from a few feet away. This is not one of them.The intensity of the light varies a little, simulating a flickering flame, but it's too little and the ""flame"" doesn't vary, just the brightness.I bought these to help with my meditation practice, but I find myself just getting irritated when staring at the ""flame"".If you want some mood lighting, this should be okay, but if you want to be able to stare at the flame, find something better.","Okay, but not very realistic",Verified Purchase,6 people found this helpful,853,182,1660,Public
ruby,/gp/profile/amzn1.account.AFYZAAETFNELBFYRDH2HH34OLEQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 10, 2017",1,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"Really nice faux candle/tea lights. These are small but fit what I was looking for. Most pictures here show a yellow color when on but the are not that yellow more soft ivory, I absolutely love these and will be buying more for my wedding.",Great buy,Verified Purchase,17 people found this helpful,1016,206,14872,Public
Craig Davis,/gp/profile/amzn1.account.AFT4HK54YVUYNVZEDQJJOAT6P2KA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 3, 2019",2,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,4.0 out of 5 stars,"These are decent, fairly bright little lights that add a pleasant ambiance to any darkened room. The flickering feature, though not totally realistic, does add an interesting element. I don't particularly like the way the inner workings bleed through the housing when lit. But this is a minor issue and is in no way a deal breaker.I like to use these lights during the holidays. They are a nice no-flame alternative to tea candles which means they are safe and glow much longer arranged within your favorite displays. I recently purchased a set of (Just Artifacts---mercury glass) square gold tea light candle holders. The Homemory candles look really nice glowing inside of these.I am happy with this purchase. This is a good product and (just recently) I purchased them again.",Nice alternative to traditional candles.,Verified Purchase,3 people found this helpful,108,75,167794,Public
"HP USA : 6'tall : 165# : 31""waist",/gp/profile/amzn1.account.AGXTTG7CAYGY6YYNVDDSAJIARR6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 12, 2018",0,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,2.0 out of 5 stars,"These tea lights are as bright and flickery as real candles, yet they emit is an eerie, pale green, haunting color rather than warmth. I'm keeping them because of price, although I'm able to use them solo or in the foreground as I intended. 🤷🏼‍♂️",Eerie Green Light! 🤢,Verified Purchase,7 people found this helpful,183,60,6730,Public
ellie,/gp/profile/amzn1.account.AGGG477GF5CFJY3CVOBM4LHLFJVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 12, 2019",0,1,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,3.0 out of 5 stars,"The battery, durability, and simplicity of use is very good, but the quality, light glow, and convenience is disappointing. One candle was a dud; the candles look fake/white plasticy and the glow is a hard white; and compared to other remote controlled realistic and warm glow candle products, it was a pain to have to switch each one of them on manually. It's also annoying that they're a one time use product/you can't buy batteries for them, but I am very impressed that I bought them like over a month ago and they're still going pretty strong or lasted longer than I expected, especially because I've left some of them on over night sometimes and they're still kicking. Also, they do provide a lot of light for their size.",Good in a pinch but wouldn't buy again,Verified Purchase,2 people found this helpful,20,73,21333509,Public
Amateur Critic,/gp/profile/amzn1.account.AHVPKN5HUKP67Q7C4XROLA7RYEWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 2, 2017",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,4.0 out of 5 stars,"I ordered a box of warm white.  Some of them look a bit warmer than others.  I turned them all on and found myself getting sleepy watching the flicker-- like real candles.  They won't fool anyone unless you hide them in some other container, but they aren't bad for the price.  The only thing I wasn't wild about was that they did not come with a paper tag over the battery which usually indicates the battery is brand new.  Hopefully these will last a bit.  One suggestion-- they could achieve an even warmer look if the plastic ""candle"" was ivory and not white.",Not bad for the price.,Verified Purchase,5 people found this helpful,142,54,443720,Public
Katie,/gp/profile/amzn1.account.AEVSW6BLVKEEQ44JWEUYQVLDPZYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 7, 2020",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"Your browser does not support HTML5 video.           I love these candles! I’m using them for 3 sconces I have in my room and they really add a nice ambiance.  The flicker is very realistic and makes me feel so relaxed.  The color they give off is a yellow white, not a bright white LED. So far the battery life has been good.  I’ve put them on almost every night for the past week for 7+ hours at a time...I once forgot to turn them off before I went to work and they were on all day.  I plan on using these for holidays as well!",Very relaxing!,Verified Purchase,One person found this helpful,84,56,906709,Public
Erika C,/gp/profile/amzn1.account.AHQ7XTREKY32JCKPJOBWENRBL54A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 4, 2019",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"These little guys are great. I love candles, but if I have too many burning I tend to forget to blow them all out. These are great and have a pretty long shelf life for how tiny they are. I left them lit for about month continuously during the holidays because I kept forgetting to turn them off. While they weren't as bright as the first day, they stayed on and I've used them since for little accent decorations around the house. Love them! I'm ordering some more today.",Ordered for Holiday Votives- Will Keep Ordering,Verified Purchase,3 people found this helpful,15,28,646493,Public
B. Mc,/gp/profile/amzn1.account.AFEWPYNBCBPEMOCJ3JAPDNNRXYSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 22, 2019",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,4.0 out of 5 stars,I like this product - they are larger than typical tea lights and I like the design of the rim which makes them look more like real candles..  My only disappointment is that the “flame” is not wiggly like all of my LED pillar candles which makes them look more realistic than these.  The “flame” on these is rigid and has only a faint flicker effect but I do like the fact that the light is a warm white (not yellow) and is pleasantly bright.,Wish the “flame” would have a more pronounced flicker,Verified Purchase,2 people found this helpful,64,33,1331554,Public
JRTVanouhlden,/gp/profile/amzn1.account.AGXSSQDITP6T2PLXCFN6SAAEUIWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 15, 2016",0,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"Love these!!! I have a wall sculpture that holds like 50 tea lights. Anytime we would have a dinner party, I would have to restock and relight tea lights at least once as they burn pretty quickly. But these little buggers never stop. Flip a switch and forget it. They've lasted for months now; saving me money and headache. The one knock, if you would hold them in your hand--or use them in a table centerpiece--they are obviously not real. I have seen some of these LED tea lights that are quite realistic. These, not as much. That said, if you have them up high or more than four feet away--they're perfect. I use real tea lights on the table, and these elsewhere. No one is the wiser.",Awesome little twinklers,Verified Purchase,17 people found this helpful,350,82,564930,Public
Shanee,/gp/profile/amzn1.account.AE3VX4DUQZW2LAOZZRTNH4XNVESA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 17, 2019",1,0,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=3,4.0 out of 5 stars,"I liked them fine. First time ordering, so as other reviewers have mentioned that the first time they ordered the lights were white but orders after that had more yellowish lights, I can’t speak to that but I can say with this being my only order of them, they were yellowish. If you look at them when you click them on, you can actually see a bit of a flicker.  They all worked right out of the box. And I left them on for about 3 hrs and they were still working fine. I’m not sure why the review portion wanted me to give stars for a timer function and remote as I don’t recall a remote or any timer function... but anyway, I’d buy again. At least depending on what your purposes are. I bought them for my boyfriends birthday to go with some rose petals and a bear, etc. I recommend.",Pretty!,Verified Purchase,,2174,144,186150,Public
Cathy Adams,/gp/profile/amzn1.account.AH5T3WJPLMRJ5HFMLSZODMS77OAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 23, 2019",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,5.0 out of 5 stars,"We decided to try this set of 3 LED candles because we'd already been given a Luninere candle and love it!, but then we discovered that it would cost us $90.00 to buy a set of 3 Luminares, vs the $21. for this set - so we decided to give these a go.  And what a good decision.  They are a shave smaller in diameter and height, have more of a melty-look fluted top edge; and/but the movement/flicker and color of the flame is identical to my eye, and can be set from very bright to a more dim lighting,  They look 100% like real candles.  I can't speak to how long the batteries last vs the Luminare because we've only had these for a few days and don't yet have a basis for comparison.  But even if the batteries do need to be changed more often its still a good buy for us because we just didn't want to lay out $90.  at this time. I would and will buy both brands again.",LOVE THESE CANDLES!!!,Verified Purchase,One person found this helpful,10,9,2196,Public
Ladyslipper,/gp/profile/amzn1.account.AHUGOUBY7VQUVIPUSCTNZXLLGBSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2017",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,1.0 out of 5 stars,"These candles appeared to glow in the photo. I found them a stark, unpleasant white. I also, (wrongly) assumed that they had a ""moving"" flickering flame. I don't plan on using them.",Disappointing,Verified Purchase,9 people found this helpful,105,76,62593673,Public
Debi W.,/gp/profile/amzn1.account.AGUNBLNZTQWNUHADS2N37PTLCKTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 16, 2019",0,,https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=4,5.0 out of 5 stars,"I bought these for an upcoming cruise as we can't use real candles and I like a little atmosphere in the cabin ;>)  I've been testing them in our bedroom and they are great! They really look real because of the flickering. I can't comment, yet, on the battery life but will update if there's a problem, which can easily be resolved because you can replace the battery! I adore these! When we are in our cabin in September, I'll update with durability and battery life and a picture!",These look so real because they flicker!,Verified Purchase,2 people found this helpful,587,1,652746,Public
