author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Katherine,/gp/profile/amzn1.account.AHXB4WJD7HSOK45DYAJLAT22PGKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 29, 2018",0,9,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Connected beautifully to my amazon Alexa but unfortunately when you plug it in, it produces a high pitched noise that is extremely irritating. Going to return instantly.Update: Amazon had great customer service that replaced these plugs to see if they were defective in the first place. Today I received them and unfortunately they still have a high pitched buzz.",High Pitched Noise,Configuration: Smart PlugVerified Purchase,222 people found this helpful,222,2,62593673,Public
Anthony H,/gp/profile/amzn1.account.AHQRT3EZP5UBMLPCN65EYZOWESBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 17, 2018",1,5,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"I can not get the device to connect to my WiFi.  I setup our whole house with Lutron Caseta which was super easy and painless with 20 devices. Unfortunately this setup process is obscure and impossible to troubleshoot.  Several times it just hangs with no messages and you have to start over.The failure modes are random and the most frustrating.  First, the barcode setup will just hang and never work.  You have to cancel and start at the beginning picking a plug and the brand.  Then you have to try again and know to click the link below that says barcode setup not working.  This takes you down another process where I next experienced a “provisioning failure” with an option to start over.  Next I received a “connection error” with the same option to start over.  Lastly, the manual setup process now fails over to the barcode setup which failed in the first place.Painful.  Not nearly as easy as setting up Alexa or other smart home devices.",Troublesome setup which ultimately fails.,Configuration: Smart PlugVerified Purchase,223 people found this helpful,271,19,1480345,Public
k226,/gp/profile/amzn1.account.AEVZXU7Z4CNBNSFLG3EUM2WUPZIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 22, 2018",0,5,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"So far, my plugs are not able to be discovered.  Have tried many different methods recommended by the various people who respond to others whose plugs are also undiscoverable.  You should not buy these until Amazon figures out how to make this easier on their customers.  We should not have to be ""IT detectives"" to make this work, especially when there are competing devices that work better and have better functionality.I have a customer service request in to Amazon, will see if they respond with any solutions.  If not, I will return these lumps.Update: Well, Amazon didnt respond to my customer service request, but they DID contact me by phone regarding this 1-star review.  Started off by asking me for personal information to verify I am who I am (uhh, no, you called me).  Didnt resolve the issue to my satisfaction (although the Amazon rep seems ok with his recommended solution).  Probably going to return them.",Dont Buy - Amazon hasnt figured out how to make setup easy enough for us!,Configuration: Smart PlugVerified Purchase,185 people found this helpful,197,7,1090050,Public
Mark H.,/gp/profile/amzn1.account.AGJPNUIQCQ4RWABHLHO43776YCNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 28, 2018",0,3,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Bought multiple plugs and they all disconnect constantly, unsatified",DISCONNECTS CONSTANTLY,Configuration: Smart PlugVerified Purchase,184 people found this helpful,185,18,935108,Public
Nina,/gp/profile/amzn1.account.AEJJZ76LFUAF5TBHIWGHCMYESQSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 31, 2018",0,13,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"I am very disappointed in this. I bought this for my keurig, but because it needs to be touched to preheat it didn’t work. My back up plan was the tv. Nope...doesn’t work for that either. Please keep in mind this can only be used for items that can stay on constantly. Example a basic coffee maker, lamp, scenty, etc.",I’m just disappointed.,Configuration: Smart PlugVerified Purchase,161 people found this helpful,255,204,246702,Public
Buck Bell,/gp/profile/amzn1.account.AFKWCVTHPQLDW26FBP5ZVBHORFIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 11, 2018",0,3,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"I have 7 Echo devices, including two that have hub capability.  Currently, I have a range of WeMo plugs and Philips lights such that my home is fully automated in terms of lighting.  My phone calls are all routed to echo devices.  In other words, I am not a novice user.  None of the setup option worked with this plug.  It didn't auto-connect, it could not be discovered or added via the Alexa app, and even in manual setup per the instructions (hold the power button until flashing green and blue), it would not find the plug.  Terrible!  Never had a single issue with my WeMo devices, and I'll be going back.  So will this faulty Alexa plug.",Total Fail,Configuration: Smart PlugVerified Purchase,148 people found this helpful,194,21,1043258,Public
Raptor,/gp/profile/amzn1.account.AFKBXY2V6QQNICPTIKXNIFAL4A6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 4, 2018",0,4,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,3.0 out of 5 stars,"I bought one to test out in order to potentially replace my WeMo plugs (which are problematic and have buggy software).  I’ve used it for awhile now and here are my experiences.  The plug was not as easy as described to setup.  It was not as plug n play as Amazon indicates.  I agree with most that it is pretty bulky, more so than I figured Amazon could design.Only supporting 2.4GHz Wi-Fi has been pretty standard, though you’d think Amazon has the resources to develop a 5GHz model (as well as a smaller footprint).  And I’ve experienced several brief ‘glitches’ where the Alexa app could not manage the plug.  If that is a typical issue then this is unacceptable.  I’ve expected better performance on this product given Amazon’s resources and entering the smart plug business late in the game.And then there’s the price.  I think this unit is overpriced regardless of the issues I’ve mentioned.  Being a long time customer and often a fan of Amazon, I expect them to be able to do better on size, performance and value.  This product, as is, is not innovative.  Make it smaller, stable, support 5GHz, and lower the cost.  Also consider lowering the cost further on multi-packs.  If customers like this product they will likely buy multiple.  Right now, the competitors are still as good.Having said all that, the plug does generally work, with the drawbacks listed, and I would likely buy additional units if Amazon lowers the price.  As it is I don’t see any advantages to this product over certain other manufacturers, at present.  I’m hoping that these plugs show up as Black Friday deals and will be looking out for them.  Though the release so close to a holiday, and I suspect low startup stock levels may preclude these items from BF deals.","Generally works, with issues, not innovative and has a high price point",Configuration: Smart PlugVerified Purchase,125 people found this helpful,940,201,12458,Public
Betty J,/gp/profile/amzn1.account.AF37G3JQQT44YIKZMO6Y3EVEOZGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 16, 2018",0,0,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"This is the easiest smart plug ever! You just plug it in and open the Alexa app. That’s it! It’s ready to use! Unlike other smart plugs that are sitting in my drawer because it was impossible to connect them to my WiFi,  and forget help from customer service, it worked immediately. Simple and worth the purchase. One more thing Alexa can now do for me.",Great product,Configuration: Smart PlugVerified Purchase,116 people found this helpful,257,146,140338,Public
Dustin,/gp/profile/amzn1.account.AEJQGMP2NUVVCPEQUWTZELNFZTFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 15, 2018",0,0,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"Hey I really like the TP Link Ones and still do. Non-hub, they sit on your wi-fi every now and again have issues but nothing major. I just hooked up my new Amazon one. No skills, add-on's, 3rd party apps, accounts to make. It JUST WORKS. Plug in, add device, give it a name. DONE. It's 3 prong which is nice and while I do like the status light on the TP-Link's since this is a native hardware to Alexa I expect less issues. Do note this does not support 5Ghz but honestly you goal here is better signal reach not throughput. I also like the fact that most likely your phone is on 5 Ghz but the app is smart enough to figure that out and program the 2.4 network into the outlet without fumbling around with your phone. Plug, play, use, cheap, native, #WIN",It Just Works!,Configuration: Smart PlugVerified Purchase,111 people found this helpful,162,27,1703060,Public
Ricardo,/gp/profile/amzn1.account.AE5LREZP2WMYW45C45MNJ5FBUGJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 16, 2018",0,0,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"Did not immediately recognize my wifi.  I had to input wifi name manually, no biggie.  However, remember to also enter wifi password via ""security"" option as part of plug set-up.  Once both are correctly entered, all worked well.  Will buy 2 more!",Unrecognized Wifi,Configuration: Smart PlugVerified Purchase,113 people found this helpful,148,46,1017172,Public
G. Garrick,/gp/profile/amzn1.account.AFF45WVC24JX7FT2MNT5HBB35K7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 7, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"These plugs frequently lose their connection and need to be re-paired, and any routines that are set up need to be re-programmed.  I go to use the item connected to it, and get an ""offline"" error and I have to go through the whole setup again from the beginning. This has happened to me multiple times.  I have no problem with any other Alexa compatible devices so I have concluded it's the problem with the plug, and also with an ""Amazon"" branded device since my other devices, strangely enough, work fine and are from ""partner"" manufacturers.  It's not my Wifi since I have a 90+% signal in every room thanks to a network of Eeros everywhere.  So I am returning these and getting Weemo plugs instead.","Frequently loses connection with Alexa, ""item offline""",Configuration: Smart PlugVerified Purchase,55 people found this helpful,345,93,57365,Public
Achint,/gp/profile/amzn1.account.AE7A5VQV2Y4KD426KVYU3MQ3JPMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 14, 2018",4,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"Your browser does not support HTML5 video.          I bought the smart plug to pair it with Echo dot, and both of them see to work smoothly. Once the smart plug was paired with Echo dot, it works like a charm. I can issue voice commands to Alexa and the plug works as expected.This plug is aesthetically pleasing with rounded corners. The manual power switch for the plug is installed as a small dimple in the side which doesn't protrude out sits flush with rest of the body. This plug is wide but not tall, because which it doesn't block the sockets next to it on the wall plates. When the plug is turned on or off, it makes a small clicking noise, that is probably the sound of internal relay opening or closing the connection.This looks like a well-built plug and works reliably, with rare instances of not working and when I asked Echo dot to turn on the plug it would tell me that the plug is not responding. In such instance, I asked Alexa to turn the plug off (even though it was already off,) and then asked it again to turn it on. That seemed to fix the issue. However, if your switch seems to be unresponsive then I would recommend resetting the plug by removing the plug from socket and wait for 10 seconds. Then press and hold the power button on the plug. And while holding the button, plug into an outlet. After this step, try to pair the device again with the Alexa app.There is a small LED in the front which doesn't light up when the switch is off and turns to blue when the plug is turned on. If there are any issues with the plug or when the plug is initializing (after being plugged in), the LED turns to orange.By default, Alexa adds the smart plug as ""First plug"". The name of the plug can be changed in Alexa app (shown in the Video of my review)SETUPWith Echo dotThe setup with echo dot was extremely simple. As soon as I plugged in the Smartplug, Echo dot recognized the plug and responded that it has recognized the ""first plug"".Without Echo dot or if Echo dot cannot detect the smart plugI have shown how the setup process works in my video review.1. First, put the plug into pairing/discovery mode by pressing the power button on the side of the plug until the LED in the front starts blinking between blue and orange.2. After that open the Alexa app, and add a new device of type ""plug"". Plug type is Amazon.3. Alexa App will try to connect to the plug. At this step, we have two options. Either scan a QR code that comes with the plug (it is also printed on the plug as well.) If scanning the QR code is not possible then the app can also try to connect to the plug with Bluetooth.4. Once the App connects to the plug, it configures the plug for Wifi by asking you to select the Wireless network. After this step, the setup is done.OPERATING THE PLUGWith Echo dotWith echo dot I can simply say ""Alexa, turn on first plug"" and it turns on the plug. After I changed the name of plug to ""Christmas tree"" in the Alexa app, I could simply say ""Alexa, turn on christmas tree""ManuallyThere is a switch on the side of the plug as well which you can use to manually turn on/off the plug. The switch gives a tactile feedback when you use it.THINGS YOU NEED TO KNOW BEFORE YOU BUY THIS PLUG1. This plug supports current up to 15 Amperes, which is good enough for most of the appliances.2. Alexa adds the plug as ""First plug"" by default. But you can change the name of the plug in the app.3. This plug doesn't remember the state it was in if you remove it from the socket. If you remove the plug from the switch while this was on and plug it back in, the plug will be turned off. I think this might be because of safety issues and I prefer this behavior.",Works like a charm with Echo dot,Configuration: Smart PlugVerified Purchase,46 people found this helpful,4664,86,4281,Public
pez,/gp/profile/amzn1.account.AHFJITKI7R5TVC5EKYEHYBVK63EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 30, 2018",0,,https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"I like the fact that this plug handles 50% more power than most smart plugs. That means it will drive the coffee maker or espresso machine.  However, after having this for two weeks, it has lost its connection twice already. My other smart plugs don’t have this problem. It is sitting right next to an echo and across the room from a WiFi router so no excuses here. Too bad, it’s going back. Amazon has to beef up this connection.",Loses connection every few days,Configuration: Smart PlugVerified Purchase,54 people found this helpful,96,60,1911713,Public
