author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking
Clay R Burton,/gp/profile/amzn1.account.AESMWQRW4WVLPX6ZZHRZMGC47CKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 29, 2019",1,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"I bought these furnace filters to use with the Lasko 3723 20"" Premium Box Fan I bought from Amazon to make a draft filter for my sanding table in my woodshop. I just taped the filter to the fan and the combination works well together. The filter does a good job at capturing the dust. There is a lot less dust to clean up.",Other uses for the filters.,Size: 20x20x1Style: Without Air PurifierVerified Purchase,24 people found this helpful,78777853
Ed,/gp/profile/amzn1.account.AHJJQ4U4BOMZQXZYEHKCRR32H5GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 8, 2018",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"The new filters are not the ultra filters that cost $$$, but if changing every three months and you aren’t severely asthmatic, these do the job. Very reasonably priced so frequent changing can be a reality.",Reasonable price supports frequent changing,Size: 16x20x1Style: Without Air PurifierVerified Purchase,26 people found this helpful,565230
D. Adams,/gp/profile/amzn1.account.AEX2D27Y4BB4QWJWFBH2EG4HKDDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"And by cheap I mean cheaply made and very poor quality.  Per the pictures they looked very similar to the Purafilter 2000 filters I'd been purchasing elsewhere.  Since I always forget to have extras on hand, I figured this package would be a good bulk one to have.  So I got both 14x20 and 16x25 filters.  Of course, I simply went by the rating and didn't bother skimming over the actual reviews.First off, as others are saying, they do not match Amazon's photos.  Both 14x20 and 16x25 looked very different with what appears to be thin plastic (almost like hot glue) over the pleats vs metal.  They also have no rigidity to them what so ever.  I struggled for a bit trying to get it installed, having it waning to fold on me (plus it seemed thicker than my previous Purafilter.)However, what really did it in for me was the air-flow arrow.  Maybe these are designed differently but as others have mentioned, they appear to be backwards.  Perhaps this is the reason some people are talking about their units cycling often or overheating.  The short time I had mine installed, it sounded as if the filter was clogged.Needless to say, these were quickly removed from my HVAC system and I ran up the street to get what I knew worked well...",Very cheap filters...,Size: 14x20x1Style: Without Air PurifierVerified Purchase,14 people found this helpful,79024483
Andrew,/gp/profile/amzn1.account.AF57BF7G56DGSCSI6P4CJDAYCXLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 8, 2019",2,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,2.0 out of 5 stars,"In every other disposable furnace filter I've ever used, the support grating looks like metal chicken wire and when installed the grating goes on the side where the blower fan is.  The grating usually prevents the actual filter media from getting pulled towards the blower.These have it the other way and don't use metal.  There's thin strips of plastic every 1/8"" going from one side to the other and the plastic strips appear to be melted to the filter media at every pleat.  The attachment of the plastic strips to the filter media is quite strong in my limited and unscientific tests.  It should work fine but I was confused at first because the air flow arrow on the frame appears to be pointing in the wrong direction compare to every other filter I've ever used, but I'm pretty sure the arrow is correct, this is just a new way of supporting the filter media.Other than that, it's a basic filter.  The size is almost exactly the claimed size which is nice as it fits more snugly into my furnace.  Some of the cheap filters are up to 1/4"" thinner than claimed and 1/2"" less in width and height, but these aren't like that.UPDATE July 8th 2019: After only 2 months installed in my furnace the first filter frame has bent along the bottom edge, see pics.  I've never had a filter bend like this.  These filters have a very weak frame.  I'll be changing them out every 1 month now until I use up the pack of them then not buying this style filter again.  Sadly it's getting harder and harder to find basic low restriction filters which aren't cheap junk, even with the 3M branding on them.","Mechanically weak, frame bent after only 2 months",Size: 16x25x1Style: Without Air PurifierVerified Purchase,14 people found this helpful,54057
ASK@NWCLIPS,/gp/profile/amzn1.account.AHZZ6HCACKHTQLU7U2C4NA4YDYDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 20, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"How odd.  I have purchased Filtrete products in that past without any issues and expected that this would be just another set of replacement filters.It came as a shock to me that they were slightly oversized and wouldn't fit into the furnace filter aperature without a fight.  In fact, the only way to make the fit was to crush the cardboard frame and push the filter into place which meant that there was a gap where the bent cardboard frame didn't fit snugly against the metal frame of the furnace aperature.  I measured the new filters against the old ones and found them to be nearly half an inch to long on the tall side (24"").I bought a similarly sized filter (20x24x1) at HD which fitted perfectly.Don't know what happened here but I did have to return these to Amazon.  Disappointing.","Oddly, These Were Not Correctly Sized and Thus Unusable.",Size: 20x24x1Style: Without Air PurifierVerified Purchase,12 people found this helpful,32156
🌼 Daba 🌼,/gp/profile/amzn1.account.AHOHXQZCEU3KDM3TPKZRNCJ3ITVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 18, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"Very disappointed in this product. Really expected better from 3M.They were easy to install and after about three weeks, we noticed some terrible noises coming from our vents. It sounded like an airplane taking off when out A/C would kick on. We almost called the repairman to come out and then decided to see if the filter could be causing the problem.When we opened the grate we noticed the filter was bent out of shape. Looked as if the air couldn’t get through the filter so it bowed really bad.We replaced it thinking it was a bad filter. Three weeks later, the noise returned. Checked the filter, it was also bent so far in that we thought it was ready to crack.So, we are getting a different brand. We are so disappointed in this product. Very surprised that we went through a case of six filters in less than two months.Not very cost effective.","Noisy, brittle and needs replacing often",Size: 16x20x1Style: Without Air PurifierVerified Purchase,11 people found this helpful,94
Charles,/gp/profile/amzn1.account.AGDFSXWUNOUCFXT422OBGOVUJ5PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 20, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,3.0 out of 5 stars,"I have been using/buying this 3M MPR 300 filters for more than 5 years for the HAVC system in my house.  The recent purchase in Oct, 2019. I found out this filter was modified with the orange plastic grids from metal grids. My first impression was 3M is trying to cost down the products to make more profit. Okay, no big deal, then I further noticed that the flow direction was marked opposite.....I am very sure the flow direction is opposite.  The flow direction is supposed to be from the filter membrane side to the filter grids side.  All other brands and including the previous model had this design, which makes more sense.  I  carefully looked at the filter membrane and can't find any much difference from previous model although some reviews said this new filter had caused restricted airflow. I will first use this new filter in the next change and observe any performance. Will come back and update.",Is 3M trying to cost down or a counterfiet product?,Size: 14x24x1Style: Without Air PurifierVerified Purchase,10 people found this helpful,330984
Matthew Sellen,/gp/profile/amzn1.account.AER7H7EH4M53DZKFCIUKXCTFSKFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 15, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,Used to buy these for 2 years. 3M changed the design of these and the appear to be made backwards now. The metal crisscross support is gone from the back and is now looks like hot glue strips on the front. Didn’t seem safe for stopping it from tearing away and entering my furnace. I returned them. Moved on to a different brand.,Not as pictured anymore - changed for the worse,Size: 16x25x1Style: Without Air PurifierVerified Purchase,15 people found this helpful,471295
Mehetabelle,/gp/profile/amzn1.account.AGBOZOPDJQCE3GSHW5F4DZ76HDCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 8, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,5.0 out of 5 stars,"My home maintenance guy, who I trust very much, said I should use the least filtration filters (low- or no-MERV rating) but change the filters frequently. He explained that you don't want to strain the air conditioner motor with high filtration filters. So these filters fit the requirement and are not as expensive as the same thing from the supermarket.",Good value and seems to work,Size: 20x20x1Style: Without Air PurifierVerified Purchase,15 people found this helpful,30837
AmZone,/gp/profile/amzn1.account.AGCROPHHEC3EXFB37SQG3APIQIRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 21, 2019",0,,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,1.0 out of 5 stars,"I find it difficult to believe that these were made by 3M. I believe they are knock offs. They are not up to normal 3M quality specs.  Sizing is off, they are flimsy, and the quality varies from filter to filter. They have a completely different air flow and design from any other filter I have seen.  3M would have represented them correctly. I am not surprised other reviewers have had problems with them.  But you get what you pay for.  If they last, I expect them to last half as long.  I’ll use them, but will look for a more reputable supplier who will fairly represent their product next time.",Disappointing and cheap.,Size: 16x25x1Style: Without Air PurifierVerified Purchase,10 people found this helpful,282501
Stirwood,/gp/profile/amzn1.account.AETSI7FD5B2AAY7OPZ46UQKNI6XQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 1, 2020",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"Great 3M quality and price, I waited to see how they work before reviewing. They work great! The thing to know is that  they are using a new filter support design. Instead of a metal grid on the backside of the filter 3M is using plastic strips on the front side of the filter media. These strips are attached to every pleat every inch or two and will face away from your blower, the airflow arrows are correct on the package. This seems to be the problem some people are having.  If installed backwards the pleats will collapse when the blower comes on and cause airflow problems. Installed correctly the Pleats keep their shape and everything works fine.  I don’t know why they redesigned it I’m sure it’s a money-saving thing but it is what it is. These are still great filters, I will happily reorder these.","Great filter for the money, new support system design (explained).",Size: 16x25x1Style: Without Air PurifierVerified Purchase,6 people found this helpful,465011
Texashome,/gp/profile/amzn1.account.AHOIQCRMTRN44SBM7SBG2H3K7RPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 6, 2019",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,4.0 out of 5 stars,These filters are easy to install but they don't last the 3 months that are on the package. They do end up being a pain to pull out if I leave them in too long since they loose their shape and almost get pulled up into the duct work. I switch out my filters typically at the 2 month mark since they come apart and create gaps in the duct. It still filters out a lot of what's in the air but again I won't leave them in there for the full 3 months.,Easy to install,Size: 20x25x1Style: Without Air PurifierVerified Purchase,9 people found this helpful,1040353
Melissa M,/gp/profile/amzn1.account.AHBKYMKFEOC7H7YSNVRFKEGSPNPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 11, 2019",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"I used to love these filters, but I recently ordered more and it has a different design now. I wish I read reviews before clicking re-order. The old design is still shown in the photos, so I was expecting to receive the same thing I ordered previously. Sadly, these are not made as well. Luckily, I was able to do a free return. Just know that you are not getting the original design if you order these. Bring back the old design!!!",Terrible new design & poor quality,Size: 20x25x1Style: Without Air PurifierVerified Purchase,7 people found this helpful,51931
Richard K.,/gp/profile/amzn1.account.AEPFQ7PVQJLRSLN3L5ZAPVMN5VEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 26, 2020",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5.0 out of 5 stars,"3M makes a great product this is a filter that needs replacing often. That is because it is not a hugely thick HEPA type. If you have extreme allergies or need a HEPA then you should get another type of filter if you keep it clean house these last between one and two months and they do a great job. I can't believe some of the stupid reviews I've seen from stupid people. I work 42 years for major airline, and several years part-time with a friend that had a heating and air company. I rate these filters as the best filters for the money. If you use the cheap fiberglass ones that you can see right through you're going to be dirtying your coil and your AC unit life will be shortened. I wrote this review for the people that wanted to know the real truth and not listen to the cry babies that don't know what they're talking about",Gain a little knowledge !,Size: 16x25x1Style: Without Air PurifierVerified Purchase,3 people found this helpful,2210860
rlbrobst,/gp/profile/amzn1.account.AHRRULZKZLEAHSPQ56CAYDNE7X5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 27, 2020",0,1,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,1.0 out of 5 stars,"So I just had a new high efficiency furnace installed in November 2019. With the new furnace I received 3 filters. I had used up those filters and was looking for a cheaper option and purchased this bulk pack of filtrete filters. Just used the first one yesterday.Today I had to have the furnace repair guy come out and check my furnace as it seemed to be “short cycling”, turning furnace off and on and house not heating up. The first thing he asked was if I had changed the filter on a monthly basis. I told him yes and in fact just put a new one in yesterday.The fault was an airflow differential fault so he removed the filter and reset the furnace. Walla the furnace stayed running and warmed the house. So after the furnace kicked off he reinstalled this garbage filter and turned the thermostat up to call for heat again. BANG furnaces kicked off with the airflow differential fault again within a minute!!!Took filter out and it worked perfect again. He went back to his shop and picked up the correct size filter and tried it again. Worked fine!Long story short he said these filters restrict the airflow too much for high efficiency furnaces. Do not buy them as the material is thick and poorly constructed. These filters cost me double in the service call than I paid for this bulk packSo if you have a new high efficiency furnace stay away from these!",Cause “short cycling” and airflow fault in high efficiency furnaces,Size: 20 x 30 x 1Style: Without Air PurifierVerified Purchase,3 people found this helpful,1390106
RubAnADUB,/gp/profile/amzn1.account.AEWXRT2PLXYSARG44SIX347R7S6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 1, 2020",0,0,https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=3,4.0 out of 5 stars,"I've bought a lot of filters in my life, and I have even bought the expensive ones that are supposed to get rid of allergens / etc. But all of them were ""thick"" with crap and restricted air-flow. Mostly I am trying to keep dust and lint out of my ac unit. Flash forward to today, got my filters and they are letting my system breathe better to the point where I don't hear it on for an hour trying to cool down the house. These air filters keep the ""air"" flowing. Good money spent here worth taking a chance on these beauties.",Say whaaaaat!,Size: 20x20x1Style: Without Air PurifierVerified Purchase,4 people found this helpful,2176256
