author,author_profile_url,date_of_review,image_num,num_of_comments,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,visibility_status,ranking
Reader Rabbit,/gp/profile/amzn1.account.AGAFH7F3IPQUSOUJO2WMCT2JH32Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 12, 2021",0,,2.0 out of 5 stars,"I never write reviews on Amazon, but this book was so disappointing that I honestly felt compelled to. I bought it because it started out strongly, was well reviewed in the NY Times and was a Reese Witherspoon pick. I wasn’t expecting a great work of literature, but I WAS expecting a believable story and some excitement. But this story was absurdly unlikely. Absolutely no one behaved the way an actual person would behave, the one moment in the story where there is a sense of danger just turns out to be nothing, our heroine has remarkably useful friends who just happen to know a safecracker (?!). The plot is guessable and the missing husband is a complete jerk who we are supposed to admire  for doing tons of stupid things and leaving his wife holding the bag for everything. Ick ick ick. Two stars instead of one for being smoothly written.",Thrillers require some thrills,Verified Purchase,11 people found this helpful,,28,8,Public,77731661
NatalieJK,/gp/profile/amzn1.account.AGGK63GMVDNL3XC7NC7KHMGBTNYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 10, 2021",0,,5.0 out of 5 stars,"I haven't read a book in a very long time that I literally could not put down.  It was a very rainy Mother's Day in Ohio and the best gift I got was being able to read this amazing book.  Highly recommend!!!!!  This is the first time I've read Laura Dave and although her older books do not appeal to me, I think this one is setting a new bar for her.  Cannot wait to see what she comes up with next.  Anything Reece Witherspoon recommends is worth reading.",Cover to cover in one day!,Verified Purchase,8 people found this helpful,,22,30,Public,3365388
connie,/gp/profile/amzn1.account.AFARQ3LVTJ6S5XJMUJRR3VARBYTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2021",0,,2.0 out of 5 stars,I’m shocked people found this book suspenseful and well written.  It was drivel, it was boring and wordy.  It was unrealistic and a waste of time.,Convoluted mess,Verified Purchase,7 people found this helpful,79,26,Public,2418655
Miss in the Kitchen,/gp/profile/amzn1.account.AGOXEHULVWCOLRLXMKUDEG4BAUTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 7, 2021",0,,5.0 out of 5 stars,A quick and easy read that I couldn’t put down. A great summer read for anyone that loves a mystery.,Loved this page turner!,Verified Purchase,9 people found this helpful,,52,20,Public,4582447
Artemis,/gp/profile/amzn1.account.AF6N7P2KCX2X5K3HNY6EMUCPCLYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2021",0,,3.0 out of 5 stars,"*Spoiler Alert*  I just couldn't buy into the story line.  The underlying premise of the book is that the main character Hannah will do anything to protect her stepdaughter Bailey.  She's only been married to Owen for 2-years, and Owen's surly teenager Bailey has yet to accept Hannah.  Owen then disappears, and he leaves Hannah a note saying ""Protect her."".  Nothing else.  Honestly, if I was in Hannah's shoes, I'd be pretty pissed with my husband for bailing and leaving me to raise his daughter.  At the end of the book, Hannah decides to not go into witness protection program with Bailey and be reunited with Owen because she doesn't trust that the witness protection program will be able to in fact protect them.  So she decides to continue her life with Bailey by brokering a peace deal with Bailey's grandfather.  Overall, I wanted to like this book, but I just couldn't buy into the plot line.  Hannah effortlessly falls in love with caring for this surly teenage girl, but there is no underlying reason other than she is Owen's step daughter.  It seems farfetched that Hannah would makes the decision to sacrifice ever seeing her husband again because that is what is best for Bailey, and she is left to raise Bailey as a single mom.  I just can't buy into the belief that Hannah actually loves Bailey in the all consuming selfless manner the author presents.  It's just not realistic.","Meh. Ok, but not as great I was hoping for.",Verified Purchase,4 people found this helpful,,8,3,Public,30565916
Emily B,/gp/profile/amzn1.account.AGWMR47DWYA3G6RWKZRA5RUS6TYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 4, 2021",0,,5.0 out of 5 stars,Brilliant and completely captivating! I could not put it down!!!,Brilliant!,Verified Purchase,11 people found this helpful,,11,1,Public,8197096
jace,/gp/profile/amzn1.account.AF4KA7ZVA7X44Q2Y7SHGEWEIYN2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,1.0 out of 5 stars,"I was so looking forward to reading this book on vacation. The five star reviews must be from a robot because this book was awful.  It was a huge disappointment.  No plot whatsoever, and just kept going on without a plot or any substance. Ending was a letdown...Characters were not well developed and lacked any type of suspense. Terrible. I've read more compelling stories from my 10th grade class.",Dissappointed,Verified Purchase,4 people found this helpful,,11,21,Public,3588237
Lin Loves Romance,/gp/profile/amzn1.account.AHICQJ5FJJOOZPRXTFVDJBYIT6FQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 16, 2021",0,,5.0 out of 5 stars,"Seriously,  I'm the most ridiculously picky reader out there. 90% of the books I get, I permanently close before chapter 3. It's truly annoying to me because I LOVE reading.So, I downloaded the sample and BAM, I was hooked! I read the entire book in one sitting. The authors' voice pulled me in. The characters and the intricate layering of this story kept me invested.I simply LOVED ""The Last Thing He Told Me""!","Give this a try, you won't regret it!",Verified Purchase,3 people found this helpful,,25,33,Public,4438354
Kindle Customer,/gp/profile/amzn1.account.AFHR4IENPAH4U5YGNF6ZDYOUBYLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 14, 2021",0,,5.0 out of 5 stars,This is a different kind of thriller blustery and I found it hard to put down.  The characters are complex and are slowly revealed in an elegant way. This was so enjoyable and I will be thinking about it for a long time.,Gripping,Verified Purchase,4 people found this helpful,,181,342,Public,172082
BEBE,/gp/profile/amzn1.account.AEC6N2FWZBI4BI24H7ZXGPHULNRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2021",0,,5.0 out of 5 stars,"Hannah finds life is a cycle of being left alone by no choice of her own.  The family she wants drifts away except for her grandfather. When she again struggles to have a family of her own she faces challenges that she knows can destroy everything she loves and needs in her life.  Author ‘s style of writing is a little weird.....repeating same words after each  sentence..""",Left alone again.,Verified Purchase,3 people found this helpful,,24,39,Public,2709437
M.Fields,/gp/profile/amzn1.account.AHCPPCQ7G2ZPFJSAOTEW6WRDGVBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2021",0,,5.0 out of 5 stars,I did not expect this book to be this good. I read it in one sitting was done with it before I know it. The mystery was a good one it was a fast paced read and one that you will be happy you read.,So unexpected...,Verified Purchase,4 people found this helpful,,2786,1189,Public,12799
Bobbi,/gp/profile/amzn1.account.AHKFHGCDFHI2HGKX73NI64HKDLOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2021",0,,5.0 out of 5 stars,"I read many mysteries and thrillers. This one is unique in many ways but primarily because the story is told by a character who is not directly involved in most of the action. She becomes involved with one of the primary characters and tells the story mostly in retrospect. But, she sure knows how to figure things out! Great read. I couldn't out it down.",Unique thriller,Verified Purchase,3 people found this helpful,,120,58,Public,1010019
Linda D,/gp/profile/amzn1.account.AFCW7TJ67ZCMOFFXPFHAXPPXW5OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 22, 2021",0,,5.0 out of 5 stars,Such  a different story than I have read lately.  It definitely kept me wanting to read more. I found the characters very likeable. I was hoping for a  different ending but still enjoyed it.,So good,Verified Purchase,3 people found this helpful,,9,62,Public,3347888
Kindle Customer,/gp/profile/amzn1.account.AFEDSEMYLZTLDSLWLMGKW7DBFY5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2021",0,,5.0 out of 5 stars,"I had a hard time pacing myself with this book, the story was so exciting that I didn't want to put it down, but I also didn't want it to end too soon. The reasons it's so compelling are the strength of the characters, the quirky twists and the expert pacing. I'm very impressed with Laura Dave and would love to read more of her work.",This was great!,Verified Purchase,2 people found this helpful,,858,135,Public,16651
tymom123,/gp/profile/amzn1.account.AF3OM3EF7L63UT7LBBUPW7ANDLGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 14, 2021",0,,5.0 out of 5 stars,"I read this book in a day, and I’m not the type to read a book in a day!  I couldn’t put it down…. Loved the characters, the storyline, the settings.  Such a great read….",Wonderful,Verified Purchase,3 people found this helpful,,140,69,Public,83704417
Print MD,/gp/profile/amzn1.account.AGCTV7IKYZWBT7ILD5IGDKAVHTAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 1, 2021",0,,4.0 out of 5 stars,"MAY 2021  :  4 STARS.  Before Owen Michaels disappears, he smuggles a note to his beloved wife of one year, ""Protect her"".  Despite her confusion and fear, Hannah Hall knows exactly to whom the note refers - Owen's 16-year old daughter, Bailey.  Bailey who lost her mother tragically as a child.  Baily who wants absolutely nothing to do with her new stepmother.  Baily just may hold the key to figuring out Owen's true identity and why he really disappeared.A friend, (tara595) recommended; she was reading and finding it hard to put down.  First book by this author for me and l definitely like her writing style.  Kept me guessing where this story was going.  Interesting ending.  Book 2?  I was excited to hear this novel is being turned into a movie starring Julie Roberts as Hannah.  Great choice !",Great new author for me !,Verified Purchase,,,594,220,Public,5461
mari,/gp/profile/amzn1.account.AG23NALF5JPAIA553BZMJYJGC2MA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 12, 2021",0,,5.0 out of 5 stars,"This is the first 2021 release that I could not put down, finished it in two days. Does it add anything new or mind blowing to the “Is my husband a good guy or bad guy” mystery genre? No. But it kept my attention always wondering where it was going next.Have a couple minor complaints but I don’t want to share any spoilers.",The Best Book of 2021?,Verified Purchase,3 people found this helpful,,4,10,Public,34297753
Brenna Rae,/gp/profile/amzn1.account.AHQ5O6WCRO5NUO2O5EAK25HPMCJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 14, 2021",0,,3.0 out of 5 stars,I really liked how everything played out. But man it took a long time to get there. I wish there was more about the relationship with hothead grandfather at the end,It takes a minute,Verified Purchase,3 people found this helpful,,19,46,Public,1853328
Linda S. Sather,/gp/profile/amzn1.account.AGQYVBWAMZXENBCLIPIUKJXQ4RCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2021",0,,5.0 out of 5 stars,"I found that I evolved with the story. In the beginning, I wondered if Owen was just avoiding punishment but I grew with the story. It’s a very acceptable turn.",Evolving,Verified Purchase,3 people found this helpful,,11,29,Public,7625077
Bob B,/gp/profile/amzn1.account.AGHPMS5YVT74RENJNL5DOCNSL7PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2021",0,,5.0 out of 5 stars,Laura Dave’s “The Last Thing He Told Me” starts the 2021 summer thriller parade in five-star fashion: an interesting page turner with heart.  Can’t really ask for much more.,Introduced with great expectations…and met them,Verified Purchase,3 people found this helpful,,25,18,Public,2894478
Sonia Christensen,/gp/profile/amzn1.account.AGYOQLMPDNT26XDEJXXKIYKCFUNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 2, 2021",0,,5.0 out of 5 stars,Wow! I put a load of laundry in the wash and started reading this book. Read all day and evening then remembered I started laundry. Could not put this book down. I was trying so hard to figure out the mystery of Owen. I found this book to be addictive and just suspenseful enough to keep me reading. Great book!! I loved it,A days read - could not put it down,Verified Purchase,One person found this helpful,,74,86,Public,1988923
Amazon Customer,/gp/profile/amzn1.account.AEUEXDP6HOMEO5K5WPEOJHBVDWMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 28, 2021",0,,3.0 out of 5 stars,"Eh. It was fine. Felt like the book was rushed and the character development was lacking. It was a quick read, but not worth the hype. It’s been optioned for a movie and it’s a storyline that could easily be covered in a film without any loss of details. Wait for the movie.",Just okay.,Verified Purchase,One person found this helpful,,24,33,Public,2091722
Kindle Customer,/gp/profile/amzn1.account.AGLYT5IYSYHTOR4MM6MKVW4M5PNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 21, 2021",0,,4.0 out of 5 stars,"I liked the story, the writing style, the characters.  I would definitely read this author again. But what is with the cheesy chapter titles?  For me, the chapter titles took away from the sophistication of the writing. I found them distracting, as if I were suddenly back in elementary school for a second.",Pretty good but ...,Verified Purchase,,,29,45,Public,83692023
num num,/gp/profile/amzn1.account.AE2ES5E2NQM3ZJ3BBYZXWPHTOI6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 4, 2021",0,,5.0 out of 5 stars,"I started reading this for a book club and couldn't put it down. Even though some parts started off a little predictable, the twists and turns that began shortly thereafter kept me guessing. I didn't see the end coming. Im glad i got the opportunity to read this.",So good,Verified Purchase,,,256,89,Public,1975443
Carol Ann Nunnery,/gp/profile/amzn1.account.AGGQOBEYJIKIHVF5TMVGL7FEKXIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 28, 2021",0,,4.0 out of 5 stars,Spoiler Alert- it doesn’t have a happy ending.  I loved the way this author wrote each chapter as she flowed effortlessly between present and past.  She weaved a tale of love lost and survival.  It is very suspenseful with quite a few twist.  I would give it five stars if it didn’t end so abruptly.  It’s still worth reading.,Definitely a Page Turner!,Verified Purchase,,,1,17,Public,18342839
C. Cronk,/gp/profile/amzn1.account.AHOHKEI4Y2JDU56K7TOTIAPLQMXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2021",0,,4.0 out of 5 stars,Wow. I read this on about 24 hours. Couldn’t put it down. Great suspense and surprises. It didn’t turn out at all like I anticipated and I loved all the twists and turns. Would definitely recommend.,Fast paced and highly entertaining,Verified Purchase,,,337,185,Public,323140
Terri P.,/gp/profile/amzn1.account.AHZLO5MJ36KAJBCRV2XGHOHX47VQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 18, 2021",0,,5.0 out of 5 stars,"A must read!!! One I wanted to know the ending of, but didn’t want it to come to an end!",AMAZING,Verified Purchase,One person found this helpful,,8,20,Public,4668996
Lori Rutledge,/gp/profile/amzn1.account.AEPDTE24PGIBQMCQSDDUBMHHBF4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2021",0,,5.0 out of 5 stars,My heart rate was 200 and I didn’t take a breath the entire book. Amazing. Reese can really pick theGood ones! Will there be a movie?,Couldn’t put it down,Verified Purchase,One person found this helpful,,8,11,Public,10216069
kk12,/gp/profile/amzn1.account.AEGRVBG5FI6LAIJL52XSSN3UR5SQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 25, 2021",0,,5.0 out of 5 stars,Good read—would recommend!,Worth your time!,Verified Purchase,One person found this helpful,,26,25,Public,1008045
Sherry Woodmancy,/gp/profile/amzn1.account.AHTVM6NHMURUM23UXRZ6SAFKQHDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 16, 2021",0,,2.0 out of 5 stars,"Hohum. Haven’t I seen this as a movie before? Don’t even know why I kept reading it, other than I spent 14 on it. And because of the reviews thought it was going to have a surprise ending that knocks my socks off!",Predictable,Verified Purchase,5 people found this helpful,,14,25,Public,5229761
Joywriter,/gp/profile/amzn1.account.AHROHQVHJRS4YMKRBYGHUBLGZ7YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 11, 2021",0,,3.0 out of 5 stars,"Brilliant writing, dialog, and pacing. For me, the plot weakened (spoilers) first when Hannah had Owen's computer and it wasn't confiscated by the fbi, and then as she goes up against a mafia type crime boss in his own fortress of a home and negotiates an unrealistic agreement.","Brilliant writing, weak plot",Verified Purchase,4 people found this helpful,,136,47,Public,5403336
JOHN C. BOLAND,/gp/profile/amzn1.account.AEN3OZQJAYUTNDZHAQON5E2FKM4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 28, 2021",0,,3.0 out of 5 stars,"The author clearly has a following, and so many readers describe this as a suspenseful or thrilling novel that I have to credit their views (hence the 3 stars instead of what I really think). But you know the woman who will sit around talking forever, telling you every trifle of her life, and it's all in the same chatty cadence? That's your companion here. I tried reading from the beginning and gave up. I tried dropping in at random, hoping for a scene that would capture me. And gave up. The plot sounds interesting. I've enjoyed women writers from Patricia Cornwell to J.A. Jance, from Paretsky to anyone under the sun with a sharp narrative voice. I'm just not the right reader for this narrator. Too bad.","Boy, am I the wrong reader!",Verified Purchase,2 people found this helpful,,236,30,Public,2717349
Kindle Customer,/gp/profile/amzn1.account.AF4CBZS6UOM5XLVVGUO2DWNXYSLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 15, 2021",0,,5.0 out of 5 stars,"I gave it 5 stars , it was so interesting, it kept me rivited till the end. I wanted Owen to come back home to his wife and daughter but guess it was impossible for him  to keep safe, but the ending was  heartbreaking!","I loved the story ,I loved the way it was written!",Verified Purchase,One person found this helpful,,1,2,Public,57458849
Brooks Hansen,/gp/profile/amzn1.account.AHWSXMWZADHAY663SS3S5JSNYG3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 3, 2021",0,,2.0 out of 5 stars,"I echo some of the other comments here, wondering where all of the five star reviews are coming from. At no point in this entire book did I ever feel invested in the situation or agree with how a character felt. The writing gave just enough detail to show that the author has probably visited Sausalito or Austin or New York before, but beyond that everything is very unbelievable. The bulk of the story involves the main character making odd gut-decisions for no reason. When everything finally culminates into a long drawn out ending full of emotional prose, I was left flabbergasted why she would choose one of the worst outcomes on purpose, and why the author couldn't have found a more creative way to wrap it all up. This was one of the larger disappointments in my recent readings, but mostly because I expected more given the suspiciously good reviews.",I kept waiting for any sort of excitement but it never came,Verified Purchase,2 people found this helpful,,15,11,Public,82991744
