author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,ranking,total_review,visibility_status
Jeani Rector,/gp/profile/amzn1.account.AEVRVOBJA7O3BFUAL5MCJXCZUJUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 17, 2019",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"This book makes an important issue of spousal abuse seem insignificant. A VERY SHALLOW take on this matter. Don't buy this book. You will see what I mean if you do. Oh, and let's not forget how the main character instantly jumps into another man's arms. Like she has to have a man in her life no matter what. No healing, no therapy, no nothing...she just needs another man as her solution. Disgusting.",Treats the abuse issue as shallow and insignificant,Verified Purchase,22 people found this helpful,680,18556,234,Public
Patty,/gp/profile/amzn1.account.AHK3QQPW4UKQGGJ3TDDVHKSBU42A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 6, 2019",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,This book went from enjoyment to frustration. Terrible ending and direction where she took characters. Not realistic when dealing with abuse--- it's not always black or white. Did not like her making Ryle the villain. How s character wasn't congruent with that of an abusive man. A big let down.,Terrible ending-- not what I expected,Verified Purchase,31 people found this helpful,32,4018874,8,Public
Sue Tint,/gp/profile/amzn1.account.AHPF736N3YSC5D6WOPYYZ6SRAYOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 2, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"Colleen Hoover is one of my top 5 favorite authors, ever. Her writing is beautiful. The way she can weave a story into your heart is like no other. Because the reader should go into this book blind, I'm not going to say anything specifically about the story, the plot or anything that might give it away. I do want to share, though, that I was just so, so about this book until about the halfway point. Again, the writing was beautiful, and it seemed we were getting a sweet romance, but I was waiting for something.... And at the halfway point, we all got it! And it was not a disappointment.Colleen Hoover knows how to write intense stories that make you love characters, and even hate characters. And sometimes you both love AND hate the same character. You just never know what you are in for. While Hoover tackled a controversial subject in It Ends With Us, and it was very personal to her, she did so with respect and beauty. Thank you for that.","Another beautiful, brilliant, and intense story from Ms. Hoover",Verified Purchase,,107,1891100,131,Public
Dani,/gp/profile/amzn1.account.AFNWORZRFMGVRUHD7CHRJEHIAV4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 2, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"I have been patiently...okay, impatiently, waiting for this book to release. I love this author and her unique stories. This is hands down her BEST book. I will not give away ANYTHING from this book. When everyone says, go in blind, do exactly that. Do not skip ahead. Just sit back, relax, and read every single word. This book will make you laugh. But it will mostly make you cry. But it is so SO worth the tears. You will feel everything this book has to offer. I will say I have NEVER been more proud of a heroine. And I have never been proud of an author who delivered this incredible story. I'm already ready for more. I need more, Colleen. Those of you who have read the story you know exactly what I'm talking about.  I need MORE. I promise you haven't read this book before. It is honest and unique. There needs to be a 10 stars option. READ IT. LOVE IT.For those who are unsure about this book, I promise it will be a great read. It actually bothers me a little that some people didn't get the message the author was trying to deliver in this book. If you open your mind and heart you'll understand. In a way, you'll become the main character. One of the best and unique reading experiences I've ever had.",Go in blind. Trust Colleen.,Verified Purchase,One person found this helpful,236,737931,94,Public
Shwillia58,/gp/profile/amzn1.account.AE75PAXDYZYO6DTSUE3HMP635SEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 20, 2020",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,4.0 out of 5 stars,I didn't exactly know what the premise of this book was when I read it but I think it was very well written. Not a topic I know a lot about but it did make me think and brought a good viewpoint to why woman stay in a bad situation. I would recommend this book.,Good Read,Verified Purchase,One person found this helpful,21,3185669,84,Public
Amazon Customer,/gp/profile/amzn1.account.AHXE3H4F4R46Q3KE4KDMCEZ6NTYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 5, 2017",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"Please have tissues when you read this book!  I will say it again Colleen Hoover did it again!! This book is so hard at times because a such as you know what is right you just want to justify the wrong. I am so proud of Lily because she really defeats the odds that most people could and would never be able to do!! As for Atlas well he is just the most amazing, selfless, strong, one of a kind human being that we wish to be!!! Ryle, I don't even know what to say he is hot, sexy, amazing until ... well until he is not and then really when said and done you have to have a heart and feel for him!! When I finished this book last night I actually feel asleep with tears in my eyes for the whole story! All I can say is sometimes we have to just keep swimming!! I will have a big book hangover from this one for a while!!",Wow,Verified Purchase,,25,5333965,128,Public
Amy Daws,/gp/profile/amzn1.account.AEEDI646JOOZ6OPUZU5REILOK5MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,4.0 out of 5 stars,"Holy cow, what did I just read?This was not your standard Colleen Hoover romance novel. I struggle to call this a true romance novel because of the weight of the issues the main couple went through. I wasn't rooting for them to succeed. I was rooting for them to fail...which is a weird feeling to have.But ultimately it's a beautifully-written, eye-opening story that sheds so much light on a tough subject. And we could all use more compassion and understanding in our lives.I'm giving it 4 stars because the writing is exquisite and the story is sound...but this is not the kind of CoHo read that I'll ever pick back up again.But I respect that important messages need to be told.My head hurts.My heart is heavy.And my soul is changed.""Preventing your heart from forgiving someone you love is actually a hell of a lot harder than simply forgiving them.""",Not a Re-Reader,Verified Purchase,,116,2463608,66,Public
Hammer,/gp/profile/amzn1.account.AFWS6GGWC2ZWFUKGD2CXPUXIVTQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 26, 2019",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=21,5.0 out of 5 stars,"After reading this, I can now understand better why my strong daughter, who I NEVER would have believed would have put up with anything, stayed in an abusive relationship. She got out, went on to become a court advocate for domestic violence victims and has moved on to being an advocate for elderly abuse victims. Not all abusive relationships end as well as this book did. But this book lets you see the how, the why, the hidden.",Beautiful writing and pulls you in all different directions.,Verified Purchase,,298,486653,268,Public
Feeding My Addiction Book Reviews,/gp/profile/amzn1.account.AFWZWEVNQLS353VONOS45CURR3WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 3, 2016",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=21,5.0 out of 5 stars,"❝ Be that girl, Lily.Be brave and bold.❞When there is the amount of hype surrounding a book, such as that which surrounded ‘It Ends With Us’, there is always a fear that when I read it, the book will not live up to the hype.‘It Ends With Us’ not only lived up to it, it surpassed it.This book was brutally honest, painful and heartbreaking. But, ‘It Ends With Us’ was also heartwarming, hopeful and inspirational.To represent two sides of a coin and make you fall in love with these characters despite or in spite of them, was no easy feat. Ms. Hoover tackled difficult subjects with grace and honesty. She didn’t take sides. She lets the reader do that. And by not assigning blame, you realize things rarely are what they seem.❝There’s no such thing as bad people. We’re all just people who sometimes do bad things.❞Stellar, sincere writing, with unforgettable characters and a solid plot that rocked my foundation, ‘It Ends With us’ is a top favorite of the year and will stay with me for years to come! 6 Stars!",TOP FAVE OF THE YEAR,Verified Purchase,,765,131468,478,Public
GingerSnap,/gp/profile/amzn1.account.AHKCBCUPBK6IFKOW5XQSXQNAD2RA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 19, 2017",0,,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/product-reviews/1501110365/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=21,5.0 out of 5 stars,"When my bookclub announced this was the book we were reading for August, I groaned about having to read a second ""young adult romance"". I was badly on need of a good page turner where I could get lost inside the pages, forget about my troubles and most importantly: learn something meaningful about life and gain deeper understanding of life. ..I  am so glad i gave it a shot after several ladies ranted and raved about.The first half is well written and keeps you engaged, but it's the second that really drives the book home. It breaks your heart, puts it back together, breaks it again and then knocks your socks off with the deep emotional gravity of the ending. It couldn't have ended better and it was completely unexpected and perfectly beautiful.Read it.",Dont judge a book by its cover. There's so much more inside,Verified Purchase,One person found this helpful,13,4952171,23,Public
