author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,ranking,visibility_status
island reader,/gp/profile/amzn1.account.AEZM2EAURSYYULNHTSDWTF6MDHJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 29, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"My favorite book of the year by far.  So beautifully written.  No skimming over sections in this book.  I devoured every single word.  I laughed, I cried (a lot) and most importantly thought differently about life - mine and everyone else's.  I became the character of Kya, desperately alone and forced to try to eke out an existence on her own in the marshes.  The marshes are their own separate character, but despite the fact that I am freaked out by insects and mud and most other creepy crawlies, I could actually imagine myself enjoying the Carolina experience, hard as it was.  You will root for Kya, I did, sometimes shouting out loud- You Go Girl!!!!!  I read this book in one day and can't stop thinking about it.  There are several clues to the surprise ending if you pay attention to the details.  This is a KEEPER!",OMG Wonderful Wonderful!,Verified Purchase,544 people found this helpful,,1713,291,10640,Public
Gothic,/gp/profile/amzn1.account.AGXMRXTCNFOIZ2SSFL2BPUYZ4NJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 20, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"Looks like I'm in the minority here, but did not enjoy this book. OK, wait, yes, I enjoyed the beginning and thought this has promise!  Then, it just went down paths that caused me to go ""meh"".  I could go on an on, but the thing that just got me the most, was when grown up Kya would speak.  REALLY?  I'm supposed to believe this kid, who was taught to read by another kid, would speak that properly and in such complete sentences without even a contraction used?  Yeah, no.",Promising start that tanked.,Verified Purchase,398 people found this helpful,,2081,82,10591,Public
jan,/gp/profile/amzn1.account.AGSN3DJSTRKQQHASEBY67EBM77HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 3, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"The base storyline for this book - girl grows up in swamp, has few friends, becomes an expert on swamp life, lives a productive, unusual life - is strong and would have been a fine story. But somewhere along the way the writer decided the story needed more spice, I guess, and added what was for me a story killer. Do a rewrite and take out Chase Andrews. He doesn't need to be there, and Kya gets to remain a remarkable woman instead of what she actually ends up being.",Almost Wonderful,Verified Purchase,396 people found this helpful,,497,24,892192,Public
SRF,/gp/profile/amzn1.account.AGJXNDZTQER7262IKJMWXXZNJN6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 15, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,2.0 out of 5 stars,"This is a romance novel masquerading as literary fiction.The plot becomes increasingly ludicrous as it progresses, and by the end it is laughable.The dialogue limps from cliche to cliche. The heavy-handed dialect is painful to read.Some good nature writing — that’s the only redeeming quality, and the reason why I am giving this two stars instead of one.The NYT should fire that reviewer.",Most overrated book of the year,Verified Purchase,398 people found this helpful,,500,99,172924,Public
Louanne M. Machacek,/gp/profile/amzn1.account.AEQ4X7PHJKN3PGFQMXOQQQTPEX6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 24, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Started reading it 10am and finished 8pm! Could not put it down. Main characters are easy to get to know (so you think) and the story draws you in from the start! I look forward to more from this author!! Read this Book!,Debut Novel is captivating!! Could Not Put it Down!,Verified Purchase,349 people found this helpful,,543,61,374111,Public
L. D. Stone,/gp/profile/amzn1.account.AG3WHMC5YEMVTQJAM5FUVNBCT4CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 22, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"I did not find this story believable, and  the characters were awkward and flat  It just dragged on with no spark",Really not worthy of recommendation,Verified Purchase,340 people found this helpful,,378,22,1302346,Public
Kindle Customer,/gp/profile/amzn1.account.AH2MEQZ5SSXZ4KQASGPPRVG4CZQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 5, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"Not sure how this one received all the  five star reviews. Started out quite slowly, picked up briefly, then just became a very long slow tale that didn't bother explaining much of what we really going on with the characters and their circumstances. Ending was just so condensed compared with rest of book.",Very disappointing.,Verified Purchase,313 people found this helpful,,421,71,264636,Public
JAMES W HUTCHINSON,/gp/profile/amzn1.account.AEGOMMANKQUM2WBWR7B6DUF5REMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 21, 2019",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,3.0 out of 5 stars,"(Review is by my wife E.J.)SPOILER ALERT! Do not read this review if you don’t want to find out who killed Chase.I am giving this book 3 stars despite my own annoyance at all the errors in geography, history, and dialect. I understand the need for a willing suspension of disbelief, but this novel asks too much of the careful reader. I found some of the descriptions enjoyable, and I think the book has a place in the categories of “chick lit” and YA fiction. Some of the prose is good; some is awful. Teenage girls will find passages like this one swoon-worthy: “Then, as she whirled around, she bumped into Tate, who had stood, and they froze, staring into each other’s eyes. They stopped laughing. Tate took her shoulders, hesitated an instant, then kissed her lips, as the leaves rained and danced around them as silently as snow.” (p.124)Too often I had to put the book down and exclaim “What? That’s ridiculous!” Many aspects of the plot make no sense. Nor do some of the characterizations. Consider Kya. From age 6, she raises herself with almost no adult guidance. She is practically feral without access to health care, dental care, good nutrition or personal hygiene needs. Yet she grows up to be a strong, healthy woman who turns heads with her beauty and her “wasp-thin waist,” a brilliant observer of birds and a successful, self-taught artist. She is completely illiterate at age 14, yet in her first reading lesson with Tate, she learns the letters of the alphabet, memorizes all their sounds and reads her first sentence—not from a children’s book, but from a book of essays on nature. (p. 193) Anyone who has ever worked with a beginning reader knows this is impossible.The novel paints a Disneyesque picture of the salt marsh. Unlike the real N.C. coast, it’s never cold or harsh or dangerous for a little girl. The animals are almost friends and there are no mosquitos or snakes. Hurricane Hazel, which devastated the N.C. Coast in 1954, when Kya would have been around 8, did not destroy her shack. In fact, it apparently didn’t happen at all. The author is supposed to be an expert on animals, but even some of the animals are wrong. Seen from a boat: “Brilliant white herons and storks stood among water lilies and floating plants....” (p.176) White egrets, maybe, but white herons are rarely seen north of the Florida Keys. Wood storks (the only North American stork) were first recorded in N .C. In 2005 and sightings are still rare.When I read that Kya’s father was heading for Asheville to discuss his army disability, I thought “Why would he go there rather than somewhere closer?” Numerous references to Asheville follow as if it’s a nearby city. No one on the N.C. coast would think of going “over to Asheville” to buy a birthday present or pick up supplies as they do in the story. It’s a seven-hour trip today, but in the 1950s, there were no Interstate or divided highways, making it an all-day trip. Kya’s father tells her that his family was once very well off, living on a plantation near Asheville and growing tobacco and cotton until the weevils got the cotton. (p. 57) Didn’t the author do any fact checking? Cotton was never grown in the Blue Ridge Mountains. It isn’t the right climate. There’s plenty of cotton in North Carolina, but it’s almost all grown in the Coastal Plains with a little in the Piedmont. Kya’s father tells her how he was expected to become a lawyer and “live in a columned mansion.” (p. 106) If he grew up in a wealthy, educated family, where did he get his uncultivated speech patterns?The characters of Tate and Chase, Kya’s good-boy, bad-boy suitors are inconsistent (two unlikely names for small-town Carolina boys born in the 1940s). Tate grows very close to Kya and seems to love her and consider taking her with him, then decides “Nah, she’s not going to fit in.” Suddenly, he’s heartless and cruel? He turns his back and abandons her completely while he’s in college. Then Chase, the real cad, nurtures a close relationship with Kya for a year to earn enough of her trust to take her to bed. Could he really maintain such false tenderness for so long while making fun of her behind her back? And would he sentimentally wear the shell necklace she gave him, yet try to rape her when he catches her alone? It doesn’t add up.Kya herself is the most inconsistent character of all—a regular Keyser Soze in the end. Throughout the story she is gentle, reclusive, sensitive, hesitant, meek. Then we find at the end that she has plotted carefully to sneak back to Barkley Cove using two different disguises, planning bus schedules perfectly, luring Chase to the water tower late at night, overpowering and killing him, then covering her tracks and successfully feigning total innocence.I could go on here—there are many more points of absurdity. I know this book is a page turner for its huge number of fans, but I wouldn’t recommend it for the close reader who expects more authenticity.","Even in Fiction, Authenticity Counts",Verified Purchase,263 people found this helpful,,332,59,241370,Public
CB Chef,/gp/profile/amzn1.account.AGCLPT33EKKXL32OQU4W5IZL2BAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 1, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,1.0 out of 5 stars,"This is one of the worst books I've read in a long time.  The characters are hard to like, the plot is hard to believe, and the ending...  Spend your precious time with something better, please.",A waste of money!,Verified Purchase,301 people found this helpful,,266,7,1715435,Public
WriterToo,/gp/profile/amzn1.account.AF7U6AINDRBIGVZNET4KXPPGLZVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 22, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,2.0 out of 5 stars,"Based on the reviews, and the sample pages I previewed on my kindle, I really wanted to like this book. And some of the writing was beautiful, particularly descriptions of nature. But...this is not a compelling read. The plot is beyond belief in many aspects, about a child virtually raising herself from the age of five, then her learning proficiency in reading from lessons from another child a few times a week over a course of month, to the main character’s brother all of a sudden showing up after many years (in spite of his apparently living close by). There are many plot holes. For example, Kya drives an unlicensed boat around the swamp for many years. Even back in the 60’s, boats had to have an annual license. Another: we find at the end of the book that she’d received mail for many years after the reader is told that all that was ever in her mailbox was advertisements. There are several others. Many characters are stereotyped caricatures, and the dialogue was often contrived or predictable. Hard for me to understand how so many have given this five stars. Weak plot. One dimensional characters (other than Kya— but you have to suspend considerable disbelief to relate to her), and poorly written (and sometimes unnecessary) dialogue.","I wanted to like it, but...",Verified Purchase,258 people found this helpful,,445,5,2482638,Public
Bridgett,/gp/profile/amzn1.account.AGFHHZIEFIIXJZKWRCLKISPPFGWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 29, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,"I'm very torn.After reading the 27,000+ rave reviews, my expectations were sky high. That's never a good thing, but the truth is, although there were many things to love in this story, there were many things I found lacking.First, the prose was absolutely stunning and beautifully descriptive. The problem for me was, amazing descriptions don't wow me. Amazing stories do. And I'm not entirely sure this was an amazing story.Second, the characters, Kya included, never really came to life for me. They all seemed flat and uninspired. At its roots, this is nothing more than a ""girl from the wrong side of the tracks"" story. Think Pretty In Pink, but set in a coastal marsh.Third, so much of the story line was simply implausible. From the abandonment, to the lack of interest in this young girl, to the trial--especially the trial.  I can't say much without giving spoiling the book, but trust me, the trial is a farce.Fourth, the poetry throughout was incredibly annoying to me. I found myself skipping over those sections throughout the novel, for two reasons--I'm not a poetry fan, and this poetry (what I read of it) was pretty terrible.At the end of the day, it's a lovely novel...it simply didn't resonate with me. I recommend it for those who love nature, poetry, and vivid prose.3.25 stars","Beautiful prose, but the story line is lacking...",Verified Purchase,227 people found this helpful,,408,58,56989,Public
Jane C.,/gp/profile/amzn1.account.AFJNRV3QMD37NGKD4O2QBILT7OXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 14, 2019",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,3.0 out of 5 stars,"This was an entertaining read and as a beach read I might have given it four stars. But it's a little more ambitious than that, and there are significant flaws. For some the editor (was there one?) was probably more at fault than the author. The most glaring, constantly annoying issue was the dialogue. White characters in 1960s/70s small town NC speak in perfect modern English (80% of the time), black characters in a vernacular. It's laughably racist. There are other instances of sloppiness with details and lack of thought and research. Maybe no research. It is like the author has never been to NC. The time and place just aren't consistently established. Kya gets running water installed. What does that mean? She already had a well. That's running water. She certainly didn't get hooked up to a municipal water supply. Likewise electricity. The fix it man did what, exactly, to get electrical service to her shack? Bubba doesn’t just run miles of electrical wires through a marsh. You have to call the electric company. The local marina starts selling $3.50 espresso before women enter the local watering hole for the first time in history. The main character is so beautiful she attracts both of the most eligible men in town. Plausible for a teen, but by her twenties she’d probably have a unibrow and her teeth would be falling out. She is self educated to a university standard, but her mom didn’t teach her to read when she was six? She couldn’t spell dog at the age of seven? Really smart kids learn to read very fast. If mom painted watercolors, genius six year old would be reading. Well.I was shocked to learn the author is a naturalist. I would think that background would make her very unlikely to make these kinds of errors. A more significant flaw is the plausibility of Kya's circumstances as a child and adult. Also, Tate's years long disappearance - what the hell?I enjoyed the book, and would not discourage anyone from reading it if they were bored and looking for light entertainment, but I think it's overrated. Way, way overrated. Seeing some of the accolades this book has been given makes me think the whole publishing / literary review industry is crooked. This is NOT a “good” book. Period.","Not terrible, but unbelievable and unbelievably overrated",Verified Purchase,208 people found this helpful,,695,137,10284,Public
Robin K,/gp/profile/amzn1.account.AFS67BTU22CZCWYTEXJLWRAT4ZJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 11, 2018",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,2.0 out of 5 stars,"I grew up in a coastal community in Northeast Florida with precisely the type of landscape described so eloquently in this novel, so perhaps that’s why I am having a much more difficult time excusing the author’s blatant errors in correctly differentiating between salt and freshwater species! There are no craw dads in a salt marsh, nor will you ever catch a bream there or observe wildlife drinking the salt water from the shore. These inaccuracies combined with the bizarre dialect selected as representative of North Carolina made the reading experience surreal and even offensive. Without a doubt, the author painted pretty word pictures of this salt/fresh water marsh, but the inconsistencies were too much to overcome. The story line itself was also pretty lackluster, even ignoring its implausibility. More proof that you should stick with the adage “Write what you know”!","Frustrating Geography, Ecology, etc!",Verified Purchase,251 people found this helpful,,2045,95,5232,Public
Laurie,/gp/profile/amzn1.account.AF72W65S3VXOA2SVKFQLQXIMZVKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 4, 2019",0,,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens-audiobook/product-reviews/B07FSXPMHY/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,1.0 out of 5 stars,"I know!  Oh boy there are a lot of readers who will COMPLETELY disagree with this rating.  Many of my friends loved this book.  Let's begin with what I liked about this novel - the main character's connection to nature and the scientific facts presented throughout the story.Now for the novel's downfalls...SPOILER ALERT!This story is just too improbable.  From Kya raising herself beginning at a very young age, to EVERYONE leaving her, to her killing someone it was all too much for me.  Kya never got sick or badly injured, needed a doctor, dentist?  This strong character goes to school for one day and is bullied away?  She had a wonderful relationship with her brother Jody, who then leaves her and never contacts her again for years.  He left her to live in a dilapidated shack ,with an abusive, irresponsible, neglectful  father.  That is not something this character would have done.  Next, Tate befriends her and presumably loves her.  He knows everyone has left her and he does also.  How could you do that to someone you love?  Neither character has a reasonable excuse for not contacting her in any way for years.Overall, the author used too much drama to develop the character she was trying to create.  Owens needs to show that she believes in the intelligence of her readers and not author-splain constantly.  Yikes!  I did not like this one.",So Disappointing!,Verified Purchase,203 people found this helpful,,515,157,52592,Public
